value,savannah,grassland,tundra,plains,prairie,desert
0.000,0,0,0,0,0,0
0.010,0,0,0,0,0,0
0.020,0,0,0,0,0,0
0.030,0,0,0,0,0,0
0.040,0,0,0,0,0,0
0.050,0,0,0,0,0,0
0.060,0,0,0,0,0,0
0.070,0,0,0,0,0,0
0.080,0,0,0,0,0,0
0.090,0,0,0,0,0,0
0.100,0,0,0,0,0,0
0.110,0,0,0,0,0,0
0.120,0,0,0,0,0,0
0.130,0,0,0,0,0,0
0.140,0,0,0,0,0,0
0.150,0,0,0,0,0,0
0.160,0,0,0,0,0,0
0.170,0,0,0,0,0,0
0.180,0,0,0,0,0,0
0.190,0,0,0,0,0,0
0.200,0,0,0,0,0,0
0.210,0,0,0,0,0,0
0.220,0,0,0,0,0,0
0.230,0,0,0,0,0,0
0.240,0,0,0,0,0,0
0.250,0,0,0,0,0,0
0.260,0,0,0,0,0,0
0.270,0,0,0,0,0,0
0.280,0,0,0,0,0,0
0.290,0,0,0,0,0,0
0.300,0,0,0,0,0,0
0.310,0,0,0,0,0,0
0.320,0,0,0,0,0,0
0.330,0,0,0,0,0,0
0.340,0,0,0,0,0,0
0.350,0,0,0,0,0,0
0.360,0,0,0,0,0,0
0.370,0,0,0,0,0,0
0.380,0,0,0,0,0,0
0.390,0,0,0,0,0,0
0.400,0,0,0,0,0,0
0.410,0,0,0,0,0,0
0.420,0,0,0,0,0,0
0.430,0,0,0,0,0,0
0.440,0,0,0,0,0,0
0.450,0,0,0,0,0,0
0.460,0,0,0,0,0,0
0.470,0,0,0,0,0,0
0.480,0,0,0,0,0,0
0.490,0,0,0,0,0,0
0.500,0,0,0,0,0,0
0.510,0,0,0,0,0,0
0.520,0,0,0,0,0,0
0.530,0,0,0,0,0,0
0.540,0,0,0,0,0,0
0.550,0,0,0,0,0,0
0.560,0,0,0,0,0,0
0.570,0,0,0,0,0,0
0.580,0,0,0,0,0,0
0.590,0,0,0,0,0,0
0.600,0,0,0,0,0,0
0.610,0,0,0,0,0,0
0.620,0,0,0,0,0,0
0.630,0,0,0,0,0,0
0.640,0,0,0,0,0,0
0.650,0,0,0,0,0,0
0.660,0,0,0,0,0,0
0.670,0,0,0,0,0,0
0.680,0,0,0,0,0,0
0.690,0,0,0,0,0,0
0.700,0,0,0,0,0,0
0.710,0,0,0,0,0,0
0.720,0,0,0,0,0,0
0.730,0,0,0,0,0,0
0.740,0,0,0,0,0,0
0.750,0,0,0,0,0,0
0.760,0,0,0,0,0,0
0.770,0,0,0,0,0,0
0.780,0,0,0,0,0,0
0.790,0,0,0,0,0,0
0.800,0,0,0,0,0,0
0.810,0,3,0,0,0,0
0.820,0,0,0,0,1,0
0.830,0,0,0,0,1,0
0.840,0,0,0,0,2,0
0.850,0,1,0,0,1,0
0.860,0,2,0,2,1,0
0.870,0,0,0,1,2,0
0.880,1,0,0,0,1,0
0.890,1,0,0,0,0,0
0.900,1,1,0,2,1,0
0.910,0,2,0,0,0,0
0.920,1,0,0,1,0,0
0.930,2,0,0,0,0,0
0.940,3,0,0,0,0,0
0.950,0,0,0,0,0,0
0.960,0,0,0,0,0,1
0.970,0,1,0,0,0,0
0.980,1,0,0,1,0,1
0.990,0,0,0,0,0,1
1.000,0,0,0,1,0,0
1.010,0,0,0,0,0,1
1.020,0,0,0,0,0,1
1.030,0,0,0,2,0,1
1.040,0,0,0,0,0,0
1.050,0,0,0,0,0,0
1.060,0,0,0,0,0,0
1.070,0,0,0,0,0,1
1.080,0,0,0,0,0,0
1.090,0,0,0,0,0,0
1.100,0,0,0,0,0,2
1.110,0,0,0,0,0,0
1.120,0,0,0,0,0,0
1.130,0,0,0,0,0,0
1.140,0,0,0,0,0,0
1.150,0,0,0,0,0,0
1.160,0,0,0,0,0,0
1.170,0,0,0,0,0,0
1.180,0,0,0,0,0,0
1.190,0,0,0,0,0,0
1.200,0,0,0,0,0,0
1.210,0,0,0,0,0,0
1.220,0,0,0,0,0,1
1.230,0,0,0,0,0,0
1.240,0,0,0,0,0,0
1.250,0,0,0,0,0,0
1.260,0,0,0,0,0,0
1.270,0,0,1,0,0,0
1.280,0,0,2,0,0,0
1.290,0,0,0,0,0,0
1.300,0,0,0,0,0,0
1.310,0,0,0,0,0,0
1.320,0,0,0,0,0,0
1.330,0,0,0,0,0,0
1.340,0,0,0,0,0,0
1.350,0,0,0,0,0,0
1.360,0,0,0,0,0,0
1.370,0,0,0,0,0,0
1.380,0,0,0,0,0,0
1.390,0,0,0,0,0,0
1.400,0,0,0,0,0,0
1.410,0,0,0,0,0,0
1.420,0,0,0,0,0,0
1.430,0,0,0,0,0,0
1.440,0,0,0,0,0,0
1.450,0,0,1,0,0,0
1.460,0,0,0,0,0,0
1.470,0,0,0,0,0,0
1.480,0,0,0,0,0,0
1.490,0,0,0,0,0,0
1.500,0,0,1,0,0,0
1.510,0,0,0,0,0,0
1.520,0,0,1,0,0,0
1.530,0,0,0,0,0,0
1.540,0,0,0,0,0,0
1.550,0,0,0,0,0,0
1.560,0,0,0,0,0,0
1.570,0,0,0,0,0,0
1.580,0,0,0,0,0,0
1.590,0,0,1,0,0,0
1.600,0,0,0,0,0,0
1.610,0,0,0,0,0,0
1.620,0,0,0,0,0,0
1.630,0,0,0,0,0,0
1.640,0,0,0,0,0,0
1.650,0,0,0,0,0,0
1.660,0,0,0,0,0,0
1.670,0,0,0,0,0,0
1.680,0,0,0,0,0,0
1.690,0,0,0,0,0,0
1.700,0,0,0,0,0,0
1.710,0,0,0,0,0,0
1.720,0,0,0,0,0,0
1.730,0,0,0,0,0,0
1.740,0,0,0,0,0,0
1.750,0,0,0,0,0,0
1.760,0,0,0,0,0,0
1.770,0,0,0,0,0,0
1.780,0,0,1,0,0,0
1.790,0,0,0,0,0,0
1.800,0,0,0,0,0,0
1.810,0,0,1,0,0,0
1.820,0,0,0,0,0,0
1.830,0,0,0,0,0,0
1.840,0,0,0,0,0,0
1.850,0,0,0,0,0,0
1.860,0,0,0,0,0,0
1.870,0,0,0,0,0,0
1.880,0,0,0,0,0,0
1.890,0,0,0,0,0,0
1.900,0,0,0,0,0,0
1.910,0,0,1,0,0,0
1.920,0,0,0,0,0,0
1.930,0,0,0,0,0,0
1.940,0,0,0,0,0,0
1.950,0,0,0,0,0,0
1.960,0,0,0,0,0,0
1.970,0,0,0,0,0,0
1.980,0,0,0,0,0,0
1.990,0,0,0,0,0,0
2.000,0,0,0,0,0,0
