y,savannah,grassland,tundra,plains,prairie,desert,swamp,marsh,arctic
4,0.000000,0.053843,0.076852,0.427673,0.432045,0.000000,0.000000,0.009587,0.000000
4,0.000000,0.053843,0.076852,0.427673,0.432045,0.000000,0.000000,0.009587,0.000000
4,0.000000,0.053843,0.076852,0.427673,0.432045,0.000000,0.000000,0.009587,0.000000
4,0.000000,0.053843,0.076852,0.427673,0.432045,0.000000,0.000000,0.009587,0.000000
5,0.000000,0.078748,0.085062,0.409445,0.411515,0.000000,0.000000,0.015230,0.000000
6,0.000000,0.098537,0.085444,0.401668,0.396094,0.000000,0.000000,0.018256,0.000000
7,0.000000,0.102372,0.098604,0.424432,0.355087,0.000000,0.000000,0.019505,0.000000
8,0.000000,0.103624,0.109102,0.437828,0.329322,0.000000,0.000000,0.020123,0.000000
9,0.000000,0.102515,0.120704,0.445380,0.311491,0.000000,0.000000,0.019910,0.000000
10,0.000000,0.105039,0.121396,0.439733,0.312708,0.000000,0.000000,0.021124,0.000000
11,0.000000,0.121876,0.117180,0.426896,0.304752,0.000900,0.000000,0.028395,0.000000
12,0.000000,0.148387,0.107859,0.397566,0.304894,0.001533,0.000000,0.039761,0.000000
13,0.000000,0.170285,0.094506,0.381244,0.306358,0.002538,0.000000,0.045068,0.000000
14,0.000000,0.187512,0.083025,0.355780,0.315861,0.004320,0.000000,0.053502,0.000000
15,0.000000,0.182982,0.067714,0.324487,0.337362,0.035655,0.000000,0.051800,0.000000
16,0.000000,0.181080,0.051131,0.302930,0.351384,0.063913,0.000000,0.049562,0.000000
17,0.000000,0.171926,0.035706,0.273999,0.372953,0.097441,0.000000,0.047975,0.000000
18,0.000000,0.166114,0.015793,0.247103,0.397241,0.127574,0.000000,0.046176,0.000000
19,0.000000,0.195479,0.014071,0.226527,0.368171,0.134473,0.000000,0.061279,0.000000
20,0.000000,0.230834,0.011547,0.194494,0.345515,0.137028,0.000000,0.080582,0.000000
21,0.000000,0.257066,0.009966,0.171188,0.324851,0.140201,0.000000,0.096729,0.000000
22,0.000000,0.292218,0.008075,0.147595,0.298909,0.141742,0.000000,0.111461,0.000000
23,0.036081,0.287081,0.005885,0.116832,0.272176,0.148482,0.025857,0.107607,0.000000
24,0.074729,0.279407,0.004197,0.087615,0.246467,0.150162,0.049820,0.107602,0.000000
25,0.113895,0.270554,0.001806,0.057279,0.223309,0.152705,0.076113,0.104340,0.000000
26,0.152449,0.266318,0.000000,0.026579,0.200475,0.154388,0.098925,0.100865,0.000000
27,0.191833,0.242599,0.000000,0.021986,0.174011,0.162526,0.116884,0.090162,0.000000
28,0.259506,0.204251,0.000000,0.017575,0.136045,0.148030,0.155368,0.079225,0.000000
29,0.324716,0.170872,0.000000,0.012409,0.099959,0.143688,0.182913,0.065444,0.000000
30,0.381899,0.138941,0.000000,0.007878,0.072848,0.129987,0.213415,0.055031,0.000000
31,0.449252,0.129929,0.000000,0.005111,0.048170,0.094537,0.223097,0.049904,0.000000
32,0.495184,0.119442,0.000000,0.003447,0.032503,0.057792,0.244773,0.046859,0.000000
33,0.551367,0.111225,0.000000,0.001889,0.015958,0.028068,0.251679,0.039814,0.000000
34,0.573070,0.118587,0.000000,0.000478,0.005415,0.000000,0.261496,0.040955,0.000000
35,0.578192,0.111966,0.000000,0.000636,0.005674,0.000000,0.262336,0.041196,0.000000
36,0.582421,0.113015,0.000000,0.000612,0.005328,0.000000,0.258655,0.039969,0.000000
37,0.566116,0.129742,0.000000,0.000679,0.006250,0.000000,0.250900,0.046312,0.000000
38,0.541603,0.121071,0.000000,0.002355,0.016917,0.030188,0.244270,0.043595,0.000000
39,0.491701,0.135368,0.000000,0.003193,0.033604,0.066144,0.222504,0.047485,0.000000
