y,savannah,grassland,tundra,plains,prairie,desert,swamp,marsh,arctic
4,0.000000,0.029975,0.146372,0.538929,0.277717,0.000000,0.000000,0.007007,0.000000
4,0.000000,0.029975,0.146372,0.538929,0.277717,0.000000,0.000000,0.007007,0.000000
4,0.000000,0.029975,0.146372,0.538929,0.277717,0.000000,0.000000,0.007007,0.000000
4,0.000000,0.029975,0.146372,0.538929,0.277717,0.000000,0.000000,0.007007,0.000000
5,0.000000,0.054293,0.148696,0.474457,0.311793,0.000000,0.000000,0.010761,0.000000
6,0.000000,0.060917,0.153371,0.485102,0.288456,0.000000,0.000000,0.012153,0.000000
7,0.000000,0.054946,0.177293,0.505355,0.251632,0.000000,0.000000,0.010774,0.000000
8,0.000000,0.055118,0.192469,0.503619,0.237649,0.000000,0.000000,0.011144,0.000000
9,0.000000,0.056264,0.196011,0.498993,0.238504,0.000000,0.000000,0.010227,0.000000
10,0.000000,0.056004,0.193736,0.502328,0.239078,0.000000,0.000000,0.008855,0.000000
11,0.000000,0.070900,0.187561,0.474814,0.248210,0.002232,0.000000,0.016284,0.000000
12,0.000000,0.090809,0.170034,0.450168,0.261632,0.004404,0.000000,0.022954,0.000000
13,0.000000,0.105896,0.155052,0.432774,0.271190,0.007209,0.000000,0.027880,0.000000
14,0.000000,0.125029,0.133301,0.410219,0.288722,0.011269,0.000000,0.031461,0.000000
15,0.000000,0.120254,0.117646,0.380150,0.305413,0.045724,0.000000,0.030814,0.000000
16,0.000000,0.116844,0.093352,0.351377,0.325693,0.083581,0.000000,0.029154,0.000000
17,0.000000,0.108207,0.067208,0.332806,0.343468,0.120520,0.000000,0.027791,0.000000
18,0.000000,0.100732,0.040389,0.314511,0.362629,0.156992,0.000000,0.024747,0.000000
19,0.000000,0.144231,0.034428,0.276435,0.345773,0.157681,0.000000,0.041451,0.000000
20,0.000000,0.187044,0.029915,0.237731,0.332704,0.157037,0.000000,0.055570,0.000000
21,0.000000,0.222969,0.023157,0.206576,0.314793,0.161523,0.000000,0.070983,0.000000
22,0.000000,0.260064,0.018694,0.174576,0.293506,0.164254,0.000000,0.088905,0.000000
23,0.038986,0.256418,0.014432,0.140554,0.275318,0.167229,0.022958,0.084105,0.000000
24,0.083158,0.255286,0.008284,0.102037,0.254485,0.167620,0.043936,0.085195,0.000000
25,0.121887,0.252402,0.004234,0.068752,0.232710,0.172381,0.064085,0.083550,0.000000
26,0.162990,0.250176,0.000000,0.031417,0.214420,0.173690,0.084528,0.082779,0.000000
27,0.206773,0.228849,0.000000,0.026233,0.187763,0.175612,0.101865,0.072906,0.000000
28,0.275338,0.199001,0.000000,0.018273,0.141323,0.161911,0.136261,0.067892,0.000000
29,0.348574,0.167345,0.000000,0.012726,0.105465,0.151596,0.158823,0.055471,0.000000
30,0.411061,0.142116,0.000000,0.007066,0.070684,0.138243,0.183857,0.046972,0.000000
31,0.473619,0.131432,0.000000,0.004637,0.047765,0.098231,0.201211,0.043105,0.000000
32,0.521919,0.120252,0.000000,0.003537,0.034152,0.063393,0.216085,0.040662,0.000000
33,0.562170,0.109139,0.000000,0.002230,0.021277,0.028149,0.239236,0.037798,0.000000
34,0.580831,0.119176,0.000000,0.001353,0.009910,0.000000,0.249914,0.038815,0.000000
35,0.594507,0.106132,0.000000,0.001352,0.009186,0.000000,0.251460,0.037363,0.000000
36,0.584628,0.113005,0.000000,0.001167,0.010957,0.000000,0.253300,0.036944,0.000000
37,0.575457,0.124827,0.000000,0.001341,0.010726,0.000000,0.245290,0.042359,0.000000
38,0.548332,0.120069,0.000000,0.002568,0.023178,0.031199,0.233435,0.041220,0.000000
39,0.502118,0.130547,0.000000,0.003602,0.035270,0.067414,0.217692,0.043357,0.000000
40,0.448586,0.139536,0.000000,0.005869,0.055878,0.106771,0.197272,0.046089,0.000000
41,0.391693,0.151362,0.000000,0.007081,0.072696,0.154562,0.172152,0.050454,0.000000
42,0.322485,0.177764,0.000000,0.013503,0.112927,0.164443,0.149828,0.059050,0.000000
43,0.251788,0.205060,0.000000,0.019470,0.155600,0.177711,0.120964,0.069408,0.000000
44,0.207084,0.229009,0.000000,0.025253,0.181170,0.171574,0.107006,0.078904,0.000000
45,0.165400,0.245617,0.000000,0.031080,0.215270,0.176111,0.084565,0.081956,0.000000
46,0.123667,0.253728,0.004499,0.066275,0.230342,0.172677,0.062142,0.086670,0.000000
47,0.081463,0.250706,0.008477,0.101656,0.254979,0.170116,0.044269,0.088332,0.000000
48,0.040107,0.254192,0.012342,0.137704,0.278238,0.166313,0.023772,0.087331,0.000000
49,0.000000,0.258393,0.019003,0.172247,0.298186,0.165822,0.000000,0.086350,0.000000
50,0.000000,0.221896,0.022790,0.204838,0.315944,0.161808,0.000000,0.072724,0.000000
