y,savannah,grassland,tundra,plains,prairie,desert,swamp,marsh,arctic
4,0.000000,0.017552,0.221624,0.583041,0.174819,0.000000,0.000000,0.002964,0.000000
4,0.000000,0.017552,0.221624,0.583041,0.174819,0.000000,0.000000,0.002964,0.000000
4,0.000000,0.017552,0.221624,0.583041,0.174819,0.000000,0.000000,0.002964,0.000000
4,0.000000,0.017552,0.221624,0.583041,0.174819,0.000000,0.000000,0.002964,0.000000
5,0.000000,0.035735,0.221893,0.512997,0.222754,0.000000,0.000000,0.006620,0.000000
6,0.000000,0.035556,0.229962,0.520772,0.207052,0.000000,0.000000,0.006657,0.000000
7,0.000000,0.030039,0.257666,0.526265,0.179796,0.000000,0.000000,0.006233,0.000000
8,0.000000,0.029573,0.267073,0.517878,0.179977,0.000000,0.000000,0.005499,0.000000
9,0.000000,0.029318,0.271628,0.514632,0.179456,0.000000,0.000000,0.004966,0.000000
10,0.000000,0.029580,0.268564,0.514879,0.181147,0.000000,0.000000,0.005829,0.000000
11,0.000000,0.045123,0.254555,0.488928,0.197219,0.004463,0.000000,0.009711,0.000000
12,0.000000,0.060514,0.227546,0.476425,0.212680,0.009139,0.000000,0.013697,0.000000
13,0.000000,0.072697,0.208502,0.455638,0.233955,0.013601,0.000000,0.015608,0.000000
14,0.000000,0.083853,0.188635,0.429037,0.257011,0.022061,0.000000,0.019404,0.000000
15,0.000000,0.078350,0.163788,0.405376,0.270970,0.063557,0.000000,0.017959,0.000000
16,0.000000,0.072462,0.140951,0.384902,0.284727,0.098774,0.000000,0.018184,0.000000
17,0.000000,0.067487,0.121298,0.355371,0.291893,0.147939,0.000000,0.016013,0.000000
18,0.000000,0.049891,0.010070,0.410138,0.357318,0.162833,0.000000,0.009749,0.000000
19,0.000000,0.103752,0.068909,0.300915,0.311004,0.188607,0.000000,0.026813,0.000000
20,0.000000,0.145543,0.053709,0.266034,0.309133,0.183988,0.000000,0.041593,0.000000
21,0.000000,0.181365,0.044537,0.230591,0.303287,0.188297,0.000000,0.051922,0.000000
22,0.000000,0.224835,0.029765,0.194459,0.295050,0.188506,0.000000,0.067385,0.000000
23,0.042835,0.227133,0.023350,0.153741,0.277585,0.186663,0.019394,0.069300,0.000000
24,0.085828,0.225949,0.013522,0.113875,0.265238,0.186980,0.039083,0.069525,0.000000
25,0.132873,0.228877,0.006122,0.072937,0.243299,0.187949,0.057643,0.070300,0.000000
26,0.175029,0.229717,0.000000,0.036628,0.224787,0.185326,0.078369,0.070145,0.000000
27,0.218908,0.213151,0.000000,0.029641,0.193667,0.188876,0.090166,0.065592,0.000000
28,0.283545,0.189061,0.000000,0.021993,0.147804,0.175714,0.123449,0.058434,0.000000
29,0.360508,0.156356,0.000000,0.013909,0.109663,0.161666,0.146861,0.051038,0.000000
30,0.420033,0.135261,0.000000,0.007606,0.075007,0.148297,0.172192,0.041605,0.000000
31,0.476366,0.127535,0.000000,0.005629,0.056703,0.099025,0.194357,0.040385,0.000000
32,0.526116,0.115688,0.000000,0.004028,0.039264,0.060718,0.218181,0.036005,0.000000
33,0.570181,0.106327,0.000000,0.002608,0.026644,0.027098,0.232608,0.034535,0.000000
34,0.590066,0.112161,0.000000,0.002197,0.015877,0.000000,0.244004,0.035696,0.000000
35,0.680234,0.111076,0.000000,0.001962,0.017227,0.000000,0.161473,0.028028,0.000000
36,0.678148,0.112561,0.000000,0.002375,0.016555,0.000000,0.161412,0.028949,0.000000
37,0.665007,0.126391,0.000000,0.002924,0.019691,0.000000,0.156201,0.029787,0.000000
38,0.552668,0.118739,0.000000,0.002844,0.030015,0.030697,0.228604,0.036432,0.000000
39,0.504039,0.131121,0.000000,0.004584,0.043458,0.068307,0.207348,0.041143,0.000000
40,0.454644,0.137212,0.000000,0.006802,0.062439,0.104496,0.190378,0.044029,0.000000
41,0.402394,0.142007,0.000000,0.007497,0.080920,0.154320,0.165883,0.046980,0.000000
42,0.332931,0.174364,0.000000,0.014544,0.114639,0.171948,0.137070,0.054504,0.000000
43,0.264428,0.195333,0.000000,0.022994,0.157894,0.187493,0.110900,0.060959,0.000000
44,0.216585,0.211512,0.000000,0.029212,0.195973,0.186350,0.095712,0.064657,0.000000
45,0.176144,0.222914,0.000000,0.036311,0.228462,0.190355,0.073827,0.071986,0.000000
46,0.131222,0.231166,0.005971,0.074997,0.240077,0.187448,0.058374,0.070745,0.000000
47,0.088535,0.223504,0.013048,0.115082,0.263257,0.188289,0.037585,0.070701,0.000000
48,0.044347,0.228703,0.022072,0.150865,0.274826,0.189301,0.019622,0.070263,0.000000
49,0.000000,0.227010,0.031330,0.192316,0.296668,0.186357,0.000000,0.066318,0.000000
50,0.000000,0.186032,0.038315,0.234726,0.300432,0.185419,0.000000,0.055076,0.000000
51,0.000000,0.147205,0.052475,0.266651,0.306711,0.185915,0.000000,0.041043,0.000000
52,0.000000,0.106909,0.064045,0.299915,0.313821,0.185181,0.000000,0.030129,0.000000
53,0.000000,0.065880,0.085004,0.337033,0.314395,0.181732,0.000000,0.015956,0.000000
54,0.000000,0.049980,0.048760,0.433893,0.335313,0.121141,0.000000,0.010912,0.000000
55,0.000000,0.069615,0.151290,0.385773,0.269993,0.107058,0.000000,0.016270,0.000000
56,0.000000,0.074409,0.171166,0.407881,0.263850,0.065295,0.000000,0.017400,0.000000
57,0.000000,0.078119,0.198393,0.430009,0.253028,0.022103,0.000000,0.018350,0.000000
58,0.000000,0.069920,0.219268,0.449920,0.229472,0.015571,0.000000,0.015849,0.000000
59,0.000000,0.056044,0.241675,0.470124,0.210240,0.008219,0.000000,0.013698,0.000000
60,0.000000,0.041507,0.254476,0.495881,0.194680,0.003914,0.000000,0.009543,0.000000
61,0.000000,0.026762,0.274524,0.515236,0.177987,0.000000,0.000000,0.005491,0.000000
62,0.000000,0.027338,0.278942,0.518564,0.168947,0.000000,0.000000,0.006210,0.000000
63,0.000000,0.026893,0.282750,0.512996,0.172500,0.000000,0.000000,0.004860,0.000000
64,0.000000,0.029679,0.269967,0.522371,0.171941,0.000000,0.000000,0.006043,0.000000
65,0.000000,0.034785,0.254817,0.520138,0.183269,0.000000,0.000000,0.006991,0.000000
66,0.000000,0.036739,0.234670,0.501525,0.221186,0.000000,0.000000,0.005880,0.000000
66,0.000000,0.036739,0.234670,0.501525,0.221186,0.000000,0.000000,0.005880,0.000000
66,0.000000,0.036739,0.234670,0.501525,0.221186,0.000000,0.000000,0.005880,0.000000
66,0.000000,0.036739,0.234670,0.501525,0.221186,0.000000,0.000000,0.005880,0.000000
66,0.000000,0.036739,0.234670,0.501525,0.221186,0.000000,0.000000,0.005880,0.000000
