y,savannah,grassland,tundra,plains,prairie,desert,swamp,marsh,arctic
4,0.000000,0.000000,0.085659,0.467264,0.447077,0.000000,0.000000,0.000000,0.000000
4,0.000000,0.000000,0.085659,0.467264,0.447077,0.000000,0.000000,0.000000,0.000000
4,0.000000,0.000000,0.085659,0.467264,0.447077,0.000000,0.000000,0.000000,0.000000
4,0.000000,0.000000,0.085659,0.467264,0.447077,0.000000,0.000000,0.000000,0.000000
5,0.000000,0.026166,0.106434,0.438820,0.423807,0.000000,0.000000,0.004772,0.000000
6,0.000000,0.050874,0.101145,0.421562,0.416328,0.000000,0.000000,0.010092,0.000000
7,0.000000,0.063011,0.117372,0.451179,0.357168,0.000000,0.000000,0.011270,0.000000
8,0.000000,0.071132,0.128424,0.467709,0.318868,0.000000,0.000000,0.013868,0.000000
9,0.000000,0.073910,0.141686,0.471266,0.298414,0.000000,0.000000,0.014724,0.000000
10,0.000000,0.079398,0.143937,0.467262,0.293452,0.000000,0.000000,0.015951,0.000000
11,0.000000,0.083486,0.142696,0.472232,0.286519,0.000000,0.000000,0.015066,0.000000
12,0.000000,0.090927,0.135803,0.459422,0.296224,0.000000,0.000000,0.017625,0.000000
13,0.000000,0.112008,0.129716,0.436299,0.295037,0.001015,0.000000,0.025924,0.000000
14,0.000000,0.136866,0.116083,0.413431,0.296141,0.001788,0.000000,0.035691,0.000000
15,0.000000,0.155591,0.102307,0.391061,0.305149,0.003477,0.000000,0.042415,0.000000
16,0.000000,0.179013,0.088135,0.364655,0.313776,0.004800,0.000000,0.049622,0.000000
17,0.000000,0.171635,0.074625,0.337239,0.331643,0.036958,0.000000,0.047900,0.000000
18,0.000000,0.165285,0.054869,0.312953,0.355163,0.066531,0.000000,0.045199,0.000000
19,0.000000,0.167747,0.035585,0.278513,0.372688,0.100499,0.000000,0.044968,0.000000
20,0.000000,0.170298,0.015854,0.244382,0.392753,0.128355,0.000000,0.048358,0.000000
21,0.000000,0.199476,0.014229,0.221754,0.363767,0.135446,0.000000,0.065329,0.000000
22,0.000000,0.233017,0.012050,0.196959,0.336938,0.138859,0.000000,0.082177,0.000000
23,0.000000,0.262029,0.009128,0.169465,0.320857,0.139306,0.000000,0.099216,0.000000
24,0.000000,0.297036,0.007285,0.140242,0.296216,0.145888,0.000000,0.113332,0.000000
25,0.035750,0.284072,0.006121,0.114912,0.273055,0.148826,0.025571,0.111693,0.000000
26,0.076651,0.278126,0.003721,0.087815,0.245813,0.146267,0.052349,0.109258,0.000000
27,0.112967,0.273261,0.002221,0.058320,0.216959,0.160067,0.071556,0.104649,0.000000
28,0.181321,0.252242,0.000000,0.025138,0.183896,0.150717,0.113698,0.092987,0.000000
29,0.254774,0.210041,0.000000,0.018370,0.147142,0.144735,0.145371,0.079566,0.000000
30,0.315236,0.181439,0.000000,0.013800,0.115640,0.132050,0.175537,0.066297,0.000000
31,0.379262,0.151628,0.000000,0.009890,0.083954,0.125480,0.195954,0.053832,0.000000
32,0.419865,0.134025,0.000000,0.005750,0.058016,0.114634,0.216483,0.051229,0.000000
33,0.464302,0.142139,0.000000,0.004102,0.040070,0.083972,0.212544,0.052871,0.000000
34,0.488201,0.154146,0.000000,0.002682,0.026867,0.048121,0.223319,0.056664,0.000000
35,0.492867,0.175415,0.000000,0.001826,0.017039,0.021952,0.227028,0.063873,0.000000
36,0.493663,0.175512,0.000000,0.002180,0.019099,0.024784,0.220138,0.064623,0.000000
37,0.475495,0.161805,0.000000,0.002789,0.029846,0.055959,0.216234,0.057871,0.000000
38,0.452530,0.147055,0.000000,0.004014,0.042531,0.090384,0.209431,0.054055,0.000000
39,0.415852,0.144947,0.000000,0.005528,0.058338,0.130318,0.193487,0.051529,0.000000
40,0.361052,0.160175,0.000000,0.010113,0.093831,0.133723,0.181706,0.059400,0.000000
41,0.298470,0.192322,0.000000,0.014580,0.121586,0.147271,0.155058,0.070713,0.000000
42,0.224450,0.227889,0.000000,0.019775,0.158156,0.156730,0.128991,0.084010,0.000000
43,0.157493,0.271278,0.000000,0.025353,0.195196,0.164988,0.089651,0.096040,0.000000
44,0.115073,0.276117,0.002528,0.056938,0.218050,0.157094,0.072375,0.101826,0.000000
45,0.077398,0.280071,0.003948,0.088425,0.244242,0.152708,0.049715,0.103492,0.000000
46,0.038370,0.292827,0.005504,0.113411,0.264513,0.151442,0.025572,0.108360,0.000000
47,0.000000,0.294079,0.007608,0.146176,0.294304,0.146198,0.000000,0.111635,0.000000
48,0.000000,0.262520,0.011094,0.167752,0.319717,0.141343,0.000000,0.097575,0.000000
49,0.000000,0.229578,0.011509,0.195432,0.341411,0.143101,0.000000,0.078969,0.000000
50,0.000000,0.203564,0.012390,0.220775,0.363401,0.135079,0.000000,0.064791,0.000000
51,0.000000,0.171220,0.015596,0.239061,0.394549,0.132286,0.000000,0.047287,0.000000
52,0.000000,0.175312,0.033349,0.269049,0.373676,0.099410,0.000000,0.049204,0.000000
53,0.000000,0.169013,0.055896,0.307107,0.353931,0.066773,0.000000,0.047281,0.000000
54,0.000000,0.167476,0.074984,0.342538,0.335778,0.033757,0.000000,0.045467,0.000000
55,0.000000,0.172118,0.088849,0.372922,0.314992,0.004208,0.000000,0.046912,0.000000
56,0.000000,0.153353,0.103538,0.392297,0.305934,0.003135,0.000000,0.041743,0.000000
57,0.000000,0.133867,0.119100,0.414508,0.296703,0.001908,0.000000,0.033914,0.000000
58,0.000000,0.112950,0.126317,0.439577,0.294399,0.001094,0.000000,0.025663,0.000000
59,0.000000,0.088153,0.135392,0.463304,0.295918,0.000000,0.000000,0.017233,0.000000
60,0.000000,0.083483,0.142544,0.470273,0.286836,0.000000,0.000000,0.016864,0.000000
61,0.000000,0.078464,0.147255,0.471212,0.288561,0.000000,0.000000,0.014508,0.000000
62,0.000000,0.072979,0.139906,0.477854,0.295313,0.000000,0.000000,0.013948,0.000000
63,0.000000,0.066406,0.139844,0.473577,0.306529,0.000000,0.000000,0.013644,0.000000
64,0.000000,0.057871,0.128121,0.463898,0.337310,0.000000,0.000000,0.012800,0.000000
65,0.000000,0.047185,0.112791,0.446904,0.385147,0.000000,0.000000,0.007973,0.000000
66,0.000000,0.027810,0.102529,0.422053,0.442435,0.000000,0.000000,0.005173,0.000000
66,0.000000,0.027810,0.102529,0.422053,0.442435,0.000000,0.000000,0.005173,0.000000
66,0.000000,0.027810,0.102529,0.422053,0.442435,0.000000,0.000000,0.005173,0.000000
66,0.000000,0.027810,0.102529,0.422053,0.442435,0.000000,0.000000,0.005173,0.000000
66,0.000000,0.027810,0.102529,0.422053,0.442435,0.000000,0.000000,0.005173,0.000000
