y,savannah,grassland,tundra,plains,prairie,desert,swamp,marsh,arctic
4,0.000000,0.000000,0.171360,0.583179,0.245460,0.000000,0.000000,0.000000,0.000000
4,0.000000,0.000000,0.171360,0.583179,0.245460,0.000000,0.000000,0.000000,0.000000
4,0.000000,0.000000,0.171360,0.583179,0.245460,0.000000,0.000000,0.000000,0.000000
4,0.000000,0.000000,0.171360,0.583179,0.245460,0.000000,0.000000,0.000000,0.000000
5,0.000000,0.017019,0.176270,0.508269,0.294814,0.000000,0.000000,0.003628,0.000000
6,0.000000,0.029790,0.184047,0.515415,0.265739,0.000000,0.000000,0.005008,0.000000
7,0.000000,0.032800,0.210597,0.526009,0.223710,0.000000,0.000000,0.006884,0.000000
8,0.000000,0.037526,0.224841,0.526040,0.204770,0.000000,0.000000,0.006823,0.000000
9,0.000000,0.038274,0.230577,0.521345,0.202623,0.000000,0.000000,0.007181,0.000000
10,0.000000,0.041661,0.227700,0.516046,0.206525,0.000000,0.000000,0.008068,0.000000
11,0.000000,0.042028,0.227135,0.510833,0.211962,0.000000,0.000000,0.008042,0.000000
12,0.000000,0.043503,0.216076,0.509267,0.222558,0.000000,0.000000,0.008595,0.000000
13,0.000000,0.064897,0.202972,0.480351,0.235148,0.002697,0.000000,0.013935,0.000000
14,0.000000,0.084013,0.181914,0.461074,0.248009,0.005129,0.000000,0.019861,0.000000
15,0.000000,0.098880,0.166826,0.436980,0.264564,0.008828,0.000000,0.023922,0.000000
16,0.000000,0.113795,0.143265,0.416382,0.284905,0.012345,0.000000,0.029307,0.000000
17,0.000000,0.107616,0.119527,0.392779,0.305425,0.048062,0.000000,0.026590,0.000000
18,0.000000,0.105029,0.095856,0.371378,0.319975,0.082374,0.000000,0.025389,0.000000
19,0.000000,0.103868,0.065049,0.339784,0.341572,0.123381,0.000000,0.026345,0.000000
20,0.000000,0.108847,0.040003,0.306185,0.358812,0.158593,0.000000,0.027560,0.000000
21,0.000000,0.148240,0.033157,0.274799,0.336636,0.163330,0.000000,0.043838,0.000000
22,0.000000,0.184290,0.027075,0.236423,0.331504,0.164017,0.000000,0.056691,0.000000
23,0.000000,0.225625,0.023326,0.203885,0.311178,0.164985,0.000000,0.070999,0.000000
24,0.000000,0.262078,0.018353,0.170311,0.295889,0.164292,0.000000,0.089077,0.000000
25,0.041916,0.255379,0.012860,0.137740,0.272785,0.169217,0.022134,0.087967,0.000000
26,0.081631,0.251747,0.008374,0.103145,0.250363,0.172181,0.045320,0.087237,0.000000
27,0.122204,0.252907,0.004737,0.065567,0.232486,0.177254,0.062552,0.082293,0.000000
28,0.195764,0.233336,0.000000,0.028219,0.198783,0.169270,0.099709,0.074918,0.000000
29,0.276847,0.197869,0.000000,0.022135,0.157295,0.154808,0.127698,0.063347,0.000000
30,0.333783,0.172845,0.000000,0.015564,0.123937,0.143432,0.153579,0.056861,0.000000
31,0.404058,0.144257,0.000000,0.010006,0.086394,0.135350,0.173818,0.046117,0.000000
32,0.445185,0.132501,0.000000,0.005957,0.058250,0.121043,0.191367,0.045696,0.000000
33,0.474584,0.142067,0.000000,0.004527,0.044566,0.080969,0.206983,0.046304,0.000000
34,0.493988,0.151540,0.000000,0.003435,0.033207,0.049605,0.214543,0.053681,0.000000
35,0.504948,0.175459,0.000000,0.002610,0.022449,0.021768,0.213115,0.059651,0.000000
36,0.501120,0.175237,0.000000,0.002715,0.024229,0.025994,0.213470,0.057236,0.000000
37,0.483914,0.159300,0.000000,0.003911,0.034704,0.056137,0.209152,0.052881,0.000000
38,0.459524,0.146893,0.000000,0.004467,0.047234,0.092109,0.201701,0.048073,0.000000
39,0.421534,0.139771,0.000000,0.006870,0.064025,0.134465,0.185749,0.047588,0.000000
40,0.376799,0.155965,0.000000,0.011084,0.093950,0.145697,0.165643,0.050862,0.000000
41,0.315889,0.181664,0.000000,0.018976,0.127572,0.157888,0.139232,0.058779,0.000000
42,0.243255,0.212378,0.000000,0.025567,0.166462,0.168171,0.113504,0.070664,0.000000
43,0.168524,0.249783,0.000000,0.031700,0.208560,0.181177,0.081282,0.078975,0.000000
44,0.122110,0.250274,0.004158,0.065316,0.232020,0.177077,0.063557,0.085488,0.000000
45,0.081998,0.252604,0.008503,0.101420,0.252627,0.174300,0.041512,0.087036,0.000000
46,0.040796,0.262968,0.013545,0.136163,0.273104,0.167692,0.021302,0.084430,0.000000
47,0.000000,0.258851,0.017188,0.170945,0.291970,0.172407,0.000000,0.088638,0.000000
48,0.000000,0.227472,0.021821,0.204272,0.310823,0.163528,0.000000,0.072084,0.000000
49,0.000000,0.182559,0.029175,0.238435,0.327746,0.163964,0.000000,0.058120,0.000000
50,0.000000,0.148846,0.033865,0.266330,0.343634,0.163426,0.000000,0.043899,0.000000
51,0.000000,0.112978,0.039984,0.300401,0.357741,0.160260,0.000000,0.028636,0.000000
52,0.000000,0.110136,0.068694,0.334232,0.337641,0.122023,0.000000,0.027275,0.000000
53,0.000000,0.102403,0.099121,0.367743,0.318849,0.085003,0.000000,0.026881,0.000000
54,0.000000,0.097519,0.127231,0.399743,0.300919,0.049756,0.000000,0.024832,0.000000
55,0.000000,0.105563,0.149440,0.426244,0.279695,0.011520,0.000000,0.027538,0.000000
56,0.000000,0.090934,0.174342,0.443827,0.258802,0.009013,0.000000,0.023082,0.000000
57,0.000000,0.076822,0.190014,0.469211,0.239299,0.005696,0.000000,0.018958,0.000000
58,0.000000,0.059473,0.206553,0.488809,0.229051,0.002923,0.000000,0.013190,0.000000
59,0.000000,0.041248,0.225145,0.509154,0.216671,0.000000,0.000000,0.007782,0.000000
60,0.000000,0.040929,0.230555,0.514884,0.206550,0.000000,0.000000,0.007082,0.000000
61,0.000000,0.038798,0.235978,0.513916,0.204633,0.000000,0.000000,0.006676,0.000000
62,0.000000,0.036445,0.236902,0.518834,0.200224,0.000000,0.000000,0.007596,0.000000
63,0.000000,0.033354,0.230809,0.525684,0.203459,0.000000,0.000000,0.006693,0.000000
64,0.000000,0.030206,0.219207,0.530518,0.214296,0.000000,0.000000,0.005773,0.000000
65,0.000000,0.028524,0.200007,0.516304,0.249831,0.000000,0.000000,0.005334,0.000000
66,0.000000,0.018994,0.176171,0.497452,0.303202,0.000000,0.000000,0.004182,0.000000
66,0.000000,0.018994,0.176171,0.497452,0.303202,0.000000,0.000000,0.004182,0.000000
66,0.000000,0.018994,0.176171,0.497452,0.303202,0.000000,0.000000,0.004182,0.000000
66,0.000000,0.018994,0.176171,0.497452,0.303202,0.000000,0.000000,0.004182,0.000000
66,0.000000,0.018994,0.176171,0.497452,0.303202,0.000000,0.000000,0.004182,0.000000
