y,savannah,grassland,tundra,plains,prairie,desert,swamp,marsh,arctic
4,0.000000,0.000000,0.262369,0.590523,0.147109,0.000000,0.000000,0.000000,0.000000
4,0.000000,0.000000,0.262369,0.590523,0.147109,0.000000,0.000000,0.000000,0.000000
4,0.000000,0.000000,0.262369,0.590523,0.147109,0.000000,0.000000,0.000000,0.000000
4,0.000000,0.000000,0.262369,0.590523,0.147109,0.000000,0.000000,0.000000,0.000000
5,0.000000,0.011548,0.258241,0.529386,0.198872,0.000000,0.000000,0.001952,0.000000
6,0.000000,0.016484,0.261342,0.539842,0.178699,0.000000,0.000000,0.003634,0.000000
7,0.000000,0.018883,0.295503,0.528546,0.153783,0.000000,0.000000,0.003284,0.000000
8,0.000000,0.020170,0.306658,0.528617,0.140879,0.000000,0.000000,0.003675,0.000000
9,0.000000,0.018618,0.314299,0.517315,0.146683,0.000000,0.000000,0.003085,0.000000
10,0.000000,0.021974,0.307859,0.513389,0.152461,0.000000,0.000000,0.004318,0.000000
11,0.000000,0.023762,0.295297,0.519604,0.157054,0.000000,0.000000,0.004282,0.000000
12,0.000000,0.022628,0.286075,0.518629,0.168729,0.000000,0.000000,0.003940,0.000000
13,0.000000,0.036811,0.266397,0.500118,0.184411,0.004300,0.000000,0.007962,0.000000
14,0.000000,0.050587,0.247578,0.474357,0.205143,0.010131,0.000000,0.012204,0.000000
15,0.000000,0.063591,0.225989,0.452163,0.226841,0.017435,0.000000,0.013980,0.000000
16,0.000000,0.073093,0.208561,0.432152,0.242885,0.026045,0.000000,0.017264,0.000000
17,0.000000,0.066679,0.184367,0.409920,0.255799,0.067770,0.000000,0.015464,0.000000
18,0.000000,0.048778,0.087179,0.459124,0.313494,0.082069,0.000000,0.009356,0.000000
19,0.000000,0.065291,0.118726,0.360689,0.291022,0.149898,0.000000,0.014373,0.000000
20,0.000000,0.070841,0.076490,0.337235,0.315090,0.183418,0.000000,0.016925,0.000000
21,0.000000,0.112837,0.062567,0.300582,0.309594,0.184122,0.000000,0.030298,0.000000
22,0.000000,0.148796,0.049523,0.265222,0.309187,0.185016,0.000000,0.042256,0.000000
23,0.000000,0.189112,0.040162,0.227701,0.301480,0.183479,0.000000,0.058066,0.000000
24,0.000000,0.230819,0.028520,0.192227,0.293078,0.183277,0.000000,0.072079,0.000000
25,0.042933,0.227141,0.021524,0.151680,0.277693,0.188444,0.019337,0.071248,0.000000
26,0.084299,0.230245,0.013748,0.111749,0.260196,0.189507,0.040669,0.069588,0.000000
27,0.131658,0.228407,0.006977,0.074859,0.240742,0.193748,0.054109,0.069500,0.000000
28,0.207414,0.213893,0.000000,0.033330,0.208486,0.181932,0.089997,0.064948,0.000000
29,0.279539,0.185824,0.000000,0.025119,0.170133,0.169681,0.114786,0.054917,0.000000
30,0.351513,0.160728,0.000000,0.018142,0.127829,0.149491,0.143602,0.048695,0.000000
31,0.410817,0.136609,0.000000,0.011114,0.095752,0.136182,0.165069,0.044456,0.000000
32,0.450825,0.129389,0.000000,0.006624,0.065030,0.121780,0.186385,0.039967,0.000000
33,0.481371,0.137329,0.000000,0.005358,0.051690,0.082555,0.196312,0.045386,0.000000
34,0.500306,0.152109,0.000000,0.004126,0.039807,0.050257,0.205744,0.047650,0.000000
35,0.578737,0.175572,0.000000,0.004434,0.033855,0.025078,0.139262,0.043063,0.000000
36,0.574532,0.176406,0.000000,0.003662,0.033370,0.030550,0.138304,0.043175,0.000000
37,0.559998,0.156168,0.000000,0.003427,0.038622,0.068372,0.134088,0.039326,0.000000
38,0.470916,0.142993,0.000000,0.006257,0.054722,0.091105,0.189804,0.044204,0.000000
39,0.433584,0.135858,0.000000,0.006932,0.070356,0.136829,0.172436,0.044006,0.000000
40,0.389101,0.151078,0.000000,0.012683,0.098889,0.146238,0.155739,0.046273,0.000000
41,0.321103,0.173707,0.000000,0.017616,0.138229,0.160922,0.133645,0.054779,0.000000
42,0.253106,0.201301,0.000000,0.027140,0.177671,0.176794,0.102890,0.061099,0.000000
43,0.182861,0.229141,0.000000,0.035868,0.221710,0.191851,0.070515,0.068053,0.000000
44,0.129607,0.233058,0.006646,0.074299,0.239502,0.191088,0.056457,0.069343,0.000000
45,0.088136,0.232836,0.013921,0.112113,0.255186,0.190599,0.038124,0.069085,0.000000
46,0.043613,0.233355,0.020530,0.151164,0.273231,0.188716,0.019619,0.069772,0.000000
