y,savannah,grassland,tundra,plains,prairie,desert,swamp,marsh,arctic
4,0.000000,0.000000,0.083077,0.468125,0.448798,0.000000,0.000000,0.000000,0.000000
4,0.000000,0.000000,0.083077,0.468125,0.448798,0.000000,0.000000,0.000000,0.000000
4,0.000000,0.000000,0.083077,0.468125,0.448798,0.000000,0.000000,0.000000,0.000000
4,0.000000,0.000000,0.083077,0.468125,0.448798,0.000000,0.000000,0.000000,0.000000
5,0.000000,0.000000,0.099049,0.458685,0.442266,0.000000,0.000000,0.000000,0.000000
6,0.000000,0.000000,0.110944,0.464813,0.424244,0.000000,0.000000,0.000000,0.000000
7,0.000000,0.020537,0.133000,0.492836,0.349742,0.000000,0.000000,0.003885,0.000000
8,0.000000,0.036119,0.144389,0.504367,0.309014,0.000000,0.000000,0.006111,0.000000
9,0.000000,0.045643,0.160675,0.501352,0.283389,0.000000,0.000000,0.008941,0.000000
10,0.000000,0.054265,0.163454,0.498388,0.273381,0.000000,0.000000,0.010513,0.000000
11,0.000000,0.063070,0.166511,0.493789,0.264554,0.000000,0.000000,0.012077,0.000000
12,0.000000,0.068722,0.163159,0.481803,0.273086,0.000000,0.000000,0.013230,0.000000
13,0.000000,0.074757,0.160319,0.478426,0.273495,0.000000,0.000000,0.013003,0.000000
14,0.000000,0.079824,0.148724,0.475659,0.280071,0.000000,0.000000,0.015723,0.000000
15,0.000000,0.099390,0.141675,0.452999,0.282494,0.001156,0.000000,0.022287,0.000000
16,0.000000,0.124410,0.123808,0.430598,0.288369,0.001967,0.000000,0.030848,0.000000
17,0.000000,0.142739,0.111518,0.403355,0.299647,0.003525,0.000000,0.039216,0.000000
18,0.000000,0.166290,0.097193,0.376596,0.310925,0.005482,0.000000,0.043514,0.000000
19,0.000000,0.169510,0.077087,0.340975,0.330228,0.035874,0.000000,0.046325,0.000000
20,0.000000,0.173189,0.053419,0.304420,0.355601,0.065740,0.000000,0.047632,0.000000
21,0.000000,0.172329,0.035270,0.271072,0.374247,0.099448,0.000000,0.047633,0.000000
22,0.000000,0.177028,0.013953,0.235688,0.392563,0.129996,0.000000,0.050772,0.000000
23,0.000000,0.204286,0.013473,0.215662,0.360971,0.140773,0.000000,0.064835,0.000000
24,0.000000,0.235143,0.010967,0.192574,0.340940,0.141086,0.000000,0.079291,0.000000
25,0.000000,0.262156,0.009662,0.168965,0.315273,0.147011,0.000000,0.096934,0.000000
26,0.000000,0.297817,0.007648,0.142512,0.288485,0.151549,0.000000,0.111989,0.000000
27,0.037414,0.288018,0.005772,0.114158,0.268604,0.154287,0.024684,0.107063,0.000000
28,0.113444,0.261539,0.004186,0.080509,0.224189,0.146219,0.069416,0.100499,0.000000
29,0.181321,0.241165,0.001837,0.048522,0.188096,0.144028,0.107470,0.087561,0.000000
30,0.242561,0.225995,0.000000,0.021292,0.157439,0.132637,0.138626,0.081450,0.000000
31,0.295121,0.203031,0.000000,0.015976,0.126894,0.127214,0.157865,0.073900,0.000000
32,0.339562,0.189929,0.000000,0.012047,0.099482,0.116686,0.173455,0.068839,0.000000
33,0.374695,0.193883,0.000000,0.008607,0.070718,0.107424,0.177015,0.067658,0.000000
34,0.394583,0.176024,0.000000,0.005771,0.054720,0.116315,0.188256,0.064331,0.000000
35,0.408322,0.176622,0.000000,0.005067,0.051699,0.107850,0.187852,0.062587,0.000000
36,0.397976,0.176913,0.000000,0.005300,0.052292,0.111634,0.190765,0.065120,0.000000
37,0.387574,0.177526,0.000000,0.005640,0.057788,0.126038,0.182507,0.062928,0.000000
38,0.360167,0.191618,0.000000,0.009168,0.077347,0.119324,0.173122,0.069253,0.000000
