y,savannah,grassland,tundra,plains,prairie,desert,swamp,marsh,arctic
4,0.000000,0.000000,0.163285,0.565056,0.271659,0.000000,0.000000,0.000000,0.000000
4,0.000000,0.000000,0.163285,0.565056,0.271659,0.000000,0.000000,0.000000,0.000000
4,0.000000,0.000000,0.163285,0.565056,0.271659,0.000000,0.000000,0.000000,0.000000
4,0.000000,0.000000,0.163285,0.565056,0.271659,0.000000,0.000000,0.000000,0.000000
5,0.000000,0.000000,0.174365,0.507976,0.317659,0.000000,0.000000,0.000000,0.000000
6,0.000000,0.000000,0.185270,0.546726,0.268004,0.000000,0.000000,0.000000,0.000000
7,0.000000,0.010796,0.220239,0.561141,0.205919,0.000000,0.000000,0.001905,0.000000
8,0.000000,0.019575,0.244275,0.549321,0.182823,0.000000,0.000000,0.004006,0.000000
9,0.000000,0.023813,0.262046,0.534684,0.174971,0.000000,0.000000,0.004486,0.000000
10,0.000000,0.025805,0.262602,0.530165,0.175341,0.000000,0.000000,0.006087,0.000000
11,0.000000,0.030104,0.264452,0.519298,0.180130,0.000000,0.000000,0.006016,0.000000
12,0.000000,0.033075,0.255478,0.516416,0.188648,0.000000,0.000000,0.006382,0.000000
13,0.000000,0.035767,0.243539,0.516134,0.198063,0.000000,0.000000,0.006497,0.000000
14,0.000000,0.038028,0.227506,0.518210,0.209236,0.000000,0.000000,0.007019,0.000000
15,0.000000,0.057322,0.216349,0.489315,0.221069,0.003288,0.000000,0.012657,0.000000
16,0.000000,0.073374,0.195649,0.469780,0.237862,0.005828,0.000000,0.017508,0.000000
17,0.000000,0.088441,0.175937,0.446266,0.259213,0.008810,0.000000,0.021332,0.000000
18,0.000000,0.103575,0.152224,0.426856,0.280659,0.012693,0.000000,0.023993,0.000000
19,0.000000,0.106599,0.123682,0.393139,0.300594,0.049495,0.000000,0.026490,0.000000
20,0.000000,0.110363,0.097999,0.357992,0.317272,0.088812,0.000000,0.027562,0.000000
21,0.000000,0.110955,0.065692,0.328279,0.342018,0.125124,0.000000,0.027931,0.000000
22,0.000000,0.116514,0.037222,0.300209,0.358489,0.158767,0.000000,0.028798,0.000000
23,0.000000,0.148824,0.032440,0.268939,0.339051,0.165340,0.000000,0.045407,0.000000
24,0.000000,0.188197,0.026532,0.234760,0.327404,0.164160,0.000000,0.058947,0.000000
25,0.000000,0.225125,0.022004,0.201211,0.309227,0.169471,0.000000,0.072962,0.000000
26,0.000000,0.265140,0.015668,0.166911,0.292003,0.173931,0.000000,0.086346,0.000000
27,0.041139,0.258668,0.012888,0.133599,0.267290,0.177169,0.021831,0.087415,0.000000
