y,savannah,grassland,tundra,plains,prairie,desert,swamp,marsh,arctic
4,0.000000,0.000000,0.240578,0.606503,0.152919,0.000000,0.000000,0.000000,0.000000
4,0.000000,0.000000,0.240578,0.606503,0.152919,0.000000,0.000000,0.000000,0.000000
4,0.000000,0.000000,0.240578,0.606503,0.152919,0.000000,0.000000,0.000000,0.000000
4,0.000000,0.000000,0.240578,0.606503,0.152919,0.000000,0.000000,0.000000,0.000000
5,0.000000,0.000000,0.253248,0.551547,0.195204,0.000000,0.000000,0.000000,0.000000
6,0.000000,0.000000,0.280027,0.562382,0.157591,0.000000,0.000000,0.000000,0.000000
7,0.000000,0.006429,0.320071,0.555038,0.117344,0.000000,0.000000,0.001118,0.000000
8,0.000000,0.009862,0.340517,0.537089,0.110565,0.000000,0.000000,0.001967,0.000000
9,0.000000,0.012244,0.350403,0.519325,0.115925,0.000000,0.000000,0.002102,0.000000
10,0.000000,0.013811,0.351605,0.510840,0.120987,0.000000,0.000000,0.002757,0.000000
11,0.000000,0.016304,0.344819,0.510853,0.125517,0.000000,0.000000,0.002506,0.000000
12,0.000000,0.015222,0.337194,0.510707,0.133828,0.000000,0.000000,0.003049,0.000000
13,0.000000,0.016711,0.325508,0.513329,0.140802,0.000000,0.000000,0.003649,0.000000
14,0.000000,0.016963,0.311154,0.519352,0.149138,0.000000,0.000000,0.003393,0.000000
15,0.000000,0.031436,0.290790,0.498885,0.167391,0.005266,0.000000,0.006232,0.000000
16,0.000000,0.043856,0.269886,0.475327,0.188168,0.012720,0.000000,0.010043,0.000000
17,0.000000,0.053580,0.250790,0.453727,0.207747,0.021808,0.000000,0.012347,0.000000
18,0.000000,0.050964,0.165142,0.499236,0.272066,0.003057,0.000000,0.009536,0.000000
19,0.000000,0.065174,0.187056,0.408110,0.257350,0.067267,0.000000,0.015042,0.000000
20,0.000000,0.070637,0.146859,0.382445,0.277942,0.106138,0.000000,0.015980,0.000000
21,0.000000,0.072078,0.106321,0.361573,0.298727,0.145271,0.000000,0.016030,0.000000
22,0.000000,0.076737,0.067034,0.333280,0.323235,0.181696,0.000000,0.018017,0.000000
