y,savannah,grassland,tundra,plains,prairie,desert,swamp,marsh,arctic
4,0.000000,0.041713,0.085130,0.425348,0.438484,0.000000,0.000000,0.009325,0.000000
4,0.000000,0.041713,0.085130,0.425348,0.438484,0.000000,0.000000,0.009325,0.000000
4,0.000000,0.041713,0.085130,0.425348,0.438484,0.000000,0.000000,0.009325,0.000000
4,0.000000,0.041713,0.085130,0.425348,0.438484,0.000000,0.000000,0.009325,0.000000
5,0.000000,0.060355,0.098634,0.414420,0.413925,0.000000,0.000000,0.012665,0.000000
6,0.000000,0.077940,0.097889,0.412897,0.394711,0.000000,0.000000,0.016562,0.000000
7,0.000000,0.088855,0.115395,0.428820,0.346803,0.000000,0.000000,0.020127,0.000000
8,0.000000,0.096034,0.132440,0.431409,0.317968,0.000000,0.000000,0.022148,0.000000
9,0.000000,0.104950,0.139741,0.435157,0.293810,0.000450,0.000000,0.025892,0.000000
10,0.000000,0.114760,0.141131,0.428489,0.284855,0.000885,0.000000,0.029880,0.000000
11,0.000000,0.127701,0.136413,0.418360,0.280222,0.001930,0.000000,0.035375,0.000000
12,0.000000,0.140264,0.130389,0.407683,0.276350,0.002462,0.000000,0.042852,0.000000
13,0.000000,0.146995,0.121341,0.397311,0.279114,0.011705,0.000000,0.043534,0.000000
14,0.000000,0.155965,0.114069,0.378851,0.281317,0.019049,0.000000,0.050750,0.000000
15,0.000000,0.163547,0.100657,0.357236,0.290963,0.033996,0.000000,0.053601,0.000000
16,0.000000,0.173184,0.087309,0.325658,0.303706,0.050880,0.000000,0.059263,0.000000
17,0.000000,0.171761,0.078287,0.312000,0.309596,0.066705,0.000000,0.061652,0.000000
18,0.000000,0.183881,0.045618,0.300268,0.333649,0.074803,0.000000,0.061781,0.000000
19,0.000000,0.195386,0.052903,0.254213,0.325751,0.099559,0.000000,0.072188,0.000000
20,0.000000,0.215035,0.036132,0.223724,0.326506,0.115303,0.000000,0.083300,0.000000
21,0.009111,0.225490,0.026929,0.202981,0.314095,0.125724,0.006658,0.089010,0.000000
22,0.019014,0.231302,0.018178,0.171481,0.309275,0.136608,0.013890,0.100251,0.000000
23,0.036869,0.249526,0.013572,0.144606,0.286748,0.137753,0.027225,0.103700,0.000000
24,0.052650,0.261898,0.010173,0.119207,0.260356,0.142637,0.041395,0.111685,0.000000
25,0.082240,0.258132,0.007075,0.097067,0.244525,0.143392,0.059335,0.108235,0.000000
26,0.110176,0.252870,0.004289,0.074482,0.219212,0.148367,0.077305,0.113298,0.000000
27,0.149591,0.235755,0.003101,0.059347,0.197840,0.150896,0.101042,0.102429,0.000000
28,0.215001,0.211500,0.001504,0.038706,0.165299,0.136632,0.139887,0.091471,0.000000
29,0.281981,0.184633,0.000768,0.026298,0.127074,0.127375,0.173335,0.078537,0.000000
30,0.334455,0.162055,0.000000,0.015519,0.099488,0.111558,0.207132,0.069792,0.000000
31,0.392152,0.145623,0.000000,0.011473,0.079246,0.085134,0.223911,0.062461,0.000000
32,0.433882,0.135065,0.000000,0.007288,0.053705,0.065942,0.247233,0.056886,0.000000
33,0.463712,0.125456,0.000000,0.005204,0.037215,0.052907,0.263853,0.051654,0.000000
34,0.487818,0.116535,0.000000,0.003864,0.026996,0.038863,0.276921,0.049004,0.000000
35,0.531420,0.113895,0.000000,0.002947,0.023159,0.033403,0.250124,0.045051,0.000000
36,0.528145,0.116251,0.000000,0.002872,0.022041,0.032923,0.251754,0.046014,0.000000
37,0.513979,0.121457,0.000000,0.002960,0.026945,0.045091,0.241982,0.047585,0.000000
38,0.460849,0.127950,0.000000,0.005350,0.042044,0.055922,0.253592,0.054293,0.000000
39,0.423079,0.144980,0.000000,0.007700,0.056333,0.074570,0.233249,0.060089,0.000000
40,0.372282,0.159383,0.000000,0.010681,0.079692,0.092455,0.218037,0.067469,0.000000
41,0.318909,0.175451,0.000000,0.015943,0.104333,0.120547,0.190364,0.074454,0.000000
42,0.260861,0.195179,0.000542,0.027979,0.133640,0.137297,0.158099,0.086403,0.000000
43,0.193716,0.226159,0.001427,0.040493,0.170104,0.155161,0.119487,0.093452,0.000000
44,0.152359,0.240306,0.003366,0.056307,0.192832,0.150178,0.099526,0.105127,0.000000
45,0.115317,0.251493,0.004647,0.072573,0.219340,0.150334,0.076031,0.110265,0.000000
46,0.082006,0.254669,0.007228,0.095870,0.244646,0.143966,0.058011,0.113604,0.000000
47,0.056144,0.260335,0.009627,0.114068,0.262196,0.146563,0.040153,0.110913,0.000000
48,0.036894,0.250135,0.012739,0.147010,0.285086,0.136619,0.028878,0.102640,0.000000
49,0.018481,0.241089,0.017055,0.174320,0.306970,0.133995,0.013047,0.095042,0.000000
50,0.009349,0.224863,0.025245,0.200749,0.319566,0.125552,0.006655,0.088021,0.000000
51,0.000000,0.213919,0.033934,0.230846,0.325360,0.117677,0.000000,0.078263,0.000000
52,0.000000,0.199221,0.047458,0.261398,0.324576,0.093536,0.000000,0.073812,0.000000
53,0.000000,0.185107,0.061422,0.289809,0.315463,0.083442,0.000000,0.064758,0.000000
54,0.000000,0.168448,0.063060,0.325827,0.320875,0.063358,0.000000,0.058432,0.000000
55,0.000000,0.162172,0.090498,0.340934,0.301215,0.051406,0.000000,0.053776,0.000000
56,0.000000,0.154242,0.104007,0.355185,0.298701,0.035683,0.000000,0.052182,0.000000
57,0.000000,0.150286,0.117855,0.382490,0.281416,0.020397,0.000000,0.047556,0.000000
58,0.000000,0.142690,0.125896,0.393980,0.281418,0.011577,0.000000,0.044439,0.000000
59,0.000000,0.132260,0.138890,0.413441,0.272313,0.003400,0.000000,0.039695,0.000000
60,0.000000,0.119041,0.150350,0.427230,0.267778,0.002506,0.000000,0.033094,0.000000
61,0.000000,0.107771,0.159247,0.430696,0.274095,0.000743,0.000000,0.027448,0.000000
62,0.000000,0.097088,0.155484,0.442148,0.279579,0.000497,0.000000,0.025204,0.000000
63,0.000000,0.084261,0.151591,0.448481,0.296067,0.000000,0.000000,0.019599,0.000000
64,0.000000,0.079854,0.139672,0.441203,0.322605,0.000000,0.000000,0.016666,0.000000
65,0.000000,0.069422,0.130831,0.428799,0.355084,0.000000,0.000000,0.015863,0.000000
66,0.000000,0.052860,0.124118,0.415319,0.394308,0.000000,0.000000,0.013396,0.000000
66,0.000000,0.052860,0.124118,0.415319,0.394308,0.000000,0.000000,0.013396,0.000000
66,0.000000,0.052860,0.124118,0.415319,0.394308,0.000000,0.000000,0.013396,0.000000
66,0.000000,0.052860,0.124118,0.415319,0.394308,0.000000,0.000000,0.013396,0.000000
66,0.000000,0.052860,0.124118,0.415319,0.394308,0.000000,0.000000,0.013396,0.000000
