y,savannah,grassland,tundra,plains,prairie,desert,swamp,marsh
1,0.000000,0.110178,0.037049,0.397407,0.441181,0.000000,0.000000,0.014184
2,0.000000,0.106236,0.048284,0.411283,0.419474,0.000000,0.000000,0.014723
3,0.000000,0.103095,0.060619,0.421385,0.399559,0.000000,0.000000,0.015342
4,0.000000,0.100817,0.073409,0.427949,0.381756,0.000000,0.000000,0.016069
5,0.000000,0.099479,0.085860,0.431373,0.366348,0.000000,0.000000,0.016940
6,0.000000,0.099174,0.097120,0.432143,0.353566,0.000000,0.000000,0.017997
7,0.000000,0.100011,0.106367,0.430752,0.343579,0.000000,0.000000,0.019291
8,0.000000,0.102113,0.112899,0.427619,0.336486,0.000000,0.000000,0.020883
9,0.000000,0.105621,0.116201,0.423025,0.332310,0.000000,0.000000,0.022844
10,0.000000,0.110691,0.115991,0.417074,0.330988,0.000000,0.000000,0.025255
11,0.000000,0.117493,0.112247,0.409676,0.332366,0.000012,0.000000,0.028206
12,0.000000,0.126180,0.105198,0.400492,0.336126,0.000211,0.000000,0.031793
13,0.000000,0.136744,0.095232,0.388623,0.341446,0.001886,0.000000,0.036070
14,0.000000,0.148620,0.082758,0.372017,0.346257,0.009411,0.000000,0.040938
15,0.000000,0.160611,0.068448,0.348310,0.347535,0.029016,0.000000,0.046081
16,0.000000,0.172032,0.053710,0.317945,0.344141,0.060891,0.000000,0.051280
17,0.000000,0.183866,0.040254,0.284866,0.338478,0.095737,0.000000,0.056799
18,0.000000,0.197926,0.029085,0.252861,0.333759,0.123167,0.000000,0.063203
19,0.000000,0.215317,0.020329,0.223122,0.331062,0.139277,0.000000,0.070893
20,0.000000,0.235933,0.013699,0.195066,0.329245,0.146165,0.000000,0.079892
21,0.000000,0.258781,0.008845,0.167918,0.326260,0.148300,0.000000,0.089896
22,0.000000,0.282445,0.005440,0.141488,0.320233,0.149995,0.000000,0.100399
23,0.014983,0.294861,0.003063,0.112167,0.299259,0.149196,0.019490,0.106980
24,0.070145,0.287130,0.001540,0.081589,0.259661,0.144541,0.049334,0.106059
25,0.121826,0.274992,0.000729,0.057415,0.220569,0.144510,0.076808,0.103151
26,0.170970,0.258374,0.000324,0.038990,0.182966,0.147886,0.102318,0.098172
27,0.218065,0.238167,0.000135,0.025552,0.148215,0.152421,0.126013,0.091432
28,0.263947,0.215991,0.000053,0.016205,0.117578,0.154463,0.148197,0.083566
29,0.310452,0.193724,0.000020,0.009997,0.091815,0.149038,0.169612,0.075343
30,0.360392,0.172766,0.000007,0.006030,0.070942,0.131189,0.191305,0.067370
31,0.416083,0.153288,0.000002,0.003555,0.054235,0.099342,0.213722,0.059773
32,0.476326,0.134053,0.000001,0.002025,0.040574,0.059679,0.235220,0.052123
33,0.534710,0.113682,0.000000,0.001087,0.029098,0.025616,0.251874,0.043932
34,0.583282,0.093084,0.000000,0.000538,0.019779,0.006951,0.260744,0.035623
35,0.616485,0.076582,0.000000,0.000254,0.013403,0.001042,0.263272,0.028962
36,0.616485,0.076582,0.000000,0.000254,0.013403,0.001042,0.263272,0.028962
37,0.583282,0.093084,0.000000,0.000538,0.019779,0.006951,0.260744,0.035623
38,0.534710,0.113682,0.000000,0.001087,0.029098,0.025616,0.251874,0.043932
39,0.476326,0.134053,0.000001,0.002025,0.040574,0.059679,0.235220,0.052123
40,0.416083,0.153288,0.000002,0.003555,0.054235,0.099342,0.213722,0.059773
41,0.360392,0.172766,0.000007,0.006030,0.070942,0.131189,0.191305,0.067370
42,0.310452,0.193724,0.000020,0.009997,0.091815,0.149038,0.169612,0.075343
43,0.263947,0.215991,0.000053,0.016205,0.117578,0.154463,0.148197,0.083566
44,0.218065,0.238167,0.000135,0.025552,0.148215,0.152421,0.126013,0.091432
45,0.170970,0.258374,0.000324,0.038990,0.182966,0.147886,0.102318,0.098172
46,0.121826,0.274992,0.000729,0.057415,0.220569,0.144510,0.076808,0.103151
47,0.070145,0.287130,0.001540,0.081589,0.259661,0.144541,0.049334,0.106059
48,0.014983,0.294861,0.003063,0.112167,0.299259,0.149196,0.019490,0.106980
49,0.000000,0.282445,0.005440,0.141488,0.320233,0.149995,0.000000,0.100399
50,0.000000,0.258781,0.008845,0.167918,0.326260,0.148300,0.000000,0.089896
51,0.000000,0.235933,0.013699,0.195066,0.329245,0.146165,0.000000,0.079892
52,0.000000,0.215317,0.020329,0.223122,0.331062,0.139277,0.000000,0.070893
53,0.000000,0.197926,0.029085,0.252861,0.333759,0.123167,0.000000,0.063203
54,0.000000,0.183866,0.040254,0.284866,0.338478,0.095737,0.000000,0.056799
55,0.000000,0.172032,0.053710,0.317945,0.344141,0.060891,0.000000,0.051280
56,0.000000,0.160611,0.068448,0.348310,0.347535,0.029016,0.000000,0.046081
57,0.000000,0.148620,0.082758,0.372017,0.346257,0.009411,0.000000,0.040938
58,0.000000,0.136744,0.095232,0.388623,0.341446,0.001886,0.000000,0.036070
59,0.000000,0.126180,0.105198,0.400492,0.336126,0.000211,0.000000,0.031793
60,0.000000,0.117493,0.112247,0.409676,0.332366,0.000012,0.000000,0.028206
61,0.000000,0.110691,0.115991,0.417074,0.330988,0.000000,0.000000,0.025255
62,0.000000,0.105621,0.116201,0.423025,0.332310,0.000000,0.000000,0.022844
63,0.000000,0.102113,0.112899,0.427619,0.336486,0.000000,0.000000,0.020883
64,0.000000,0.100011,0.106367,0.430752,0.343579,0.000000,0.000000,0.019291
65,0.000000,0.099174,0.097120,0.432143,0.353566,0.000000,0.000000,0.017997
66,0.000000,0.099479,0.085860,0.431373,0.366348,0.000000,0.000000,0.016940
67,0.000000,0.100817,0.073409,0.427949,0.381756,0.000000,0.000000,0.016069
68,0.000000,0.103095,0.060619,0.421385,0.399559,0.000000,0.000000,0.015342
69,0.000000,0.106236,0.048284,0.411283,0.419474,0.000000,0.000000,0.014723
70,0.000000,0.110178,0.037049,0.397407,0.441181,0.000000,0.000000,0.014184
