y,savannah,grassland,tundra,plains,prairie,desert,swamp,marsh
1,0.000000,0.069637,0.098535,0.518936,0.303827,0.000000,0.000000,0.009065
2,0.000000,0.065182,0.116427,0.520550,0.288782,0.000000,0.000000,0.009059
3,0.000000,0.061755,0.134009,0.519159,0.275934,0.000000,0.000000,0.009142
4,0.000000,0.059302,0.150462,0.515492,0.265414,0.000000,0.000000,0.009330
5,0.000000,0.057793,0.164999,0.510245,0.257322,0.000000,0.000000,0.009641
6,0.000000,0.057221,0.176921,0.504024,0.251736,0.000000,0.000000,0.010098
7,0.000000,0.057610,0.185650,0.497294,0.248716,0.000000,0.000000,0.010730
8,0.000000,0.059012,0.190753,0.490351,0.248310,0.000000,0.000000,0.011574
9,0.000000,0.061513,0.191952,0.483304,0.250555,0.000000,0.000000,0.012676
10,0.000000,0.065237,0.189135,0.476064,0.255472,0.000001,0.000000,0.014091
11,0.000000,0.070346,0.182359,0.468336,0.263046,0.000023,0.000000,0.015890
12,0.000000,0.077019,0.171811,0.459507,0.273126,0.000385,0.000000,0.018152
13,0.000000,0.085305,0.157602,0.448005,0.284937,0.003222,0.000000,0.020929
14,0.000000,0.094771,0.139557,0.430357,0.296135,0.015031,0.000000,0.024149
15,0.000000,0.104515,0.118060,0.403095,0.303434,0.043300,0.000000,0.027596
16,0.000000,0.114306,0.095323,0.367793,0.306236,0.085139,0.000000,0.031202
17,0.000000,0.125389,0.074295,0.330625,0.307882,0.126505,0.000000,0.035305
18,0.000000,0.139519,0.056527,0.296129,0.311834,0.155566,0.000000,0.040426
19,0.000000,0.157722,0.042054,0.264693,0.318699,0.169911,0.000000,0.046921
20,0.000000,0.179989,0.030395,0.234603,0.326563,0.173599,0.000000,0.054851
21,0.000000,0.205510,0.021154,0.204356,0.332519,0.172454,0.000000,0.064007
22,0.000000,0.232973,0.014068,0.173604,0.333874,0.171494,0.000000,0.073987
23,0.012570,0.253592,0.008645,0.139098,0.319697,0.169467,0.015001,0.081930
24,0.076585,0.252770,0.004682,0.100247,0.278410,0.161161,0.043255,0.082889
25,0.134432,0.247429,0.002397,0.069694,0.236483,0.158920,0.068481,0.082164
26,0.187648,0.237198,0.001156,0.046610,0.195379,0.161067,0.091361,0.079580
27,0.237055,0.222747,0.000526,0.029994,0.157045,0.165027,0.112276,0.075330
28,0.283792,0.205597,0.000226,0.018634,0.123222,0.166851,0.131753,0.069926
29,0.330053,0.187668,0.000093,0.011243,0.094947,0.161190,0.150765,0.064042
30,0.379058,0.170515,0.000036,0.006629,0.072292,0.142554,0.170670,0.058245
31,0.433411,0.154465,0.000014,0.003821,0.054417,0.108751,0.192438,0.052684
32,0.491705,0.138242,0.000005,0.002123,0.040003,0.065787,0.215181,0.046952
33,0.546414,0.120250,0.000002,0.001104,0.028046,0.028185,0.235459,0.040540
34,0.588016,0.101797,0.000000,0.000525,0.018654,0.007450,0.249598,0.033960
35,0.610494,0.089047,0.000000,0.000261,0.013178,0.001103,0.256498,0.029418
36,0.610494,0.089047,0.000000,0.000261,0.013178,0.001103,0.256498,0.029418
37,0.588016,0.101797,0.000000,0.000525,0.018654,0.007450,0.249598,0.033960
38,0.546414,0.120250,0.000002,0.001104,0.028046,0.028185,0.235459,0.040540
39,0.491705,0.138242,0.000005,0.002123,0.040003,0.065787,0.215181,0.046952
40,0.433411,0.154465,0.000014,0.003821,0.054417,0.108751,0.192438,0.052684
41,0.379058,0.170515,0.000036,0.006629,0.072292,0.142554,0.170670,0.058245
42,0.330053,0.187668,0.000093,0.011243,0.094947,0.161190,0.150765,0.064042
43,0.283792,0.205597,0.000226,0.018634,0.123222,0.166851,0.131753,0.069926
44,0.237055,0.222747,0.000526,0.029994,0.157045,0.165027,0.112276,0.075330
45,0.187648,0.237198,0.001156,0.046610,0.195379,0.161067,0.091361,0.079580
46,0.134432,0.247429,0.002397,0.069694,0.236483,0.158920,0.068481,0.082164
47,0.076585,0.252770,0.004682,0.100247,0.278410,0.161161,0.043255,0.082889
48,0.012570,0.253592,0.008645,0.139098,0.319697,0.169467,0.015001,0.081930
49,0.000000,0.232973,0.014068,0.173604,0.333874,0.171494,0.000000,0.073987
50,0.000000,0.205510,0.021154,0.204356,0.332519,0.172454,0.000000,0.064007
51,0.000000,0.179989,0.030395,0.234603,0.326563,0.173599,0.000000,0.054851
52,0.000000,0.157722,0.042054,0.264693,0.318699,0.169911,0.000000,0.046921
53,0.000000,0.139519,0.056527,0.296129,0.311834,0.155566,0.000000,0.040426
54,0.000000,0.125389,0.074295,0.330625,0.307882,0.126505,0.000000,0.035305
55,0.000000,0.114306,0.095323,0.367793,0.306236,0.085139,0.000000,0.031202
56,0.000000,0.104515,0.118060,0.403095,0.303434,0.043300,0.000000,0.027596
57,0.000000,0.094771,0.139557,0.430357,0.296135,0.015031,0.000000,0.024149
58,0.000000,0.085305,0.157602,0.448005,0.284937,0.003222,0.000000,0.020929
59,0.000000,0.077019,0.171811,0.459507,0.273126,0.000385,0.000000,0.018152
60,0.000000,0.070346,0.182359,0.468336,0.263046,0.000023,0.000000,0.015890
61,0.000000,0.065237,0.189135,0.476064,0.255472,0.000001,0.000000,0.014091
62,0.000000,0.061513,0.191952,0.483304,0.250555,0.000000,0.000000,0.012676
63,0.000000,0.059012,0.190753,0.490351,0.248310,0.000000,0.000000,0.011574
64,0.000000,0.057610,0.185650,0.497294,0.248716,0.000000,0.000000,0.010730
65,0.000000,0.057221,0.176921,0.504024,0.251736,0.000000,0.000000,0.010098
66,0.000000,0.057793,0.164999,0.510245,0.257322,0.000000,0.000000,0.009641
67,0.000000,0.059302,0.150462,0.515492,0.265414,0.000000,0.000000,0.009330
68,0.000000,0.061755,0.134009,0.519159,0.275934,0.000000,0.000000,0.009142
69,0.000000,0.065182,0.116427,0.520550,0.288782,0.000000,0.000000,0.009059
70,0.000000,0.069637,0.098535,0.518936,0.303827,0.000000,0.000000,0.009065
