y,savannah,grassland,tundra,plains,prairie,desert,swamp,marsh
1,0.000000,0.035476,0.174287,0.567317,0.218412,0.000000,0.000000,0.004508
2,0.000000,0.033344,0.195035,0.559999,0.207108,0.000000,0.000000,0.004513
3,0.000000,0.031831,0.214072,0.551432,0.198088,0.000000,0.000000,0.004577
4,0.000000,0.030898,0.230740,0.542323,0.191328,0.000000,0.000000,0.004710
5,0.000000,0.030530,0.244483,0.533252,0.186812,0.000000,0.000000,0.004922
6,0.000000,0.030731,0.254854,0.524647,0.184540,0.000000,0.000000,0.005229
7,0.000000,0.031530,0.261511,0.516778,0.184533,0.000000,0.000000,0.005648
8,0.000000,0.032984,0.264217,0.509752,0.186842,0.000000,0.000000,0.006206
9,0.000000,0.035177,0.262834,0.503510,0.191543,0.000000,0.000000,0.006936
10,0.000000,0.038233,0.257322,0.497825,0.198736,0.000002,0.000000,0.007882
11,0.000000,0.042314,0.247736,0.492274,0.208520,0.000056,0.000000,0.009099
12,0.000000,0.047602,0.234129,0.486000,0.220858,0.000759,0.000000,0.010654
13,0.000000,0.054170,0.216159,0.476718,0.235003,0.005362,0.000000,0.012588
14,0.000000,0.061715,0.192950,0.459819,0.248616,0.022043,0.000000,0.014858
15,0.000000,0.069660,0.164791,0.431593,0.258790,0.057833,0.000000,0.017333
16,0.000000,0.078047,0.134914,0.394949,0.265547,0.106516,0.000000,0.020026
17,0.000000,0.088004,0.107352,0.357259,0.272339,0.151813,0.000000,0.023232
18,0.000000,0.100997,0.083961,0.323061,0.282315,0.182299,0.000000,0.027368
19,0.000000,0.118002,0.064563,0.292123,0.295894,0.196672,0.000000,0.032746
20,0.000000,0.139263,0.048429,0.262065,0.311099,0.199658,0.000000,0.039487
21,0.000000,0.164342,0.035079,0.230899,0.324809,0.197369,0.000000,0.047501
22,0.000000,0.192252,0.024325,0.198082,0.333861,0.194964,0.000000,0.056516
23,0.022617,0.215214,0.015588,0.159716,0.326123,0.190419,0.006125,0.064197
24,0.085946,0.220009,0.008810,0.115510,0.288911,0.178115,0.036259,0.066439
25,0.141840,0.220854,0.004722,0.080573,0.249597,0.172445,0.062605,0.067364
26,0.192644,0.217047,0.002392,0.054043,0.209651,0.171471,0.086037,0.066714
27,0.239998,0.208769,0.001146,0.034846,0.171163,0.172529,0.107033,0.064516
28,0.285788,0.196974,0.000520,0.021646,0.136124,0.171804,0.126086,0.061058
29,0.332797,0.183064,0.000224,0.013007,0.105889,0.164297,0.143932,0.056789
30,0.384719,0.168260,0.000092,0.007589,0.080867,0.144920,0.161441,0.052111
31,0.444755,0.152824,0.000036,0.004291,0.060533,0.111526,0.178898,0.047136
32,0.512347,0.135744,0.000013,0.002321,0.043851,0.069320,0.194821,0.041582
33,0.580321,0.115944,0.000005,0.001170,0.030059,0.031489,0.205853,0.035161
34,0.637738,0.094978,0.000001,0.000536,0.019273,0.009323,0.209737,0.028413
35,0.676089,0.078106,0.000000,0.000233,0.012271,0.001601,0.208684,0.023016
36,0.676089,0.078106,0.000000,0.000233,0.012271,0.001601,0.208684,0.023016
37,0.637738,0.094978,0.000001,0.000536,0.019273,0.009323,0.209737,0.028413
38,0.580321,0.115944,0.000005,0.001170,0.030059,0.031489,0.205853,0.035161
39,0.512347,0.135744,0.000013,0.002321,0.043851,0.069320,0.194821,0.041582
40,0.444755,0.152824,0.000036,0.004291,0.060533,0.111526,0.178898,0.047136
41,0.384719,0.168260,0.000092,0.007589,0.080867,0.144920,0.161441,0.052111
42,0.332797,0.183064,0.000224,0.013007,0.105889,0.164297,0.143932,0.056789
43,0.285788,0.196974,0.000520,0.021646,0.136124,0.171804,0.126086,0.061058
44,0.239998,0.208769,0.001146,0.034846,0.171163,0.172529,0.107033,0.064516
45,0.192644,0.217047,0.002392,0.054043,0.209651,0.171471,0.086037,0.066714
46,0.141840,0.220854,0.004722,0.080573,0.249597,0.172445,0.062605,0.067364
47,0.085946,0.220009,0.008810,0.115510,0.288911,0.178115,0.036259,0.066439
48,0.022617,0.215214,0.015588,0.159716,0.326123,0.190419,0.006125,0.064197
49,0.000000,0.192252,0.024325,0.198082,0.333861,0.194964,0.000000,0.056516
50,0.000000,0.164342,0.035079,0.230899,0.324809,0.197369,0.000000,0.047501
51,0.000000,0.139263,0.048429,0.262065,0.311099,0.199658,0.000000,0.039487
52,0.000000,0.118002,0.064563,0.292123,0.295894,0.196672,0.000000,0.032746
53,0.000000,0.100997,0.083961,0.323061,0.282315,0.182299,0.000000,0.027368
54,0.000000,0.088004,0.107352,0.357259,0.272339,0.151813,0.000000,0.023232
55,0.000000,0.078047,0.134914,0.394949,0.265547,0.106516,0.000000,0.020026
56,0.000000,0.069660,0.164791,0.431593,0.258790,0.057833,0.000000,0.017333
