y,savannah,grassland,tundra,plains,prairie,desert,swamp,marsh
1,0.000000,0.030881,0.126678,0.602745,0.236250,0.000000,0.000000,0.003447
2,0.000000,0.030201,0.146443,0.593612,0.226119,0.000000,0.000000,0.003624
3,0.000000,0.029857,0.165712,0.582874,0.217714,0.000000,0.000000,0.003843
4,0.000000,0.029866,0.183738,0.571198,0.211086,0.000000,0.000000,0.004113
5,0.000000,0.030258,0.199813,0.559194,0.206289,0.000000,0.000000,0.004447
6,0.000000,0.031076,0.213309,0.547369,0.203384,0.000000,0.000000,0.004862
7,0.000000,0.032377,0.223699,0.536107,0.202438,0.000000,0.000000,0.005380
8,0.000000,0.034236,0.230570,0.525642,0.203524,0.000000,0.000000,0.006027
9,0.000000,0.036752,0.233629,0.516057,0.206724,0.000000,0.000000,0.006838
10,0.000000,0.040048,0.232705,0.507271,0.212121,0.000000,0.000000,0.007855
11,0.000000,0.044281,0.227748,0.499044,0.219793,0.000000,0.000000,0.009133
12,0.000000,0.049642,0.218846,0.490968,0.229795,0.000009,0.000000,0.010741
13,0.000000,0.056351,0.206202,0.482416,0.242104,0.000169,0.000000,0.012758
14,0.000000,0.064601,0.190010,0.472175,0.256366,0.001580,0.000000,0.015267
15,0.000000,0.074354,0.170228,0.457655,0.271239,0.008226,0.000000,0.018298
16,0.000000,0.085170,0.146975,0.435423,0.284227,0.026435,0.000000,0.021771
17,0.000000,0.096642,0.121729,0.404771,0.293619,0.057643,0.000000,0.025597
18,0.000000,0.109178,0.097203,0.369509,0.300540,0.093682,0.000000,0.029889
19,0.000000,0.123902,0.075507,0.334226,0.307540,0.123852,0.000000,0.034973
20,0.000000,0.141808,0.057281,0.300718,0.315854,0.143170,0.000000,0.041169
21,0.000000,0.163202,0.042313,0.268353,0.324624,0.152897,0.000000,0.048611
22,0.000000,0.187648,0.030240,0.235979,0.331725,0.157204,0.000000,0.057204
23,0.000000,0.214137,0.020771,0.203141,0.334821,0.160482,0.000000,0.066646
24,0.000000,0.241267,0.013641,0.170296,0.332056,0.166266,0.000000,0.076474
25,0.010135,0.261960,0.008360,0.135696,0.315826,0.173534,0.010136,0.084354
26,0.081367,0.254916,0.004446,0.095582,0.267926,0.170810,0.041766,0.083187
27,0.147270,0.242185,0.002236,0.064832,0.220835,0.172084,0.070662,0.079895
28,0.206665,0.225416,0.001067,0.042491,0.177457,0.175574,0.096343,0.074989
29,0.259247,0.206962,0.000486,0.027090,0.139965,0.178262,0.118730,0.069256
30,0.306332,0.189347,0.000214,0.016966,0.109422,0.175692,0.138454,0.063574
31,0.350878,0.174722,0.000091,0.010552,0.085748,0.162488,0.156813,0.058707
32,0.396346,0.164368,0.000038,0.006567,0.067928,0.134422,0.175219,0.055111
33,0.443995,0.158249,0.000016,0.004068,0.054334,0.092575,0.193986,0.052777
34,0.489547,0.154929,0.000006,0.002449,0.043328,0.047504,0.211014,0.051223
35,0.523154,0.152717,0.000002,0.001430,0.034676,0.015571,0.222472,0.049977
36,0.523154,0.152717,0.000002,0.001430,0.034676,0.015571,0.222472,0.049977
37,0.489547,0.154929,0.000006,0.002449,0.043328,0.047504,0.211014,0.051223
38,0.443995,0.158249,0.000016,0.004068,0.054334,0.092575,0.193986,0.052777
39,0.396346,0.164368,0.000038,0.006567,0.067928,0.134422,0.175219,0.055111
40,0.350878,0.174722,0.000091,0.010552,0.085748,0.162488,0.156813,0.058707
41,0.306332,0.189347,0.000214,0.016966,0.109422,0.175692,0.138454,0.063574
42,0.259247,0.206962,0.000486,0.027090,0.139965,0.178262,0.118730,0.069256
43,0.206665,0.225416,0.001067,0.042491,0.177457,0.175574,0.096343,0.074989
44,0.147270,0.242185,0.002236,0.064832,0.220835,0.172084,0.070662,0.079895
45,0.081367,0.254916,0.004446,0.095582,0.267926,0.170810,0.041766,0.083187
46,0.010135,0.261960,0.008360,0.135696,0.315826,0.173534,0.010136,0.084354
47,0.000000,0.241267,0.013641,0.170296,0.332056,0.166266,0.000000,0.076474
48,0.000000,0.214137,0.020771,0.203141,0.334821,0.160482,0.000000,0.066646
49,0.000000,0.187648,0.030240,0.235979,0.331725,0.157204,0.000000,0.057204
50,0.000000,0.163202,0.042313,0.268353,0.324624,0.152897,0.000000,0.048611
51,0.000000,0.141808,0.057281,0.300718,0.315854,0.143170,0.000000,0.041169
52,0.000000,0.123902,0.075507,0.334226,0.307540,0.123852,0.000000,0.034973
53,0.000000,0.109178,0.097203,0.369509,0.300540,0.093682,0.000000,0.029889
54,0.000000,0.096642,0.121729,0.404771,0.293619,0.057643,0.000000,0.025597
55,0.000000,0.085170,0.146975,0.435423,0.284227,0.026435,0.000000,0.021771
56,0.000000,0.074354,0.170228,0.457655,0.271239,0.008226,0.000000,0.018298
57,0.000000,0.064601,0.190010,0.472175,0.256366,0.001580,0.000000,0.015267
58,0.000000,0.056351,0.206202,0.482416,0.242104,0.000169,0.000000,0.012758
59,0.000000,0.049642,0.218846,0.490968,0.229795,0.000009,0.000000,0.010741
60,0.000000,0.044281,0.227748,0.499044,0.219793,0.000000,0.000000,0.009133
61,0.000000,0.040048,0.232705,0.507271,0.212121,0.000000,0.000000,0.007855
62,0.000000,0.036752,0.233629,0.516057,0.206724,0.000000,0.000000,0.006838
63,0.000000,0.034236,0.230570,0.525642,0.203524,0.000000,0.000000,0.006027
64,0.000000,0.032377,0.223699,0.536107,0.202438,0.000000,0.000000,0.005380
65,0.000000,0.031076,0.213309,0.547369,0.203384,0.000000,0.000000,0.004862
66,0.000000,0.030258,0.199813,0.559194,0.206289,0.000000,0.000000,0.004447
67,0.000000,0.029866,0.183738,0.571198,0.211086,0.000000,0.000000,0.004113
68,0.000000,0.029857,0.165712,0.582874,0.217714,0.000000,0.000000,0.003843
69,0.000000,0.030201,0.146443,0.593612,0.226119,0.000000,0.000000,0.003624
70,0.000000,0.030881,0.126678,0.602745,0.236250,0.000000,0.000000,0.003447
