y,savannah,grassland,tundra,plains,prairie,desert,swamp,marsh
1,0.000000,0.019149,0.079177,0.578886,0.320102,0.000000,0.000000,0.002685
2,0.000000,0.020513,0.095082,0.575424,0.305953,0.000000,0.000000,0.003028
3,0.000000,0.022050,0.111495,0.569499,0.293534,0.000000,0.000000,0.003421
4,0.000000,0.023805,0.127766,0.561640,0.282911,0.000000,0.000000,0.003878
5,0.000000,0.025833,0.143202,0.552396,0.274156,0.000000,0.000000,0.004413
6,0.000000,0.028202,0.157116,0.542296,0.267341,0.000000,0.000000,0.005045
7,0.000000,0.030997,0.168874,0.531796,0.262534,0.000000,0.000000,0.005799
8,0.000000,0.034322,0.177927,0.521252,0.259792,0.000000,0.000000,0.006707
9,0.000000,0.038301,0.183842,0.510888,0.259161,0.000000,0.000000,0.007808
10,0.000000,0.043083,0.186312,0.500786,0.260669,0.000000,0.000000,0.009150
11,0.000000,0.048843,0.185171,0.490873,0.264319,0.000000,0.000000,0.010794
12,0.000000,0.055783,0.180403,0.480926,0.270077,0.000000,0.000000,0.012810
13,0.000000,0.064131,0.172150,0.470580,0.277856,0.000000,0.000000,0.015284
14,0.000000,0.074129,0.160716,0.459340,0.287491,0.000014,0.000000,0.018311
15,0.000000,0.086010,0.146551,0.446546,0.298669,0.000231,0.000000,0.021992
16,0.000000,0.099878,0.130140,0.431065,0.310618,0.001897,0.000000,0.026402
17,0.000000,0.115423,0.111909,0.410875,0.321575,0.008715,0.000000,0.031502
18,0.000000,0.131882,0.092582,0.384180,0.329248,0.024993,0.000000,0.037116
19,0.000000,0.148787,0.073588,0.351910,0.332938,0.049656,0.000000,0.043122
20,0.000000,0.166626,0.056496,0.317482,0.334289,0.075438,0.000000,0.049669
21,0.000000,0.186306,0.042137,0.283724,0.335196,0.095593,0.000000,0.057044
22,0.000000,0.208202,0.030565,0.251441,0.336022,0.108373,0.000000,0.065397
23,0.000000,0.231848,0.021497,0.220306,0.335747,0.115992,0.000000,0.074611
24,0.000000,0.256138,0.014596,0.190001,0.332908,0.122016,0.000000,0.084341
25,0.000000,0.279633,0.009529,0.160662,0.326283,0.129799,0.000000,0.094094
26,0.000000,0.300762,0.005963,0.132794,0.315135,0.142058,0.000000,0.103287
27,0.023521,0.304700,0.003421,0.102575,0.286765,0.154171,0.018191,0.106657
28,0.093412,0.280130,0.001732,0.071335,0.236859,0.159184,0.057531,0.099818
29,0.159458,0.251012,0.000832,0.047966,0.190707,0.165216,0.093875,0.090934
30,0.217702,0.222235,0.000384,0.031602,0.151704,0.169777,0.124848,0.081748
31,0.267221,0.198060,0.000173,0.020764,0.121400,0.168793,0.149699,0.073889
32,0.309970,0.181703,0.000078,0.013874,0.099796,0.156971,0.168935,0.068674
33,0.348992,0.175644,0.000035,0.009576,0.086007,0.129671,0.182881,0.067192
34,0.385269,0.181950,0.000016,0.006850,0.078792,0.087078,0.189647,0.070398
35,0.414301,0.199287,0.000007,0.005075,0.076559,0.040702,0.186224,0.077845
36,0.414301,0.199287,0.000007,0.005075,0.076559,0.040702,0.186224,0.077845
37,0.385269,0.181950,0.000016,0.006850,0.078792,0.087078,0.189647,0.070398
38,0.348992,0.175644,0.000035,0.009576,0.086007,0.129671,0.182881,0.067192
39,0.309970,0.181703,0.000078,0.013874,0.099796,0.156971,0.168935,0.068674
40,0.267221,0.198060,0.000173,0.020764,0.121400,0.168793,0.149699,0.073889
41,0.217702,0.222235,0.000384,0.031602,0.151704,0.169777,0.124848,0.081748
42,0.159458,0.251012,0.000832,0.047966,0.190707,0.165216,0.093875,0.090934
43,0.093412,0.280130,0.001732,0.071335,0.236859,0.159184,0.057531,0.099818
44,0.023521,0.304700,0.003421,0.102575,0.286765,0.154171,0.018191,0.106657
45,0.000000,0.300762,0.005963,0.132794,0.315135,0.142058,0.000000,0.103287
46,0.000000,0.279633,0.009529,0.160662,0.326283,0.129799,0.000000,0.094094
47,0.000000,0.256138,0.014596,0.190001,0.332908,0.122016,0.000000,0.084341
48,0.000000,0.231848,0.021497,0.220306,0.335747,0.115992,0.000000,0.074611
49,0.000000,0.208202,0.030565,0.251441,0.336022,0.108373,0.000000,0.065397
50,0.000000,0.186306,0.042137,0.283724,0.335196,0.095593,0.000000,0.057044
51,0.000000,0.166626,0.056496,0.317482,0.334289,0.075438,0.000000,0.049669
52,0.000000,0.148787,0.073588,0.351910,0.332938,0.049656,0.000000,0.043122
53,0.000000,0.131882,0.092582,0.384180,0.329248,0.024993,0.000000,0.037116
54,0.000000,0.115423,0.111909,0.410875,0.321575,0.008715,0.000000,0.031502
55,0.000000,0.099878,0.130140,0.431065,0.310618,0.001897,0.000000,0.026402
56,0.000000,0.086010,0.146551,0.446546,0.298669,0.000231,0.000000,0.021992
57,0.000000,0.074129,0.160716,0.459340,0.287491,0.000014,0.000000,0.018311
58,0.000000,0.064131,0.172150,0.470580,0.277856,0.000000,0.000000,0.015284
59,0.000000,0.055783,0.180403,0.480926,0.270077,0.000000,0.000000,0.012810
60,0.000000,0.048843,0.185171,0.490873,0.264319,0.000000,0.000000,0.010794
61,0.000000,0.043083,0.186312,0.500786,0.260669,0.000000,0.000000,0.009150
62,0.000000,0.038301,0.183842,0.510888,0.259161,0.000000,0.000000,0.007808
