y,savannah,grassland,tundra,plains,prairie,desert,swamp,marsh
1,0.000000,0.003881,0.264314,0.624283,0.107256,0.000000,0.000000,0.000266
2,0.000000,0.004113,0.286437,0.605074,0.104061,0.000000,0.000000,0.000313
3,0.000000,0.004406,0.306497,0.586902,0.101823,0.000000,0.000000,0.000372
4,0.000000,0.004775,0.324075,0.570148,0.100558,0.000000,0.000000,0.000444
5,0.000000,0.005238,0.338829,0.555097,0.100301,0.000000,0.000000,0.000535
6,0.000000,0.005820,0.350489,0.541941,0.101100,0.000000,0.000000,0.000650
7,0.000000,0.006552,0.358845,0.530783,0.103023,0.000000,0.000000,0.000797
8,0.000000,0.007476,0.363736,0.521640,0.106160,0.000000,0.000000,0.000988
9,0.000000,0.008646,0.365041,0.514451,0.110627,0.000000,0.000000,0.001236
10,0.000000,0.010134,0.362671,0.509068,0.116567,0.000000,0.000000,0.001561
11,0.000000,0.012034,0.356570,0.505257,0.124150,0.000000,0.000000,0.001989
12,0.000000,0.014468,0.346720,0.502681,0.133574,0.000000,0.000000,0.002557
13,0.000000,0.017596,0.333148,0.500886,0.145049,0.000008,0.000000,0.003312
14,0.000000,0.021622,0.315913,0.499231,0.158774,0.000142,0.000000,0.004319
15,0.000000,0.026780,0.294951,0.496545,0.174781,0.001289,0.000000,0.005655
16,0.000000,0.033263,0.269766,0.490359,0.192514,0.006702,0.000000,0.007396
17,0.000000,0.041110,0.239814,0.477049,0.210513,0.021924,0.000000,0.009589
18,0.000000,0.050286,0.206101,0.454750,0.227306,0.049299,0.000000,0.012258
19,0.000000,0.061025,0.171657,0.425794,0.242950,0.083089,0.000000,0.015486
20,0.000000,0.073983,0.139517,0.394325,0.258823,0.113881,0.000000,0.019471
21,0.000000,0.089954,0.111087,0.362595,0.275904,0.136001,0.000000,0.024459
22,0.000000,0.109469,0.086476,0.330391,0.293704,0.149325,0.000000,0.030635
23,0.000000,0.132566,0.065435,0.296593,0.310413,0.156957,0.000000,0.038037
24,0.000000,0.158706,0.047814,0.260597,0.323595,0.162777,0.000000,0.046511
25,0.000000,0.186792,0.033552,0.222860,0.330882,0.170215,0.000000,0.055699
26,0.000000,0.215249,0.022516,0.184739,0.330493,0.181946,0.000000,0.065057
27,0.027512,0.233292,0.013881,0.142589,0.309751,0.192571,0.009208,0.071196
28,0.108127,0.224493,0.007421,0.096725,0.257126,0.190271,0.046927,0.068909
29,0.179415,0.210775,0.003779,0.063352,0.207698,0.190782,0.079381,0.064819
30,0.239647,0.195534,0.001855,0.040542,0.165231,0.192540,0.104653,0.059998
31,0.290225,0.181985,0.000890,0.025692,0.131272,0.192440,0.122023,0.055473
32,0.335438,0.172947,0.000422,0.016335,0.105713,0.185538,0.131492,0.052115
33,0.381804,0.170969,0.000200,0.010512,0.087509,0.165449,0.132908,0.050649
34,0.435707,0.178015,0.000093,0.006839,0.075254,0.127042,0.125468,0.051583
35,0.493419,0.192173,0.000042,0.004553,0.067795,0.076710,0.110847,0.054460
36,0.493419,0.192173,0.000042,0.004553,0.067795,0.076710,0.110847,0.054460
37,0.435707,0.178015,0.000093,0.006839,0.075254,0.127042,0.125468,0.051583
38,0.381804,0.170969,0.000200,0.010512,0.087509,0.165449,0.132908,0.050649
39,0.335438,0.172947,0.000422,0.016335,0.105713,0.185538,0.131492,0.052115
40,0.290225,0.181985,0.000890,0.025692,0.131272,0.192440,0.122023,0.055473
41,0.239647,0.195534,0.001855,0.040542,0.165231,0.192540,0.104653,0.059998
42,0.179415,0.210775,0.003779,0.063352,0.207698,0.190782,0.079381,0.064819
