y,savannah,grassland,tundra,plains,prairie,desert,swamp,marsh,arctic
1,0,0.1191,0.0384515,0.407112,0.418994,0,0,0.0163423,0
2,0,0.121386,0.0469021,0.415057,0.401466,0,0,0.0151899,0
3,0,0.107484,0.0615711,0.430467,0.381812,0,0,0.018666,0
4,0,0.108968,0.0729523,0.437846,0.362128,0,0,0.0181064,0
5,0,0.101374,0.0841335,0.43934,0.35648,0,0,0.0186727,0
6,0,0.105273,0.0933507,0.443,0.339077,0,0,0.0193,0
7,0,0.102403,0.102922,0.434366,0.339628,0,0,0.0206803,0
8,0,0.103132,0.108076,0.432304,0.335956,0,0,0.0205326,0
9,0,0.101651,0.111141,0.42712,0.336129,0,0,0.0239591,0
10,0,0.108473,0.107939,0.425609,0.332821,0,0,0.0251576,0
11,0,0.117019,0.103898,0.417792,0.333651,0,0,0.0276406,0
12,0,0.125775,0.100374,0.406154,0.337724,0.000142861,0,0.0298294,0
13,0,0.131351,0.0899326,0.396869,0.345814,0.00138061,0,0.0346532,0
14,0,0.142892,0.0793334,0.376597,0.353151,0.00802247,0,0.0400043,0
15,0,0.155063,0.0642833,0.355078,0.354788,0.0272629,0,0.0435254,0
16,0,0.168811,0.0521719,0.323819,0.347553,0.0581767,0,0.0494684,0
17,0,0.177468,0.0391376,0.288328,0.342396,0.0965976,0,0.0560724,0
18,0,0.187923,0.0284732,0.258927,0.339678,0.124974,0,0.0600246,0
19,0,0.210007,0.0217559,0.226138,0.340671,0.135133,0,0.0662951,0
20,0,0.230251,0.0148408,0.202158,0.336751,0.144,0,0.0719998,0
21,0,0.252561,0.00863217,0.17126,0.337526,0.144339,0,0.0856814,0
22,0,0.277316,0.00560858,0.147367,0.327459,0.14711,0,0.0951401,0
23,0,0.294767,0.00365499,0.114463,0.317752,0.151296,0.0143883,0.103678,0
24,0.0617865,0.293197,0.00179986,0.0832819,0.268976,0.145531,0.0414738,0.103955,0
25,0.117927,0.281691,0.000956023,0.0589117,0.228929,0.145806,0.0673609,0.0984187,0
26,0.174752,0.25824,0.000387477,0.039006,0.185111,0.155869,0.0923228,0.0943118,0
27,0.225835,0.239068,0.000129226,0.0252249,0.149695,0.158586,0.11545,0.0860126,0
28,0.279335,0.210393,2.58405e-05,0.0148066,0.113465,0.163958,0.136489,0.0815267,0
29,0.325662,0.191767,0,0.00925734,0.0897031,0.153496,0.157246,0.0728693,0
30,0.37793,0.168219,2.58679e-05,0.00584614,0.0649283,0.138807,0.181567,0.0626778,0
31,0.433752,0.14573,2.58478e-05,0.00336022,0.0494986,0.0997725,0.208256,0.059605,0
32,0.486348,0.13103,0,0.0019853,0.0350135,0.0605904,0.235246,0.0497873,0
33,0.528413,0.110021,0,0.000798557,0.0252962,0.0234158,0.267414,0.0446419,0
34,0.551617,0.0964604,0,0.000611154,0.0189458,0.00565317,0.288821,0.0378915,0
35,0.560368,0.0852552,0,0.00015206,0.012545,0.000760302,0.308201,0.0327183,0
36,0.56642,0.0832,0,0.000254046,0.0128293,0.000660519,0.304601,0.0320352,0
37,0.55452,0.0938384,0,0.000505051,0.017803,0.00517677,0.290354,0.037803,0
38,0.53229,0.112564,0,0.000836057,0.0253097,0.0230802,0.260039,0.0458818,0
39,0.485143,0.13146,0,0.00182232,0.0360921,0.0601367,0.234978,0.050367,0
40,0.427571,0.150793,0,0.00327204,0.0493342,0.102752,0.208396,0.0578821,0
41,0.377501,0.166447,0,0.00529409,0.0669233,0.139926,0.180936,0.0629718,0
42,0.325449,0.189962,2.55154e-05,0.0106399,0.0881813,0.15942,0.153373,0.0729486,0
43,0.274034,0.215367,2.56634e-05,0.0165272,0.115049,0.166196,0.134168,0.0786327,0
44,0.227533,0.240371,0.000102297,0.0241676,0.150708,0.153803,0.115032,0.0882819,0
45,0.177311,0.260154,0.000561999,0.0397486,0.185357,0.153145,0.0879272,0.0957952,0
46,0.119281,0.279546,0.000764623,0.0584427,0.229489,0.1451,0.0662674,0.101109,0
47,0.0611714,0.289162,0.00219198,0.0831931,0.273156,0.144365,0.0412397,0.105521,0
48,0,0.297305,0.00307653,0.117137,0.314645,0.150318,0.0132977,0.104221,0
49,0,0.275439,0.00598559,0.145404,0.334356,0.144821,0,0.0939941,0
50,0,0.253512,0.0099357,0.170773,0.333123,0.146186,0,0.0864708,0
51,0,0.230203,0.0145679,0.199474,0.336276,0.144566,0,0.0749134,0
52,0,0.207871,0.0198166,0.227078,0.337923,0.140723,0,0.0665888,0
53,0,0.189472,0.0292435,0.260699,0.338106,0.122263,0,0.0602161,0
54,0,0.179266,0.0389764,0.287015,0.348761,0.0943382,0,0.0516437,0
55,0,0.16493,0.053425,0.323912,0.348194,0.0600709,0,0.0494686,0
56,0,0.154523,0.0650387,0.355475,0.355632,0.0275073,0,0.0418237,0
