y,savannah,grassland,tundra,plains,prairie,desert,swamp,marsh,arctic
1,0,0.0741637,0.0915341,0.524541,0.300362,0,0,0.00939882,0
2,0,0.0664831,0.103724,0.532914,0.286126,0,0,0.0107527,0
3,0,0.0632272,0.120952,0.531433,0.274556,0,0,0.00983133,0
4,0,0.0577802,0.141006,0.525547,0.266253,0,0,0.00941401,0
5,0,0.0600622,0.156838,0.520703,0.252905,0,0,0.00949212,0
6,0,0.0596202,0.163853,0.507115,0.258156,0,0,0.011256,0
7,0,0.0598918,0.171016,0.505272,0.252395,0,0,0.0114251,0
8,0,0.0615479,0.174619,0.49709,0.255066,0,0,0.0116772,0
9,0,0.0612842,0.176171,0.487115,0.263126,0,0,0.0123034,0
10,0,0.0684078,0.177767,0.47982,0.25942,0,0,0.0145853,0
11,0,0.0706473,0.173483,0.472151,0.266302,2.97212e-05,0,0.0173869,0
12,0,0.0767217,0.159704,0.46642,0.278088,8.53728e-05,0,0.0189812,0
13,0,0.0840234,0.146642,0.456076,0.28968,0.00236608,0,0.0212122,0
14,0,0.0932404,0.13347,0.43192,0.303025,0.0131048,0,0.0252408,0
15,0,0.105231,0.110788,0.407615,0.305718,0.0417538,0,0.0288942,0
16,0,0.115432,0.0895074,0.368692,0.310963,0.0828956,0,0.0325101,0
17,0,0.123004,0.069795,0.331668,0.317013,0.122051,0,0.0364685,0
18,0,0.13731,0.0531604,0.297919,0.317168,0.153945,0,0.0404983,0
19,0,0.15583,0.0381071,0.264642,0.323618,0.171215,0,0.0465866,0
20,0,0.177267,0.028733,0.235266,0.327779,0.175492,0,0.0554626,0
21,0,0.201335,0.0201488,0.206837,0.333308,0.173188,0,0.0651842,0
22,0,0.231468,0.012095,0.172731,0.339198,0.169944,0,0.0745647,0
23,0.00020416,0.255455,0.00852367,0.1448,0.327396,0.170805,0.00872783,0.0840883,0
24,0.0689303,0.250797,0.00415827,0.100793,0.285517,0.164443,0.0391592,0.0862012,0
25,0.129194,0.246541,0.00193626,0.0723039,0.241421,0.158544,0.0650939,0.084966,0
26,0.185568,0.23854,0.00110304,0.0476618,0.195624,0.163225,0.0906806,0.0775979,0
27,0.234429,0.221292,0.000463655,0.0304209,0.155273,0.17047,0.112204,0.0754469,0
28,0.285718,0.20631,0.000155296,0.0188943,0.121286,0.168237,0.130759,0.0686406,0
29,0.33178,0.183569,7.76518e-05,0.0121137,0.0926386,0.163095,0.153362,0.0633639,0
30,0.384384,0.165464,2.57612e-05,0.00605389,0.071642,0.140476,0.175254,0.0567005,0
31,0.438567,0.152366,0,0.00366498,0.053565,0.105644,0.194602,0.0515916,0
32,0.492834,0.136302,2.55487e-05,0.00229938,0.0382719,0.0644082,0.221073,0.0447868,0
33,0.544309,0.120622,0,0.00124457,0.026644,0.0262122,0.23977,0.0411978,0
34,0.587899,0.101092,0,0.000585227,0.0187018,0.00681916,0.25208,0.0328236,0
35,0.610867,0.0885164,0,0.000152134,0.0135653,0.000709957,0.256928,0.0292604,0
36,0.613301,0.0869345,0,0.00030379,0.0128351,0.00106326,0.25693,0.0286322,0
37,0.594905,0.099446,0,0.000581851,0.0171267,0.00617268,0.24969,0.0320777,0
38,0.554413,0.118754,0,0.00101304,0.026871,0.0261872,0.233456,0.0393061,0
39,0.49314,0.135647,0,0.00204019,0.0390442,0.0663317,0.217714,0.0460828,0
40,0.439745,0.150683,5.12702e-05,0.0034351,0.0509882,0.109718,0.196083,0.0492963,0
41,0.387948,0.164305,0,0.00670111,0.0675226,0.141312,0.175201,0.0570106,0
42,0.336371,0.184394,2.56674e-05,0.0109856,0.0934035,0.162243,0.150642,0.0619353,0
43,0.282547,0.203797,0.000231238,0.0183449,0.123173,0.171861,0.130572,0.0694741,0
44,0.238341,0.221265,0.000512781,0.0280235,0.158244,0.166295,0.111966,0.0753532,0
45,0.186137,0.237073,0.0013843,0.0484247,0.196544,0.161014,0.0902356,0.0791869,0
46,0.128,0.247719,0.00207029,0.0722556,0.241355,0.162198,0.0651757,0.0812268,0
47,0.0659057,0.25609,0.00383024,0.10311,0.286272,0.16562,0.0374598,0.0817119,0
48,0.000228903,0.257821,0.0080879,0.142505,0.328679,0.171194,0.00857114,0.0829137,0
