y,savannah,grassland,tundra,plains,prairie,desert,swamp,marsh,arctic
1,0,0.0588848,0.0485383,0.472797,0.41261,0,0,0.00716964,0
2,0,0.0582425,0.0635022,0.4839,0.387428,0,0,0.00692752,0
3,0,0.058476,0.0769832,0.489009,0.367278,0,0,0.00825441,0
4,0,0.0574185,0.0894416,0.489074,0.355535,0,0,0.00853074,0
5,0,0.0580533,0.0987012,0.499921,0.335542,0,0,0.00778251,0
6,0,0.0583174,0.117883,0.48687,0.326051,0,0,0.0108788,0
7,0,0.0609334,0.128663,0.482753,0.315471,0,0,0.0121788,0
8,0,0.0651331,0.137235,0.478615,0.307,0,0,0.0120169,0
9,0,0.0656139,0.142053,0.472208,0.30675,0,0,0.0133744,0
10,0,0.0698088,0.147759,0.468012,0.300352,0,0,0.0140678,0
11,0,0.0794355,0.142674,0.460178,0.30095,0,0,0.0167624,0
12,0,0.0846917,0.134684,0.456174,0.303177,0,0,0.0212735,0
13,0,0.0928486,0.127229,0.446886,0.311841,5.56313e-05,0,0.0211399,0
14,0,0.103297,0.117673,0.433336,0.319148,0.000898473,0,0.0256473,0
15,0,0.114924,0.105613,0.420575,0.325668,0.00381024,0,0.0294086,0
16,0,0.126344,0.0895345,0.400323,0.332901,0.0158625,0,0.0350352,0
17,0,0.145609,0.0742339,0.37052,0.325579,0.0427573,0,0.0413017,0
18,0,0.159915,0.0561154,0.332091,0.332014,0.0736723,0,0.046193,0
19,0,0.172222,0.0424534,0.296303,0.332479,0.102021,0,0.0545208,0
20,0,0.192333,0.0301979,0.267547,0.330468,0.120537,0,0.0589165,0
21,0,0.214151,0.0218729,0.233761,0.332087,0.130347,0,0.0677807,0
22,0,0.233704,0.014257,0.204325,0.335688,0.135785,0,0.0762408,0
23,0,0.264599,0.00994886,0.174601,0.326964,0.136841,0,0.0870461,0
24,0,0.286668,0.00586286,0.144124,0.320291,0.145909,0,0.097145,0
25,0.00457584,0.300328,0.00317767,0.116074,0.303862,0.151486,0.014541,0.105956,0
26,0.079605,0.288011,0.00159514,0.0813521,0.249145,0.151741,0.0474237,0.101127,0
27,0.148561,0.259015,0.000960906,0.055328,0.207429,0.15726,0.0767966,0.0946493,0
28,0.208359,0.241616,0.000378788,0.0354798,0.162298,0.16149,0.103333,0.0870455,0
29,0.262378,0.215814,0.000177918,0.0211214,0.129016,0.165769,0.125229,0.0804951,0
30,0.317234,0.185935,0.000102218,0.0131861,0.100634,0.1682,0.143949,0.0707605,0
31,0.356735,0.16885,0,0.00904643,0.0799653,0.152821,0.167601,0.0649814,0
32,0.397789,0.156802,5.10673e-05,0.00582167,0.0648299,0.123123,0.190736,0.0608467,0
33,0.436424,0.149834,0,0.00339719,0.0523372,0.0858748,0.216194,0.0559387,0
34,0.465536,0.151266,0,0.0025604,0.0428676,0.0399777,0.240373,0.0574188,0
35,0.480457,0.152503,0,0.00111817,0.038399,0.0123761,0.257382,0.0577637,0
36,0.479736,0.148748,0,0.00116447,0.0384528,0.0111131,0.263094,0.0576918,0
37,0.464605,0.151622,0,0.00181644,0.0439225,0.0405167,0.240325,0.0571926,0
38,0.434919,0.154401,0,0.0033407,0.0515422,0.0822114,0.215915,0.0576711,0
39,0.395257,0.159687,0,0.00507064,0.0639253,0.125555,0.191978,0.0585267,0
40,0.356766,0.16892,0,0.00768162,0.0795957,0.154264,0.168844,0.0639292,0
41,0.315238,0.186744,2.52493e-05,0.0138619,0.102108,0.161621,0.148971,0.0714304,0
42,0.262002,0.216148,2.53338e-05,0.0221417,0.127733,0.168216,0.122995,0.0807387,0
43,0.203377,0.233809,0.000354448,0.0376981,0.167705,0.163882,0.105524,0.08765,0
44,0.146952,0.26127,0.000738195,0.0556446,0.206389,0.155148,0.0794705,0.0943872,0
45,0.0765715,0.288439,0.00127662,0.0782056,0.255451,0.149543,0.0483583,0.102155,0
46,0.00442968,0.300832,0.00301321,0.117,0.299982,0.154086,0.0153494,0.105308,0
47,0,0.286441,0.00599174,0.143543,0.322392,0.141116,0,0.100517,0
48,0,0.263822,0.00916298,0.173916,0.329687,0.138294,0,0.0851179,0
49,0,0.235284,0.0148125,0.20325,0.335204,0.134005,0,0.0774455,0
50,0,0.214211,0.0209707,0.235844,0.332909,0.130812,0,0.0652534,0
51,0,0.189617,0.0310714,0.265944,0.334515,0.120332,0,0.0585204,0
52,0,0.173315,0.0430483,0.295552,0.334752,0.101415,0,0.0519179,0
53,0,0.156844,0.0554348,0.335012,0.334731,0.0717993,0,0.0461786,0
54,0,0.144318,0.0703603,0.367554,0.336897,0.041399,0,0.0394717,0
55,0,0.131557,0.0897704,0.392422,0.335756,0.0156896,0,0.0348047,0
56,0,0.119344,0.10841,0.415992,0.322258,0.00395425,0,0.0300417,0
57,0,0.103193,0.118353,0.429139,0.32168,0.000670781,0,0.0269654,0
58,0,0.0942337,0.129551,0.440947,0.313113,8.17528e-05,0,0.0220733,0
59,0,0.0855254,0.139774,0.452293,0.301575,0,0,0.0208328,0
60,0,0.0757615,0.141733,0.461,0.304453,0,0,0.0170528,0
61,0,0.0697943,0.146456,0.470889,0.298032,0,0,0.0148291,0
62,0,0.0675465,0.140945,0.469931,0.307632,0,0,0.0139451,0
63,0,0.0660337,0.133023,0.484126,0.304124,0,0,0.0126924,0
64,0,0.0613155,0.130911,0.482637,0.31418,0,0,0.0109569,0
65,0,0.0594979,0.114212,0.492548,0.323068,0,0,0.010674,0
66,0,0.0604196,0.108845,0.485288,0.335789,0,0,0.00965815,0
67,0,0.0575319,0.0922094,0.490974,0.350364,0,0,0.00892009,0
68,0,0.0557881,0.0763898,0.488358,0.371615,0,0,0.00784827,0
69,0,0.0550316,0.0655014,0.481267,0.388682,0,0,0.00951804,0
