y,savannah,grassland,tundra,plains,prairie,desert,swamp,marsh,arctic
1,0,0.0145393,0.200285,0.624114,0.159672,0,0,0.00138966,0
2,0,0.0119538,0.216098,0.615885,0.154602,0,0,0.00146102,0
3,0,0.016129,0.241845,0.59281,0.147774,0,0,0.0014417,0
4,0,0.0142298,0.258767,0.582884,0.141759,0,0,0.0023604,0
5,0,0.012905,0.283746,0.562701,0.138579,0,0,0.00206915,0
6,0,0.0139134,0.289862,0.552593,0.141545,0,0,0.002087,0
7,0,0.0164361,0.297234,0.543287,0.140277,0,0,0.00276648,0
8,0,0.016139,0.297733,0.540621,0.142622,0,0,0.00288458,0
9,0,0.0184026,0.29932,0.536637,0.142242,0,0,0.00339793,0
10,0,0.0209832,0.300326,0.521411,0.153285,0,0,0.00399379,0
11,0,0.0217594,0.294864,0.516936,0.161873,0,0,0.00456827,0
12,0,0.0269934,0.282069,0.513424,0.171547,2.89628e-05,0,0.00593738,0
13,0,0.0335735,0.268306,0.508443,0.183064,0.000168852,0,0.00644453,0
14,0,0.0342174,0.255627,0.499656,0.19978,0.00219871,0,0.00851999,0
15,0,0.042777,0.234206,0.489346,0.213725,0.0108144,0,0.00913218,0
16,0,0.0521787,0.20276,0.468192,0.229466,0.0362024,0,0.0112018,0
17,0,0.0598542,0.169617,0.440803,0.24189,0.0736904,0,0.0141455,0
18,0,0.0702424,0.142176,0.402798,0.2495,0.11801,0,0.0172723,0
19,0,0.0787953,0.11284,0.373206,0.261496,0.152327,0,0.0213356,0
20,0,0.0970839,0.0864565,0.337817,0.281625,0.171938,0,0.0250796,0
21,0,0.120907,0.0662671,0.305919,0.297765,0.179302,0,0.0298408,0
22,0,0.139778,0.0525385,0.271201,0.317128,0.18327,0,0.036085,0
23,0,0.168693,0.0362615,0.236517,0.328677,0.183274,0,0.0465781,0
24,0,0.196192,0.0236339,0.204283,0.335009,0.184656,0,0.0562262,0
25,0.00669923,0.217648,0.01616,0.164873,0.334092,0.194533,0.00184101,0.064154,0
26,0.0933391,0.217078,0.00784833,0.113138,0.277877,0.185328,0.0419682,0.0634237,0
27,0.166891,0.208734,0.00443791,0.0721731,0.23242,0.183653,0.0736185,0.0580732,0
28,0.227005,0.196328,0.00212438,0.0466351,0.186591,0.17951,0.102931,0.0588756,0
29,0.28079,0.183125,0.00115998,0.029302,0.14762,0.182167,0.123058,0.0527789,0
30,0.329555,0.170774,0.000328217,0.0177237,0.113184,0.174864,0.143734,0.0498384,0
31,0.371662,0.160356,0.000151565,0.0101548,0.0892717,0.163059,0.159143,0.046202,0
32,0.422219,0.151009,5.05894e-05,0.00629838,0.0699904,0.137173,0.170587,0.0426721,0
33,0.470842,0.14989,0,0.00355429,0.0555739,0.0933255,0.184569,0.0422453,0
34,0.524166,0.147515,0,0.00226164,0.0426916,0.0475961,0.192951,0.0428187,0
35,0.559543,0.148071,2.53807e-05,0.00114213,0.0362183,0.0161168,0.197995,0.0408883,0
36,0.557832,0.148775,0,0.00139445,0.0352163,0.0167334,0.197759,0.0422899,0
37,0.523616,0.144462,2.53665e-05,0.00200396,0.0437066,0.0449242,0.197377,0.0438841,0
38,0.47101,0.148676,0,0.0039942,0.053273,0.0947414,0.184598,0.0437072,0
39,0.41916,0.150952,0.000102184,0.00705071,0.0672116,0.13542,0.175399,0.0447056,0
40,0.374381,0.159104,0.000256496,0.0110806,0.0870034,0.160541,0.16031,0.0473235,0
41,0.330878,0.168249,0.000513347,0.0178388,0.114861,0.179594,0.13981,0.0482546,0
42,0.280954,0.185541,0.00118557,0.0303866,0.143557,0.180464,0.124871,0.0530412,0
43,0.230238,0.19522,0.00272137,0.0482401,0.186054,0.179662,0.100639,0.0572257,0
44,0.166184,0.208121,0.00430119,0.0746563,0.229653,0.183005,0.0740674,0.0600118,0
45,0.0954998,0.216557,0.00839926,0.111528,0.280643,0.183448,0.0404552,0.0634696,0
46,0.00810602,0.217782,0.0161348,0.164565,0.3342,0.193181,0.00229027,0.0637416,0
47,0,0.193339,0.0247034,0.205819,0.336167,0.186354,0,0.0536182,0
48,0,0.165979,0.0359808,0.243069,0.328161,0.180981,0,0.0458287,0
49,0,0.140845,0.0506686,0.275639,0.313622,0.1817,0,0.0375248,0
50,0,0.116466,0.0682453,0.301051,0.301228,0.181514,0,0.0314959,0
51,0,0.0956173,0.0860454,0.337673,0.282819,0.171708,0,0.0261378,0
52,0,0.0800704,0.111695,0.37202,0.264613,0.150442,0,0.0211598,0
53,0,0.0701777,0.140125,0.404836,0.250224,0.117766,0,0.0168714,0
54,0,0.0599902,0.167539,0.439791,0.242359,0.0767544,0,0.0135661,0
55,0,0.0515219,0.200797,0.470447,0.230845,0.0342177,0,0.0121703,0
56,0,0.0421725,0.227357,0.495197,0.213924,0.0117703,0,0.00957986,0
57,0,0.0356548,0.2549,0.500322,0.199431,0.00220158,0,0.00749074,0
58,0,0.0307671,0.267339,0.510833,0.184221,0.000136258,0,0.00670391,0
59,0,0.0256704,0.287145,0.510394,0.171322,0,0,0.0054689,0
60,0,0.0221923,0.293775,0.517934,0.161482,0,0,0.00461622,0
61,0,0.020898,0.30209,0.523159,0.149922,0,0,0.00393131,0
62,0,0.0175048,0.301819,0.52836,0.14876,0,0,0.00355663,0
63,0,0.0165899,0.29898,0.539171,0.142265,0,0,0.00299539,0
64,0,0.0153242,0.299512,0.54215,0.14089,0,0,0.00212344,0
65,0,0.0141952,0.28787,0.553378,0.14199,0,0,0.0025668,0
66,0,0.0136249,0.277305,0.565545,0.141673,0,0,0.00185193,0
67,0,0.0139586,0.259515,0.574132,0.14999,0,0,0.00240485,0
68,0,0.0151849,0.243608,0.586372,0.152888,0,0,0.00194679,0
69,0,0.0137516,0.222432,0.609282,0.153159,0,0,0.00137516,0
70,0,0.0146054,0.199339,0.623164,0.161163,0,0,0.00172915,0
