y,savannah,grassland,tundra,plains,prairie,desert,swamp,marsh,arctic
1,0,0.0134549,0.115295,0.603403,0.266458,0,0,0.00138889,0
2,0,0.0139313,0.143956,0.590819,0.249303,0,0,0.00199018,0
3,0,0.0142258,0.157852,0.589458,0.236914,0,0,0.00155025,0
4,0,0.014053,0.178276,0.577733,0.228038,0,0,0.00190088,0
5,0,0.0163272,0.19986,0.571775,0.20929,0,0,0.00274814,0
6,0,0.0174557,0.215302,0.565223,0.199506,0,0,0.0025129,0
7,0,0.0185505,0.228214,0.550906,0.199467,0,0,0.00286297,0
8,0,0.0204465,0.245039,0.536109,0.194933,0,0,0.00347271,0
9,0,0.0210947,0.249241,0.53146,0.194903,0,0,0.0033012,0
10,0,0.0227633,0.250117,0.525951,0.196567,0,0,0.00460242,0
11,0,0.0271827,0.252902,0.516089,0.198654,0,0,0.00517206,0
12,0,0.0295658,0.246801,0.510289,0.207492,0,0,0.00585156,0
13,0,0.0369487,0.23812,0.503294,0.214129,0,0,0.00750901,0
14,0,0.042668,0.225994,0.500425,0.221103,7.97533e-05,0,0.0097299,0
15,0,0.0505469,0.209322,0.490439,0.237416,0.000498387,0,0.0117777,0
16,0,0.0614924,0.192733,0.475921,0.252298,0.00375049,0,0.0138039,0
17,0,0.070976,0.170693,0.464976,0.262658,0.0140613,0,0.0166366,0
18,0,0.0825256,0.145615,0.435406,0.277965,0.037535,0,0.0209528,0
19,0,0.0957838,0.118137,0.406619,0.285656,0.0697053,0,0.0241001,0
20,0,0.111166,0.09351,0.369452,0.29468,0.101217,0,0.0299758,0
21,0,0.129069,0.0708072,0.334831,0.305919,0.124061,0,0.0353133,0
22,0,0.149301,0.0529103,0.303382,0.31462,0.138838,0,0.0409487,0
23,0,0.174082,0.0398539,0.268819,0.32277,0.142494,0,0.051981,0
24,0,0.205041,0.0270452,0.231439,0.330967,0.145381,0,0.0601264,0
25,0,0.231072,0.0189408,0.199444,0.325235,0.154177,0,0.0711308,0
26,0,0.257393,0.0117984,0.162955,0.324353,0.164896,0,0.0786046,0
27,0.0141757,0.273074,0.00759597,0.127226,0.301781,0.180195,0.011178,0.084775,0
28,0.107442,0.251236,0.00363776,0.086384,0.24496,0.17369,0.0503138,0.0823364,0
29,0.194682,0.220734,0.00141167,0.0567491,0.19345,0.173096,0.0864711,0.0734067,0
30,0.255217,0.201816,0.000690537,0.0349105,0.152916,0.175934,0.113708,0.0648082,0
31,0.302631,0.180722,0.000203946,0.0226635,0.12015,0.174272,0.13667,0.062688,0
32,0.335359,0.173449,0.000255297,0.0138116,0.0985703,0.170079,0.148838,0.0596375,0
33,0.357765,0.177876,0.000127382,0.00914603,0.0827983,0.154132,0.160043,0.0581117,0
34,0.378452,0.186569,2.54285e-05,0.00653512,0.0782943,0.117149,0.168108,0.064868,0
35,0.3875,0.212028,0,0.00535774,0.0773668,0.074752,0.170704,0.072291,0
36,0.392256,0.214513,2.56779e-05,0.00485312,0.0770337,0.0753389,0.167805,0.0681748,0
37,0.379008,0.190061,5.18444e-05,0.00614356,0.0796848,0.117609,0.163906,0.0635353,0
38,0.359443,0.174306,2.59114e-05,0.00945767,0.0856891,0.152774,0.158526,0.0597777,0
39,0.335193,0.172021,0.000103799,0.0140388,0.101282,0.171035,0.149211,0.0571154,0
40,0.300717,0.18285,0.000386957,0.0208957,0.120937,0.17751,0.13755,0.0591528,0
41,0.255464,0.197716,0.00090636,0.0322664,0.15333,0.179071,0.116144,0.0651025,0
42,0.189427,0.22289,0.00152223,0.0544906,0.195464,0.174592,0.0864573,0.0751567,0
43,0.107318,0.248618,0.00368475,0.0865148,0.24542,0.176279,0.0524309,0.0797339,0
44,0.0154529,0.268578,0.00780348,0.126652,0.306107,0.177247,0.0109351,0.0872244,0
45,0,0.257245,0.0119057,0.16398,0.323176,0.163722,0,0.0799712,0
46,0,0.227091,0.018291,0.196538,0.333127,0.156323,0,0.0686297,0
47,0,0.198666,0.028322,0.233708,0.331007,0.149,0,0.0592961,0
48,0,0.17731,0.0395758,0.267655,0.319552,0.143959,0,0.0519481,0
49,0,0.151376,0.0547532,0.299123,0.312288,0.140002,0,0.042458,0
50,0,0.126378,0.0707831,0.337196,0.305059,0.124668,0,0.0359148,0
51,0,0.110989,0.0937396,0.366066,0.298953,0.100084,0,0.0301679,0
52,0,0.0968328,0.118297,0.402169,0.285996,0.0717867,0,0.0249181,0
53,0,0.0828066,0.144306,0.439112,0.273779,0.0373891,0,0.0226068,0
54,0,0.0735675,0.166705,0.461052,0.265683,0.0157279,0,0.0172648,0
55,0,0.0596664,0.194284,0.476144,0.252737,0.00353713,0,0.0136321,0
56,0,0.0489852,0.211767,0.487435,0.239547,0.00049375,0,0.011772,0
57,0,0.0421579,0.226316,0.495342,0.225684,0,0,0.0105,0
58,0,0.0353746,0.240114,0.503687,0.212675,0,0,0.00814898,0
59,0,0.0306757,0.249788,0.504642,0.207937,0,0,0.00695681,0
