y,savannah,grassland,tundra,plains,prairie,desert,swamp,marsh
1,0.000000,0.120906,0.040959,0.397816,0.422910,0.000000,0.000000,0.017410
2,0.000000,0.114684,0.051789,0.411641,0.404337,0.000000,0.000000,0.017549
3,0.000000,0.109652,0.063290,0.421907,0.387354,0.000000,0.000000,0.017797
4,0.000000,0.105813,0.074851,0.428863,0.372292,0.000000,0.000000,0.018180
5,0.000000,0.103182,0.085775,0.432881,0.359431,0.000000,0.000000,0.018731
6,0.000000,0.101795,0.095352,0.434381,0.348985,0.000000,0.000000,0.019487
7,0.000000,0.101704,0.102929,0.433769,0.341107,0.000000,0.000000,0.020491
8,0.000000,0.102979,0.107971,0.431372,0.335883,0.000000,0.000000,0.021794
9,0.000000,0.105717,0.110105,0.427392,0.333329,0.000000,0.000000,0.023457
10,0.000000,0.110034,0.109156,0.421875,0.333388,0.000000,0.000000,0.025547
11,0.000000,0.116066,0.105157,0.414708,0.335919,0.000007,0.000000,0.028142
12,0.000000,0.123954,0.098347,0.405578,0.340644,0.000149,0.000000,0.031327
13,0.000000,0.133708,0.089079,0.393682,0.346828,0.001549,0.000000,0.035154
14,0.000000,0.144807,0.077674,0.377010,0.352427,0.008552,0.000000,0.039531
15,0.000000,0.156035,0.064615,0.352989,0.354188,0.028032,0.000000,0.044142
16,0.000000,0.166692,0.051098,0.321978,0.350803,0.060656,0.000000,0.048773
17,0.000000,0.177898,0.038707,0.288309,0.345037,0.096317,0.000000,0.053732
18,0.000000,0.191666,0.028382,0.256096,0.340558,0.123654,0.000000,0.059644
19,0.000000,0.209176,0.020214,0.226434,0.338466,0.138776,0.000000,0.066934
20,0.000000,0.230283,0.013925,0.198456,0.337311,0.144399,0.000000,0.075626
21,0.000000,0.253918,0.009212,0.171185,0.334684,0.145584,0.000000,0.085416
22,0.000000,0.278577,0.005814,0.144374,0.328447,0.146985,0.000000,0.095804
23,0.000654,0.297843,0.003429,0.116600,0.312243,0.149655,0.015061,0.104514
24,0.062113,0.290444,0.001769,0.084400,0.269130,0.146153,0.042200,0.103791
25,0.120548,0.277585,0.000857,0.058836,0.225992,0.147755,0.067603,0.100824
26,0.176437,0.259267,0.000389,0.039388,0.184353,0.153060,0.091575,0.095530
27,0.229557,0.236772,0.000166,0.025334,0.146165,0.159479,0.114195,0.088331
28,0.280090,0.212348,0.000066,0.015725,0.113128,0.162775,0.135815,0.080052
29,0.329469,0.188522,0.000025,0.009493,0.086151,0.157213,0.157447,0.071678
30,0.380162,0.167149,0.000009,0.005622,0.065112,0.137269,0.180706,0.063971
31,0.433457,0.148545,0.000003,0.003275,0.048982,0.101712,0.206913,0.057112
32,0.485781,0.131354,0.000001,0.001857,0.036323,0.058531,0.235524,0.050629
33,0.528300,0.113892,0.000000,0.000998,0.026001,0.023255,0.263643,0.043910
34,0.554332,0.096780,0.000000,0.000495,0.017810,0.005497,0.287851,0.037235
35,0.565301,0.084849,0.000000,0.000253,0.012819,0.000667,0.303565,0.032546
36,0.565301,0.084849,0.000000,0.000253,0.012819,0.000667,0.303565,0.032546
37,0.554332,0.096780,0.000000,0.000495,0.017810,0.005497,0.287851,0.037235
38,0.528300,0.113892,0.000000,0.000998,0.026001,0.023255,0.263643,0.043910
39,0.485781,0.131354,0.000001,0.001857,0.036323,0.058531,0.235524,0.050629
40,0.433457,0.148545,0.000003,0.003275,0.048982,0.101712,0.206913,0.057112
41,0.380162,0.167149,0.000009,0.005622,0.065112,0.137269,0.180706,0.063971
42,0.329469,0.188522,0.000025,0.009493,0.086151,0.157213,0.157447,0.071678
43,0.280090,0.212348,0.000066,0.015725,0.113128,0.162775,0.135815,0.080052
