y,savannah,grassland,tundra,plains,prairie,desert,swamp,marsh
1,0.000000,0.075360,0.094242,0.514962,0.305356,0.000000,0.000000,0.010079
2,0.000000,0.070321,0.110984,0.517643,0.291026,0.000000,0.000000,0.010027
3,0.000000,0.066428,0.127362,0.517322,0.278814,0.000000,0.000000,0.010074
4,0.000000,0.063606,0.142614,0.514682,0.268861,0.000000,0.000000,0.010237
5,0.000000,0.061811,0.156006,0.510375,0.261275,0.000000,0.000000,0.010533
6,0.000000,0.061023,0.166891,0.504964,0.256136,0.000000,0.000000,0.010985
7,0.000000,0.061253,0.174735,0.498881,0.253508,0.000000,0.000000,0.011622
8,0.000000,0.062543,0.179142,0.492394,0.253441,0.000000,0.000000,0.012480
9,0.000000,0.064971,0.179865,0.485593,0.255969,0.000000,0.000000,0.013603
10,0.000000,0.068650,0.176817,0.478378,0.261108,0.000001,0.000000,0.015046
11,0.000000,0.073731,0.170074,0.470452,0.268833,0.000032,0.000000,0.016878
12,0.000000,0.080373,0.159829,0.461185,0.278961,0.000478,0.000000,0.019174
13,0.000000,0.088590,0.146194,0.448955,0.290640,0.003647,0.000000,0.021974
14,0.000000,0.097903,0.129061,0.430355,0.301473,0.016017,0.000000,0.025191
15,0.000000,0.107426,0.108894,0.402265,0.308307,0.044498,0.000000,0.028610
16,0.000000,0.116974,0.087768,0.366457,0.310690,0.085940,0.000000,0.032171
17,0.000000,0.127768,0.068306,0.328884,0.311863,0.126974,0.000000,0.036205
18,0.000000,0.141492,0.051882,0.293900,0.315153,0.156356,0.000000,0.041216
19,0.000000,0.159152,0.038529,0.261990,0.321211,0.171569,0.000000,0.047550
20,0.000000,0.180774,0.027813,0.231619,0.328281,0.176242,0.000000,0.055270
21,0.000000,0.205620,0.019354,0.201385,0.333617,0.175837,0.000000,0.064187
22,0.000000,0.232463,0.012885,0.170922,0.334619,0.175188,0.000000,0.073922
23,0.005324,0.255595,0.008031,0.138559,0.324119,0.174918,0.010845,0.082609
24,0.071252,0.254095,0.004357,0.099742,0.281868,0.165242,0.040165,0.083280
25,0.130475,0.248427,0.002237,0.069348,0.239380,0.161520,0.066233,0.082380
26,0.184758,0.238137,0.001084,0.046428,0.197922,0.162130,0.089824,0.079716
27,0.235078,0.223748,0.000496,0.029921,0.159273,0.164678,0.111370,0.075436
28,0.282596,0.206572,0.000214,0.018608,0.125055,0.165582,0.131387,0.069986
29,0.329365,0.188314,0.000088,0.011221,0.096260,0.160021,0.150767,0.063964
30,0.378374,0.170413,0.000035,0.006594,0.073012,0.142919,0.170756,0.057898
31,0.432235,0.153286,0.000013,0.003778,0.054600,0.111790,0.192330,0.051967
32,0.490237,0.135974,0.000005,0.002088,0.039856,0.071053,0.214910,0.045877
33,0.546058,0.117075,0.000002,0.001086,0.027803,0.033232,0.235552,0.039193
34,0.590891,0.097251,0.000000,0.000518,0.018258,0.010161,0.250728,0.032192
35,0.619434,0.080932,0.000000,0.000234,0.011864,0.001788,0.259302,0.026446
36,0.619434,0.080932,0.000000,0.000234,0.011864,0.001788,0.259302,0.026446
37,0.590891,0.097251,0.000000,0.000518,0.018258,0.010161,0.250728,0.032192
38,0.546058,0.117075,0.000002,0.001086,0.027803,0.033232,0.235552,0.039193
39,0.490237,0.135974,0.000005,0.002088,0.039856,0.071053,0.214910,0.045877
40,0.432235,0.153286,0.000013,0.003778,0.054600,0.111790,0.192330,0.051967
