y,savannah,grassland,tundra,plains,prairie,desert,swamp,marsh
1,0.000000,0.016826,0.135245,0.638708,0.207610,0.000000,0.000000,0.001610
2,0.000000,0.017002,0.155967,0.626555,0.198721,0.000000,0.000000,0.001755
3,0.000000,0.017328,0.176398,0.613074,0.191274,0.000000,0.000000,0.001926
4,0.000000,0.017829,0.195840,0.598901,0.185303,0.000000,0.000000,0.002127
5,0.000000,0.018536,0.213622,0.584626,0.180848,0.000000,0.000000,0.002369
6,0.000000,0.019488,0.229138,0.570755,0.177957,0.000000,0.000000,0.002661
7,0.000000,0.020736,0.241866,0.557689,0.176690,0.000000,0.000000,0.003019
8,0.000000,0.022342,0.251381,0.545703,0.177115,0.000000,0.000000,0.003459
9,0.000000,0.024387,0.257355,0.534942,0.179311,0.000000,0.000000,0.004005
10,0.000000,0.026968,0.259558,0.525416,0.183370,0.000000,0.000000,0.004688
11,0.000000,0.030211,0.257858,0.516995,0.189391,0.000000,0.000000,0.005545
12,0.000000,0.034270,0.252221,0.509409,0.197474,0.000000,0.000000,0.006625
13,0.000000,0.039333,0.242720,0.502245,0.207709,0.000002,0.000000,0.007991
14,0.000000,0.045624,0.229541,0.494922,0.220138,0.000059,0.000000,0.009716
15,0.000000,0.053383,0.212913,0.486508,0.234633,0.000674,0.000000,0.011889
16,0.000000,0.062747,0.192911,0.475113,0.250474,0.004177,0.000000,0.014579
17,0.000000,0.073563,0.169518,0.457671,0.265893,0.015566,0.000000,0.017789
18,0.000000,0.085483,0.143567,0.432146,0.278931,0.038410,0.000000,0.021463
19,0.000000,0.098535,0.117276,0.400285,0.289383,0.068895,0.000000,0.025625
20,0.000000,0.113406,0.093010,0.366112,0.298866,0.098132,0.000000,0.030475
21,0.000000,0.130956,0.071964,0.332256,0.308757,0.119790,0.000000,0.036277
22,0.000000,0.151616,0.054283,0.298972,0.318847,0.133090,0.000000,0.043192
23,0.000000,0.175160,0.039729,0.265479,0.327576,0.140863,0.000000,0.051192
24,0.000000,0.200766,0.028050,0.231293,0.332887,0.146953,0.000000,0.060051
25,0.000000,0.227153,0.019010,0.196715,0.332927,0.154825,0.000000,0.069371
26,0.000000,0.252725,0.012318,0.162696,0.326429,0.167220,0.000000,0.078613
27,0.012666,0.269924,0.007450,0.127741,0.306315,0.182254,0.008335,0.085315
28,0.097378,0.252346,0.003835,0.086809,0.250816,0.182359,0.045609,0.080850
29,0.173361,0.230278,0.001873,0.056928,0.199809,0.184403,0.078742,0.074607
30,0.236251,0.208286,0.000881,0.036561,0.157182,0.186860,0.105908,0.068072
31,0.285299,0.190360,0.000406,0.023405,0.124336,0.186716,0.126880,0.062598
32,0.322497,0.179870,0.000187,0.015221,0.100948,0.179314,0.142606,0.059357
33,0.350611,0.180320,0.000087,0.010225,0.085946,0.158943,0.154321,0.059547
34,0.370599,0.195982,0.000041,0.007146,0.078171,0.121067,0.162409,0.064584
35,0.380582,0.227040,0.000019,0.005225,0.076224,0.070320,0.166043,0.074546
36,0.380582,0.227040,0.000019,0.005225,0.076224,0.070320,0.166043,0.074546
37,0.370599,0.195982,0.000041,0.007146,0.078171,0.121067,0.162409,0.064584
38,0.350611,0.180320,0.000087,0.010225,0.085946,0.158943,0.154321,0.059547
39,0.322497,0.179870,0.000187,0.015221,0.100948,0.179314,0.142606,0.059357
40,0.285299,0.190360,0.000406,0.023405,0.124336,0.186716,0.126880,0.062598
41,0.236251,0.208286,0.000881,0.036561,0.157182,0.186860,0.105908,0.068072
42,0.173361,0.230278,0.001873,0.056928,0.199809,0.184403,0.078742,0.074607
43,0.097378,0.252346,0.003835,0.086809,0.250816,0.182359,0.045609,0.080850
44,0.012666,0.269924,0.007450,0.127741,0.306315,0.182254,0.008335,0.085315
45,0.000000,0.252725,0.012318,0.162696,0.326429,0.167220,0.000000,0.078613
46,0.000000,0.227153,0.019010,0.196715,0.332927,0.154825,0.000000,0.069371
47,0.000000,0.200766,0.028050,0.231293,0.332887,0.146953,0.000000,0.060051
48,0.000000,0.175160,0.039729,0.265479,0.327576,0.140863,0.000000,0.051192
49,0.000000,0.151616,0.054283,0.298972,0.318847,0.133090,0.000000,0.043192
50,0.000000,0.130956,0.071964,0.332256,0.308757,0.119790,0.000000,0.036277
51,0.000000,0.113406,0.093010,0.366112,0.298866,0.098132,0.000000,0.030475
52,0.000000,0.098535,0.117276,0.400285,0.289383,0.068895,0.000000,0.025625
53,0.000000,0.085483,0.143567,0.432146,0.278931,0.038410,0.000000,0.021463
54,0.000000,0.073563,0.169518,0.457671,0.265893,0.015566,0.000000,0.017789
55,0.000000,0.062747,0.192911,0.475113,0.250474,0.004177,0.000000,0.014579
56,0.000000,0.053383,0.212913,0.486508,0.234633,0.000674,0.000000,0.011889
57,0.000000,0.045624,0.229541,0.494922,0.220138,0.000059,0.000000,0.009716
58,0.000000,0.039333,0.242720,0.502245,0.207709,0.000002,0.000000,0.007991
59,0.000000,0.034270,0.252221,0.509409,0.197474,0.000000,0.000000,0.006625
60,0.000000,0.030211,0.257858,0.516995,0.189391,0.000000,0.000000,0.005545
61,0.000000,0.026968,0.259558,0.525416,0.183370,0.000000,0.000000,0.004688
62,0.000000,0.024387,0.257355,0.534942,0.179311,0.000000,0.000000,0.004005
63,0.000000,0.022342,0.251381,0.545703,0.177115,0.000000,0.000000,0.003459
64,0.000000,0.020736,0.241866,0.557689,0.176690,0.000000,0.000000,0.003019
65,0.000000,0.019488,0.229138,0.570755,0.177957,0.000000,0.000000,0.002661
66,0.000000,0.018536,0.213622,0.584626,0.180848,0.000000,0.000000,0.002369
67,0.000000,0.017829,0.195840,0.598901,0.185303,0.000000,0.000000,0.002127
68,0.000000,0.017328,0.176398,0.613074,0.191274,0.000000,0.000000,0.001926
69,0.000000,0.017002,0.155967,0.626555,0.198721,0.000000,0.000000,0.001755
70,0.000000,0.016826,0.135245,0.638708,0.207610,0.000000,0.000000,0.001610
