y,savannah,grassland,tundra,plains,prairie,desert,swamp,marsh
1,0.000000,0.006391,0.237792,0.641397,0.113883,0.000000,0.000000,0.000537
2,0.000000,0.006543,0.259012,0.623286,0.110562,0.000000,0.000000,0.000596
3,0.000000,0.006777,0.278507,0.605848,0.108200,0.000000,0.000000,0.000668
4,0.000000,0.007106,0.295841,0.589480,0.106817,0.000000,0.000000,0.000756
5,0.000000,0.007549,0.310647,0.574495,0.106445,0.000000,0.000000,0.000864
6,0.000000,0.008129,0.322627,0.561114,0.107132,0.000000,0.000000,0.000998
7,0.000000,0.008877,0.331543,0.549472,0.108943,0.000000,0.000000,0.001165
8,0.000000,0.009833,0.337209,0.539616,0.111966,0.000000,0.000000,0.001377
9,0.000000,0.011048,0.339486,0.531509,0.116310,0.000000,0.000000,0.001646
10,0.000000,0.012592,0.338275,0.525031,0.122112,0.000000,0.000000,0.001990
11,0.000000,0.014553,0.333512,0.519969,0.129532,0.000000,0.000000,0.002434
12,0.000000,0.017047,0.325177,0.516014,0.138754,0.000000,0.000000,0.003007
13,0.000000,0.020222,0.313298,0.512740,0.149978,0.000009,0.000000,0.003753
14,0.000000,0.024265,0.297930,0.509537,0.163386,0.000157,0.000000,0.004725
15,0.000000,0.029385,0.278990,0.505238,0.178978,0.001424,0.000000,0.005986
16,0.000000,0.035728,0.255938,0.497293,0.196129,0.007320,0.000000,0.007592
17,0.000000,0.043272,0.228218,0.482083,0.213323,0.023537,0.000000,0.009566
18,0.000000,0.051964,0.196878,0.458128,0.229218,0.051893,0.000000,0.011918
19,0.000000,0.062090,0.164893,0.428283,0.244173,0.085829,0.000000,0.014732
20,0.000000,0.074362,0.135070,0.396784,0.259769,0.115813,0.000000,0.018202
21,0.000000,0.089580,0.108588,0.365566,0.276965,0.136744,0.000000,0.022557
22,0.000000,0.108253,0.085450,0.334050,0.295158,0.149123,0.000000,0.027965
23,0.000000,0.130415,0.065410,0.300868,0.312439,0.156403,0.000000,0.034466
24,0.000000,0.155564,0.048373,0.265276,0.326281,0.162564,0.000000,0.041941
25,0.000000,0.182671,0.034362,0.227643,0.334207,0.171016,0.000000,0.050101
26,0.000000,0.210225,0.023342,0.189287,0.334277,0.184377,0.000000,0.058493
27,0.015227,0.232285,0.014853,0.149398,0.319828,0.200969,0.002058,0.065382
28,0.104046,0.222072,0.007979,0.100855,0.263767,0.198980,0.039248,0.063055
29,0.182223,0.206875,0.004073,0.065565,0.211120,0.198910,0.072149,0.059086
30,0.246142,0.190837,0.002007,0.041684,0.166569,0.199287,0.098809,0.054664
31,0.296141,0.177745,0.000971,0.026379,0.131914,0.197114,0.118832,0.050905
32,0.335391,0.170950,0.000470,0.016920,0.106941,0.187735,0.132810,0.048783
33,0.368113,0.173994,0.000230,0.011162,0.090506,0.165406,0.141300,0.049289
34,0.397309,0.190952,0.000114,0.007606,0.081249,0.125566,0.143697,0.053507
35,0.421695,0.221334,0.000055,0.005380,0.077639,0.073343,0.139251,0.061303
36,0.421695,0.221334,0.000055,0.005380,0.077639,0.073343,0.139251,0.061303
37,0.397309,0.190952,0.000114,0.007606,0.081249,0.125566,0.143697,0.053507
38,0.368113,0.173994,0.000230,0.011162,0.090506,0.165406,0.141300,0.049289
39,0.335391,0.170950,0.000470,0.016920,0.106941,0.187735,0.132810,0.048783
40,0.296141,0.177745,0.000971,0.026379,0.131914,0.197114,0.118832,0.050905
41,0.246142,0.190837,0.002007,0.041684,0.166569,0.199287,0.098809,0.054664
42,0.182223,0.206875,0.004073,0.065565,0.211120,0.198910,0.072149,0.059086
43,0.104046,0.222072,0.007979,0.100855,0.263767,0.198980,0.039248,0.063055
44,0.015227,0.232285,0.014853,0.149398,0.319828,0.200969,0.002058,0.065382
45,0.000000,0.210225,0.023342,0.189287,0.334277,0.184377,0.000000,0.058493
46,0.000000,0.182671,0.034362,0.227643,0.334207,0.171016,0.000000,0.050101
47,0.000000,0.155564,0.048373,0.265276,0.326281,0.162564,0.000000,0.041941
48,0.000000,0.130415,0.065410,0.300868,0.312439,0.156403,0.000000,0.034466
49,0.000000,0.108253,0.085450,0.334050,0.295158,0.149123,0.000000,0.027965
50,0.000000,0.089580,0.108588,0.365566,0.276965,0.136744,0.000000,0.022557
51,0.000000,0.074362,0.135070,0.396784,0.259769,0.115813,0.000000,0.018202
52,0.000000,0.062090,0.164893,0.428283,0.244173,0.085829,0.000000,0.014732
53,0.000000,0.051964,0.196878,0.458128,0.229218,0.051893,0.000000,0.011918
54,0.000000,0.043272,0.228218,0.482083,0.213323,0.023537,0.000000,0.009566
55,0.000000,0.035728,0.255938,0.497293,0.196129,0.007320,0.000000,0.007592
56,0.000000,0.029385,0.278990,0.505238,0.178978,0.001424,0.000000,0.005986
57,0.000000,0.024265,0.297930,0.509537,0.163386,0.000157,0.000000,0.004725
58,0.000000,0.020222,0.313298,0.512740,0.149978,0.000009,0.000000,0.003753
59,0.000000,0.017047,0.325177,0.516014,0.138754,0.000000,0.000000,0.003007
60,0.000000,0.014553,0.333512,0.519969,0.129532,0.000000,0.000000,0.002434
61,0.000000,0.012592,0.338275,0.525031,0.122112,0.000000,0.000000,0.001990
62,0.000000,0.011048,0.339486,0.531509,0.116310,0.000000,0.000000,0.001646
63,0.000000,0.009833,0.337209,0.539616,0.111966,0.000000,0.000000,0.001377
64,0.000000,0.008877,0.331543,0.549472,0.108943,0.000000,0.000000,0.001165
65,0.000000,0.008129,0.322627,0.561114,0.107132,0.000000,0.000000,0.000998
66,0.000000,0.007549,0.310647,0.574495,0.106445,0.000000,0.000000,0.000864
67,0.000000,0.007106,0.295841,0.589480,0.106817,0.000000,0.000000,0.000756
68,0.000000,0.006777,0.278507,0.605848,0.108200,0.000000,0.000000,0.000668
69,0.000000,0.006543,0.259012,0.623286,0.110562,0.000000,0.000000,0.000596
70,0.000000,0.006391,0.237792,0.641397,0.113883,0.000000,0.000000,0.000537
