y,savannah,grassland,tundra,plains,prairie,desert,swamp,marsh
1,0.000000,0.112636,0.020110,0.448043,0.410572,0.000051,0.000000,0.008588
2,0.000000,0.108083,0.029211,0.459607,0.393698,0.000089,0.000000,0.009312
3,0.000000,0.104406,0.040520,0.466815,0.377993,0.000152,0.000000,0.010115
4,0.000000,0.101599,0.053710,0.469789,0.363631,0.000256,0.000000,0.011015
5,0.000000,0.099694,0.068098,0.468902,0.350845,0.000423,0.000000,0.012038
6,0.000000,0.098761,0.082686,0.464732,0.339914,0.000689,0.000000,0.013218
7,0.000000,0.098905,0.096278,0.457978,0.331130,0.001106,0.000000,0.014602
8,0.000000,0.100260,0.107641,0.449332,0.324764,0.001753,0.000000,0.016251
9,0.000000,0.102981,0.115672,0.439356,0.321010,0.002744,0.000000,0.018237
10,0.000000,0.107237,0.119540,0.428376,0.319952,0.004246,0.000000,0.020650
11,0.000000,0.113193,0.118787,0.416420,0.321518,0.006495,0.000000,0.023587
12,0.000000,0.120999,0.113393,0.403205,0.325439,0.009809,0.000000,0.027154
13,0.000000,0.130753,0.103800,0.388181,0.331212,0.014602,0.000000,0.031451
14,0.000000,0.142473,0.090885,0.370643,0.338073,0.021372,0.000000,0.036555
15,0.000000,0.156052,0.075880,0.349896,0.345012,0.030656,0.000000,0.042504
16,0.000000,0.171239,0.060205,0.325479,0.350845,0.042956,0.000000,0.049276
17,0.000000,0.187641,0.045249,0.297372,0.354361,0.058604,0.000000,0.056773
18,0.000000,0.204766,0.032127,0.266125,0.354520,0.077634,0.000000,0.064828
19,0.000000,0.222111,0.021507,0.232836,0.350647,0.099670,0.000000,0.073229
20,0.000000,0.239257,0.013563,0.198972,0.342558,0.123900,0.000000,0.081751
21,0.000000,0.255958,0.008057,0.166084,0.330561,0.149137,0.000000,0.090203
22,0.012229,0.265848,0.004408,0.132373,0.308004,0.169919,0.011058,0.096161
23,0.034492,0.271037,0.002245,0.101846,0.280154,0.185264,0.024825,0.100136
24,0.062663,0.272381,0.001069,0.075954,0.249779,0.194094,0.041777,0.102282
25,0.098155,0.269289,0.000475,0.054788,0.217821,0.194970,0.062239,0.102264
26,0.141921,0.261278,0.000196,0.038121,0.185295,0.187278,0.086081,0.099830
27,0.194026,0.248155,0.000075,0.025507,0.153297,0.171492,0.112556,0.094892
28,0.253239,0.230237,0.000027,0.016363,0.122994,0.149268,0.140253,0.087619
29,0.316891,0.208517,0.000009,0.010043,0.095516,0.123236,0.167285,0.078505
30,0.381190,0.184634,0.000003,0.005891,0.071787,0.096449,0.191712,0.068335
31,0.441954,0.160613,0.000001,0.003305,0.052353,0.071681,0.212044,0.058050
32,0.495437,0.138462,0.000000,0.001778,0.037312,0.050865,0.227584,0.048561
33,0.538882,0.119841,0.000000,0.000925,0.026388,0.034918,0.238447,0.040601
34,0.570624,0.105901,0.000000,0.000475,0.019102,0.023939,0.245300,0.034658
35,0.589860,0.097322,0.000000,0.000265,0.014966,0.017603,0.248974,0.031010
36,0.589860,0.097322,0.000000,0.000265,0.014966,0.017603,0.248974,0.031010
37,0.570624,0.105901,0.000000,0.000475,0.019102,0.023939,0.245300,0.034658
38,0.538882,0.119841,0.000000,0.000925,0.026388,0.034918,0.238447,0.040601
39,0.495437,0.138462,0.000000,0.001778,0.037312,0.050865,0.227584,0.048561
40,0.441954,0.160613,0.000001,0.003305,0.052353,0.071681,0.212044,0.058050
41,0.381190,0.184634,0.000003,0.005891,0.071787,0.096449,0.191712,0.068335
42,0.316891,0.208517,0.000009,0.010043,0.095516,0.123236,0.167285,0.078505
43,0.253239,0.230237,0.000027,0.016363,0.122994,0.149268,0.140253,0.087619
44,0.194026,0.248155,0.000075,0.025507,0.153297,0.171492,0.112556,0.094892
45,0.141921,0.261278,0.000196,0.038121,0.185295,0.187278,0.086081,0.099830
46,0.098155,0.269289,0.000475,0.054788,0.217821,0.194970,0.062239,0.102264
47,0.062663,0.272381,0.001069,0.075954,0.249779,0.194094,0.041777,0.102282
