y,savannah,grassland,tundra,plains,prairie,desert,swamp,marsh
1,0.000000,0.063875,0.120555,0.546634,0.261323,0.000000,0.000000,0.007614
2,0.000000,0.060016,0.138223,0.542862,0.251186,0.000000,0.000000,0.007712
3,0.000000,0.057151,0.154913,0.537097,0.242944,0.000000,0.000000,0.007896
4,0.000000,0.055218,0.169903,0.530000,0.236699,0.000000,0.000000,0.008179
5,0.000000,0.054186,0.182539,0.522151,0.232544,0.000000,0.000000,0.008581
6,0.000000,0.054048,0.192265,0.514001,0.230559,0.000000,0.000000,0.009126
7,0.000000,0.054830,0.198648,0.505856,0.230821,0.000000,0.000000,0.009844
8,0.000000,0.056587,0.201384,0.497855,0.233401,0.000000,0.000000,0.010772
9,0.000000,0.059408,0.200307,0.489965,0.238362,0.000000,0.000000,0.011959
10,0.000000,0.063419,0.195393,0.481977,0.245748,0.000001,0.000000,0.013461
11,0.000000,0.068782,0.186767,0.473500,0.255563,0.000035,0.000000,0.015353
12,0.000000,0.075668,0.174649,0.463819,0.267646,0.000507,0.000000,0.017711
13,0.000000,0.084100,0.159142,0.451213,0.281158,0.003801,0.000000,0.020586
14,0.000000,0.093628,0.140094,0.432206,0.293722,0.016450,0.000000,0.023901
15,0.000000,0.103410,0.118005,0.403740,0.302235,0.045157,0.000000,0.027453
16,0.000000,0.113288,0.095092,0.367732,0.306262,0.086434,0.000000,0.031192
17,0.000000,0.124446,0.074108,0.330134,0.308953,0.126922,0.000000,0.035438
18,0.000000,0.138503,0.056437,0.295180,0.313508,0.155693,0.000000,0.040679
19,0.000000,0.156423,0.042065,0.263267,0.320509,0.170484,0.000000,0.047253
20,0.000000,0.178224,0.030507,0.232854,0.328193,0.175001,0.000000,0.055222
21,0.000000,0.203178,0.021351,0.202568,0.333842,0.174668,0.000000,0.064394
22,0.000000,0.230080,0.014316,0.172070,0.334903,0.174250,0.000000,0.074381
23,0.019868,0.247848,0.008807,0.136677,0.317303,0.170572,0.017421,0.081505
24,0.078255,0.249092,0.004875,0.099565,0.278465,0.163089,0.043565,0.083094
25,0.131643,0.245967,0.002558,0.070051,0.238389,0.161181,0.067209,0.083003
26,0.181430,0.237977,0.001268,0.047470,0.198525,0.163355,0.088961,0.081014
27,0.228447,0.225557,0.000594,0.030976,0.160797,0.167201,0.109179,0.077248
28,0.273812,0.209961,0.000263,0.019514,0.126987,0.168971,0.128353,0.072139
29,0.319590,0.192885,0.000111,0.011924,0.098254,0.163567,0.147368,0.066301
30,0.368809,0.175775,0.000045,0.007102,0.074844,0.145683,0.167469,0.060274
31,0.424024,0.158977,0.000017,0.004122,0.056115,0.112947,0.189577,0.054221
32,0.484153,0.141353,0.000006,0.002303,0.040934,0.070545,0.212911,0.047796
33,0.542145,0.121436,0.000002,0.001206,0.028397,0.032068,0.234194,0.040552
34,0.588639,0.100249,0.000001,0.000578,0.018464,0.009422,0.249730,0.032918
35,0.618247,0.082862,0.000000,0.000262,0.011868,0.001578,0.258481,0.026701
36,0.618247,0.082862,0.000000,0.000262,0.011868,0.001578,0.258481,0.026701
37,0.588639,0.100249,0.000001,0.000578,0.018464,0.009422,0.249730,0.032918
38,0.542145,0.121436,0.000002,0.001206,0.028397,0.032068,0.234194,0.040552
39,0.484153,0.141353,0.000006,0.002303,0.040934,0.070545,0.212911,0.047796
40,0.424024,0.158977,0.000017,0.004122,0.056115,0.112947,0.189577,0.054221
41,0.368809,0.175775,0.000045,0.007102,0.074844,0.145683,0.167469,0.060274
42,0.319590,0.192885,0.000111,0.011924,0.098254,0.163567,0.147368,0.066301
43,0.273812,0.209961,0.000263,0.019514,0.126987,0.168971,0.128353,0.072139
44,0.228447,0.225557,0.000594,0.030976,0.160797,0.167201,0.109179,0.077248
45,0.181430,0.237977,0.001268,0.047470,0.198525,0.163355,0.088961,0.081014
46,0.131643,0.245967,0.002558,0.070051,0.238389,0.161181,0.067209,0.083003
