y,savannah,grassland,tundra,plains,prairie,desert,swamp,marsh
1,0.000000,0.020732,0.223159,0.577218,0.176798,0.000171,0.000000,0.001922
2,0.000000,0.020478,0.242039,0.564894,0.170241,0.000271,0.000000,0.002077
3,0.000000,0.020531,0.258444,0.552823,0.165507,0.000425,0.000000,0.002271
4,0.000000,0.020909,0.271897,0.541435,0.162585,0.000661,0.000000,0.002513
5,0.000000,0.021642,0.282012,0.531024,0.161483,0.001022,0.000000,0.002816
6,0.000000,0.022778,0.288484,0.521744,0.162226,0.001570,0.000000,0.003199
7,0.000000,0.024379,0.291084,0.513601,0.164860,0.002396,0.000000,0.003681
8,0.000000,0.026528,0.289652,0.506452,0.169443,0.003632,0.000000,0.004293
9,0.000000,0.029334,0.284094,0.499991,0.176042,0.005469,0.000000,0.005069
10,0.000000,0.032931,0.274395,0.493738,0.184711,0.008168,0.000000,0.006056
11,0.000000,0.037482,0.260632,0.487027,0.195463,0.012086,0.000000,0.007310
12,0.000000,0.043175,0.243011,0.479004,0.208228,0.017684,0.000000,0.008899
13,0.000000,0.050213,0.221906,0.468654,0.222799,0.025528,0.000000,0.010899
14,0.000000,0.058801,0.197903,0.454872,0.238772,0.036257,0.000000,0.013395
15,0.000000,0.069114,0.171831,0.436592,0.255492,0.050504,0.000000,0.016466
16,0.000000,0.081262,0.144761,0.412997,0.272037,0.068765,0.000000,0.020178
17,0.000000,0.095258,0.117939,0.383756,0.287268,0.091212,0.000000,0.024567
18,0.000000,0.111002,0.092647,0.349235,0.299968,0.117519,0.000000,0.029629
19,0.000000,0.128294,0.070019,0.310576,0.309046,0.146746,0.000000,0.035320
20,0.000000,0.146889,0.050847,0.269569,0.313758,0.177373,0.000000,0.041564
21,0.000000,0.166577,0.035474,0.228325,0.313851,0.207495,0.000000,0.048279
22,0.007423,0.185101,0.023523,0.186703,0.306010,0.232408,0.004074,0.054758
23,0.042899,0.195680,0.014393,0.143097,0.282361,0.241987,0.020701,0.058881
24,0.079600,0.204701,0.008454,0.106928,0.256464,0.243627,0.037790,0.062436
25,0.119618,0.211352,0.004753,0.077697,0.228705,0.236552,0.056207,0.065116
26,0.164480,0.214714,0.002551,0.054730,0.199621,0.220827,0.076488,0.066589
27,0.214966,0.213849,0.001302,0.037238,0.169919,0.197480,0.098719,0.066527
28,0.270840,0.208025,0.000629,0.024381,0.140525,0.168542,0.122366,0.064692
29,0.330734,0.197043,0.000287,0.015313,0.112565,0.136858,0.146159,0.061041
30,0.392457,0.181481,0.000124,0.009213,0.087205,0.105575,0.168139,0.055807
31,0.453853,0.162664,0.000050,0.005312,0.065373,0.077408,0.185865,0.049475
32,0.513961,0.142272,0.000019,0.002938,0.047494,0.054015,0.196664,0.042637
33,0.573789,0.121802,0.000007,0.001555,0.033417,0.035805,0.197823,0.035801
34,0.634919,0.102454,0.000002,0.000776,0.022646,0.022322,0.187519,0.029362
35,0.691335,0.086516,0.000001,0.000365,0.015106,0.013285,0.169325,0.024068
36,0.691335,0.086516,0.000001,0.000365,0.015106,0.013285,0.169325,0.024068
37,0.634919,0.102454,0.000002,0.000776,0.022646,0.022322,0.187519,0.029362
38,0.573789,0.121802,0.000007,0.001555,0.033417,0.035805,0.197823,0.035801
39,0.513961,0.142272,0.000019,0.002938,0.047494,0.054015,0.196664,0.042637
40,0.453853,0.162664,0.000050,0.005312,0.065373,0.077408,0.185865,0.049475
41,0.392457,0.181481,0.000124,0.009213,0.087205,0.105575,0.168139,0.055807
42,0.330734,0.197043,0.000287,0.015313,0.112565,0.136858,0.146159,0.061041
43,0.270840,0.208025,0.000629,0.024381,0.140525,0.168542,0.122366,0.064692
44,0.214966,0.213849,0.001302,0.037238,0.169919,0.197480,0.098719,0.066527
45,0.164480,0.214714,0.002551,0.054730,0.199621,0.220827,0.076488,0.066589
46,0.119618,0.211352,0.004753,0.077697,0.228705,0.236552,0.056207,0.065116
47,0.079600,0.204701,0.008454,0.106928,0.256464,0.243627,0.037790,0.062436
48,0.042899,0.195680,0.014393,0.143097,0.282361,0.241987,0.020701,0.058881
49,0.007423,0.185101,0.023523,0.186703,0.306010,0.232408,0.004074,0.054758
50,0.000000,0.166577,0.035474,0.228325,0.313851,0.207495,0.000000,0.048279
51,0.000000,0.146889,0.050847,0.269569,0.313758,0.177373,0.000000,0.041564
52,0.000000,0.128294,0.070019,0.310576,0.309046,0.146746,0.000000,0.035320
53,0.000000,0.111002,0.092647,0.349235,0.299968,0.117519,0.000000,0.029629
54,0.000000,0.095258,0.117939,0.383756,0.287268,0.091212,0.000000,0.024567
55,0.000000,0.081262,0.144761,0.412997,0.272037,0.068765,0.000000,0.020178
56,0.000000,0.069114,0.171831,0.436592,0.255492,0.050504,0.000000,0.016466
