y,savannah,grassland,tundra,plains,prairie,desert,swamp,marsh
1,0.000000,0.058563,0.052120,0.490542,0.392252,0.000012,0.000000,0.006511
2,0.000000,0.058711,0.065269,0.495646,0.373293,0.000022,0.000000,0.007058
3,0.000000,0.059180,0.079306,0.497478,0.356324,0.000040,0.000000,0.007673
4,0.000000,0.060032,0.093585,0.496468,0.341472,0.000071,0.000000,0.008372
5,0.000000,0.061346,0.107360,0.493126,0.328865,0.000124,0.000000,0.009179
6,0.000000,0.063214,0.119854,0.487984,0.318613,0.000213,0.000000,0.010122
7,0.000000,0.065745,0.130322,0.481534,0.310802,0.000360,0.000000,0.011237
8,0.000000,0.069062,0.138120,0.474167,0.305484,0.000601,0.000000,0.012566
9,0.000000,0.073304,0.142743,0.466130,0.302668,0.000992,0.000000,0.014162
10,0.000000,0.078626,0.143862,0.457498,0.302310,0.001615,0.000000,0.016088
11,0.000000,0.085194,0.141346,0.448153,0.304296,0.002597,0.000000,0.018414
12,0.000000,0.093175,0.135273,0.437793,0.308422,0.004119,0.000000,0.021218
13,0.000000,0.102725,0.125941,0.425946,0.314370,0.006434,0.000000,0.024583
14,0.000000,0.113967,0.113866,0.412021,0.321675,0.009885,0.000000,0.028586
15,0.000000,0.126958,0.099757,0.395384,0.329708,0.014902,0.000000,0.033291
16,0.000000,0.141658,0.084476,0.375469,0.337675,0.021989,0.000000,0.038733
17,0.000000,0.157898,0.068964,0.351914,0.344650,0.031675,0.000000,0.044900
18,0.000000,0.175362,0.054134,0.324697,0.349654,0.044426,0.000000,0.051727
19,0.000000,0.193604,0.040765,0.294234,0.351781,0.060530,0.000000,0.059085
20,0.000000,0.212097,0.029395,0.261394,0.350346,0.079972,0.000000,0.066796
21,0.000000,0.230311,0.020275,0.227408,0.345010,0.102341,0.000000,0.074655
22,0.000000,0.247819,0.013372,0.193682,0.335846,0.126817,0.000000,0.082464
23,0.000000,0.264369,0.008438,0.161565,0.323318,0.152237,0.000000,0.090074
24,0.000000,0.279937,0.005099,0.132151,0.308169,0.177243,0.000000,0.097401
25,0.019416,0.283679,0.002845,0.102175,0.280356,0.192937,0.018061,0.100531
26,0.079102,0.269055,0.001433,0.073013,0.238035,0.191995,0.050514,0.096854
27,0.130744,0.256147,0.000699,0.051695,0.202219,0.187249,0.077839,0.093409
28,0.181255,0.242547,0.000326,0.035908,0.170230,0.177234,0.103149,0.089352
29,0.233568,0.227248,0.000145,0.024310,0.141133,0.161782,0.127486,0.084326
30,0.288267,0.210070,0.000061,0.015959,0.114759,0.141771,0.150829,0.078285
31,0.344113,0.191501,0.000024,0.010115,0.091318,0.118920,0.172559,0.071449
32,0.398333,0.172648,0.000009,0.006173,0.071226,0.095530,0.191784,0.064296
33,0.447048,0.155118,0.000003,0.003637,0.054970,0.074111,0.207602,0.057512
34,0.485941,0.140764,0.000001,0.002113,0.043005,0.056986,0.219304,0.051887
35,0.511100,0.131322,0.000000,0.001315,0.035684,0.045965,0.226455,0.048159
36,0.511100,0.131322,0.000000,0.001315,0.035684,0.045965,0.226455,0.048159
37,0.485941,0.140764,0.000001,0.002113,0.043005,0.056986,0.219304,0.051887
38,0.447048,0.155118,0.000003,0.003637,0.054970,0.074111,0.207602,0.057512
39,0.398333,0.172648,0.000009,0.006173,0.071226,0.095530,0.191784,0.064296
40,0.344113,0.191501,0.000024,0.010115,0.091318,0.118920,0.172559,0.071449
41,0.288267,0.210070,0.000061,0.015959,0.114759,0.141771,0.150829,0.078285
42,0.233568,0.227248,0.000145,0.024310,0.141133,0.161782,0.127486,0.084326
43,0.181255,0.242547,0.000326,0.035908,0.170230,0.177234,0.103149,0.089352
44,0.130744,0.256147,0.000699,0.051695,0.202219,0.187249,0.077839,0.093409
45,0.079102,0.269055,0.001433,0.073013,0.238035,0.191995,0.050514,0.096854
46,0.019416,0.283679,0.002845,0.102175,0.280356,0.192937,0.018061,0.100531
47,0.000000,0.279937,0.005099,0.132151,0.308169,0.177243,0.000000,0.097401
48,0.000000,0.264369,0.008438,0.161565,0.323318,0.152237,0.000000,0.090074
49,0.000000,0.247819,0.013372,0.193682,0.335846,0.126817,0.000000,0.082464
50,0.000000,0.230311,0.020275,0.227408,0.345010,0.102341,0.000000,0.074655
51,0.000000,0.212097,0.029395,0.261394,0.350346,0.079972,0.000000,0.066796
52,0.000000,0.193604,0.040765,0.294234,0.351781,0.060530,0.000000,0.059085
53,0.000000,0.175362,0.054134,0.324697,0.349654,0.044426,0.000000,0.051727
54,0.000000,0.157898,0.068964,0.351914,0.344650,0.031675,0.000000,0.044900
55,0.000000,0.141658,0.084476,0.375469,0.337675,0.021989,0.000000,0.038733
56,0.000000,0.126958,0.099757,0.395384,0.329708,0.014902,0.000000,0.033291
57,0.000000,0.113967,0.113866,0.412021,0.321675,0.009885,0.000000,0.028586
58,0.000000,0.102725,0.125941,0.425946,0.314370,0.006434,0.000000,0.024583
59,0.000000,0.093175,0.135273,0.437793,0.308422,0.004119,0.000000,0.021218
60,0.000000,0.085194,0.141346,0.448153,0.304296,0.002597,0.000000,0.018414
61,0.000000,0.078626,0.143862,0.457498,0.302310,0.001615,0.000000,0.016088
62,0.000000,0.073304,0.142743,0.466130,0.302668,0.000992,0.000000,0.014162
63,0.000000,0.069062,0.138120,0.474167,0.305484,0.000601,0.000000,0.012566
64,0.000000,0.065745,0.130322,0.481534,0.310802,0.000360,0.000000,0.011237
65,0.000000,0.063214,0.119854,0.487984,0.318613,0.000213,0.000000,0.010122
66,0.000000,0.061346,0.107360,0.493126,0.328865,0.000124,0.000000,0.009179
