y,savannah,grassland,tundra,plains,prairie,desert,swamp,marsh
1,0.000000,0.030023,0.126271,0.597503,0.242872,0.000000,0.000000,0.003331
2,0.000000,0.029469,0.146046,0.589282,0.231686,0.000000,0.000000,0.003517
3,0.000000,0.029229,0.165328,0.579338,0.222360,0.000000,0.000000,0.003744
4,0.000000,0.029328,0.183369,0.568351,0.214930,0.000000,0.000000,0.004022
5,0.000000,0.029797,0.199462,0.556940,0.209438,0.000000,0.000000,0.004363
6,0.000000,0.030682,0.212979,0.545625,0.205928,0.000000,0.000000,0.004786
7,0.000000,0.032043,0.223393,0.534799,0.204454,0.000000,0.000000,0.005311
8,0.000000,0.033958,0.230293,0.524707,0.205076,0.000000,0.000000,0.005965
9,0.000000,0.036526,0.233386,0.515441,0.207863,0.000000,0.000000,0.006784
10,0.000000,0.039875,0.232498,0.506926,0.212890,0.000000,0.000000,0.007810
11,0.000000,0.044163,0.227583,0.498929,0.220225,0.000000,0.000000,0.009099
12,0.000000,0.049582,0.218724,0.491045,0.229921,0.000008,0.000000,0.010720
13,0.000000,0.056357,0.206125,0.482653,0.241952,0.000159,0.000000,0.012754
14,0.000000,0.064685,0.189985,0.472560,0.255975,0.001510,0.000000,0.015285
15,0.000000,0.074536,0.170269,0.458201,0.270677,0.007974,0.000000,0.018343
16,0.000000,0.085467,0.147074,0.436110,0.283567,0.025930,0.000000,0.021852
17,0.000000,0.097043,0.121843,0.405463,0.292876,0.057060,0.000000,0.025713
18,0.000000,0.109644,0.097283,0.370023,0.299670,0.093348,0.000000,0.030032
19,0.000000,0.124387,0.075538,0.334467,0.306520,0.123958,0.000000,0.035131
20,0.000000,0.142280,0.057278,0.300696,0.314727,0.143686,0.000000,0.041333
21,0.000000,0.163636,0.042297,0.268130,0.323489,0.153675,0.000000,0.048774
22,0.000000,0.188016,0.030222,0.235622,0.330710,0.158075,0.000000,0.057355
23,0.000000,0.214397,0.020757,0.202706,0.334061,0.161309,0.000000,0.066769
24,0.000000,0.241365,0.013632,0.169834,0.331679,0.166944,0.000000,0.076547
25,0.013500,0.260560,0.008315,0.134596,0.314392,0.173113,0.011582,0.083941
26,0.082170,0.254273,0.004441,0.095120,0.268202,0.170695,0.042097,0.083003
27,0.145987,0.242299,0.002243,0.064749,0.222426,0.172253,0.070102,0.079943
28,0.203970,0.226138,0.001074,0.042580,0.179862,0.175961,0.095191,0.075223
29,0.255952,0.208019,0.000491,0.027220,0.142693,0.178700,0.117337,0.069588
30,0.303336,0.190368,0.000216,0.017066,0.112072,0.175865,0.137197,0.063879
31,0.349184,0.175233,0.000093,0.010598,0.088023,0.161941,0.156104,0.058824
32,0.397079,0.163679,0.000039,0.006554,0.069589,0.132734,0.175517,0.054808
33,0.448246,0.155282,0.000016,0.004004,0.055158,0.089847,0.195749,0.051698
34,0.497820,0.148324,0.000006,0.002353,0.043199,0.044844,0.214526,0.048929
35,0.534704,0.141973,0.000002,0.001337,0.033839,0.014232,0.227579,0.046336
36,0.534704,0.141973,0.000002,0.001337,0.033839,0.014232,0.227579,0.046336
37,0.497820,0.148324,0.000006,0.002353,0.043199,0.044844,0.214526,0.048929
38,0.448246,0.155282,0.000016,0.004004,0.055158,0.089847,0.195749,0.051698
39,0.397079,0.163679,0.000039,0.006554,0.069589,0.132734,0.175517,0.054808
40,0.349184,0.175233,0.000093,0.010598,0.088023,0.161941,0.156104,0.058824
41,0.303336,0.190368,0.000216,0.017066,0.112072,0.175865,0.137197,0.063879
42,0.255952,0.208019,0.000491,0.027220,0.142693,0.178700,0.117337,0.069588
43,0.203970,0.226138,0.001074,0.042580,0.179862,0.175961,0.095191,0.075223
44,0.145987,0.242299,0.002243,0.064749,0.222426,0.172253,0.070102,0.079943
45,0.082170,0.254273,0.004441,0.095120,0.268202,0.170695,0.042097,0.083003
46,0.013500,0.260560,0.008315,0.134596,0.314392,0.173113,0.011582,0.083941
47,0.000000,0.241365,0.013632,0.169834,0.331679,0.166944,0.000000,0.076547
48,0.000000,0.214397,0.020757,0.202706,0.334061,0.161309,0.000000,0.066769
49,0.000000,0.188016,0.030222,0.235622,0.330710,0.158075,0.000000,0.057355
50,0.000000,0.163636,0.042297,0.268130,0.323489,0.153675,0.000000,0.048774
51,0.000000,0.142280,0.057278,0.300696,0.314727,0.143686,0.000000,0.041333
52,0.000000,0.124387,0.075538,0.334467,0.306520,0.123958,0.000000,0.035131
53,0.000000,0.109644,0.097283,0.370023,0.299670,0.093348,0.000000,0.030032
54,0.000000,0.097043,0.121843,0.405463,0.292876,0.057060,0.000000,0.025713
55,0.000000,0.085467,0.147074,0.436110,0.283567,0.025930,0.000000,0.021852
56,0.000000,0.074536,0.170269,0.458201,0.270677,0.007974,0.000000,0.018343
57,0.000000,0.064685,0.189985,0.472560,0.255975,0.001510,0.000000,0.015285
58,0.000000,0.056357,0.206125,0.482653,0.241952,0.000159,0.000000,0.012754
59,0.000000,0.049582,0.218724,0.491045,0.229921,0.000008,0.000000,0.010720
60,0.000000,0.044163,0.227583,0.498929,0.220225,0.000000,0.000000,0.009099
61,0.000000,0.039875,0.232498,0.506926,0.212890,0.000000,0.000000,0.007810
62,0.000000,0.036526,0.233386,0.515441,0.207863,0.000000,0.000000,0.006784
63,0.000000,0.033958,0.230293,0.524707,0.205076,0.000000,0.000000,0.005965
64,0.000000,0.032043,0.223393,0.534799,0.204454,0.000000,0.000000,0.005311
65,0.000000,0.030682,0.212979,0.545625,0.205928,0.000000,0.000000,0.004786
66,0.000000,0.029797,0.199462,0.556940,0.209438,0.000000,0.000000,0.004363
