y,savannah,grassland,tundra,plains,prairie,desert,swamp,marsh
1,0.000000,0.009771,0.221797,0.624391,0.143050,0.000082,0.000000,0.000910
2,0.000000,0.010082,0.243400,0.606648,0.138718,0.000129,0.000000,0.001022
3,0.000000,0.010522,0.263061,0.589431,0.135626,0.000202,0.000000,0.001158
4,0.000000,0.011115,0.280236,0.573203,0.133810,0.000313,0.000000,0.001323
5,0.000000,0.011893,0.294469,0.558315,0.133315,0.000481,0.000000,0.001527
6,0.000000,0.012897,0.305387,0.544994,0.134204,0.000737,0.000000,0.001780
7,0.000000,0.014181,0.312695,0.533347,0.136555,0.001123,0.000000,0.002098
8,0.000000,0.015811,0.316164,0.523355,0.140466,0.001705,0.000000,0.002499
9,0.000000,0.017874,0.315625,0.514869,0.146050,0.002574,0.000000,0.003008
10,0.000000,0.020478,0.310965,0.507603,0.153430,0.003866,0.000000,0.003658
11,0.000000,0.023759,0.302130,0.501120,0.162728,0.005771,0.000000,0.004492
12,0.000000,0.027884,0.289145,0.494816,0.174040,0.008555,0.000000,0.005560
13,0.000000,0.033048,0.272135,0.487911,0.187406,0.012571,0.000000,0.006930
14,0.000000,0.039476,0.251369,0.479449,0.202757,0.018272,0.000000,0.008677
15,0.000000,0.047406,0.227305,0.468340,0.219855,0.026208,0.000000,0.010887
16,0.000000,0.057063,0.200634,0.453443,0.238227,0.036983,0.000000,0.013650
17,0.000000,0.068628,0.172300,0.433728,0.257118,0.051182,0.000000,0.017044
18,0.000000,0.082188,0.143479,0.408492,0.275485,0.069229,0.000000,0.021126
19,0.000000,0.097700,0.115486,0.377599,0.292075,0.091231,0.000000,0.025909
20,0.000000,0.114972,0.089605,0.341653,0.305599,0.116814,0.000000,0.031356
21,0.000000,0.133690,0.066893,0.302020,0.314962,0.145058,0.000000,0.037378
22,0.000000,0.153486,0.048008,0.260626,0.319483,0.174547,0.000000,0.043850
23,0.000000,0.174035,0.033131,0.219599,0.319023,0.203569,0.000000,0.050644
24,0.000000,0.195140,0.022010,0.180869,0.313960,0.230371,0.000000,0.057649
25,0.038906,0.206164,0.013410,0.138720,0.290090,0.240982,0.010101,0.061627
26,0.087767,0.209772,0.007655,0.101231,0.257141,0.238094,0.035109,0.063231
27,0.138137,0.210261,0.004186,0.071852,0.223547,0.227132,0.061203,0.063683
28,0.192045,0.207159,0.002186,0.049446,0.190037,0.208569,0.087746,0.062812
29,0.250073,0.200580,0.001088,0.032931,0.157751,0.184061,0.112871,0.060647
30,0.311665,0.191153,0.000515,0.021202,0.127864,0.156038,0.134164,0.057400
31,0.375203,0.179891,0.000232,0.013188,0.101356,0.127185,0.149516,0.053429
32,0.437894,0.168032,0.000099,0.007926,0.078926,0.100013,0.157930,0.049180
33,0.495627,0.156895,0.000040,0.004620,0.061029,0.076628,0.160019,0.045142
34,0.543110,0.147763,0.000016,0.002668,0.047982,0.058682,0.157979,0.041801
35,0.574670,0.141755,0.000006,0.001655,0.040031,0.047397,0.154897,0.039588
36,0.574670,0.141755,0.000006,0.001655,0.040031,0.047397,0.154897,0.039588
37,0.543110,0.147763,0.000016,0.002668,0.047982,0.058682,0.157979,0.041801
38,0.495627,0.156895,0.000040,0.004620,0.061029,0.076628,0.160019,0.045142
39,0.437894,0.168032,0.000099,0.007926,0.078926,0.100013,0.157930,0.049180
40,0.375203,0.179891,0.000232,0.013188,0.101356,0.127185,0.149516,0.053429
41,0.311665,0.191153,0.000515,0.021202,0.127864,0.156038,0.134164,0.057400
42,0.250073,0.200580,0.001088,0.032931,0.157751,0.184061,0.112871,0.060647
43,0.192045,0.207159,0.002186,0.049446,0.190037,0.208569,0.087746,0.062812
44,0.138137,0.210261,0.004186,0.071852,0.223547,0.227132,0.061203,0.063683
45,0.087767,0.209772,0.007655,0.101231,0.257141,0.238094,0.035109,0.063231
46,0.038906,0.206164,0.013410,0.138720,0.290090,0.240982,0.010101,0.061627
47,0.000000,0.195140,0.022010,0.180869,0.313960,0.230371,0.000000,0.057649
48,0.000000,0.174035,0.033131,0.219599,0.319023,0.203569,0.000000,0.050644
49,0.000000,0.153486,0.048008,0.260626,0.319483,0.174547,0.000000,0.043850
50,0.000000,0.133690,0.066893,0.302020,0.314962,0.145058,0.000000,0.037378
51,0.000000,0.114972,0.089605,0.341653,0.305599,0.116814,0.000000,0.031356
52,0.000000,0.097700,0.115486,0.377599,0.292075,0.091231,0.000000,0.025909
53,0.000000,0.082188,0.143479,0.408492,0.275485,0.069229,0.000000,0.021126
54,0.000000,0.068628,0.172300,0.433728,0.257118,0.051182,0.000000,0.017044
55,0.000000,0.057063,0.200634,0.453443,0.238227,0.036983,0.000000,0.013650
56,0.000000,0.047406,0.227305,0.468340,0.219855,0.026208,0.000000,0.010887
57,0.000000,0.039476,0.251369,0.479449,0.202757,0.018272,0.000000,0.008677
58,0.000000,0.033048,0.272135,0.487911,0.187406,0.012571,0.000000,0.006930
59,0.000000,0.027884,0.289145,0.494816,0.174040,0.008555,0.000000,0.005560
60,0.000000,0.023759,0.302130,0.501120,0.162728,0.005771,0.000000,0.004492
61,0.000000,0.020478,0.310965,0.507603,0.153430,0.003866,0.000000,0.003658
62,0.000000,0.017874,0.315625,0.514869,0.146050,0.002574,0.000000,0.003008
63,0.000000,0.015811,0.316164,0.523355,0.140466,0.001705,0.000000,0.002499
64,0.000000,0.014181,0.312695,0.533347,0.136555,0.001123,0.000000,0.002098
65,0.000000,0.012897,0.305387,0.544994,0.134204,0.000737,0.000000,0.001780
66,0.000000,0.011893,0.294469,0.558315,0.133315,0.000481,0.000000,0.001527
67,0.000000,0.011115,0.280236,0.573203,0.133810,0.000313,0.000000,0.001323
68,0.000000,0.010522,0.263061,0.589431,0.135626,0.000202,0.000000,0.001158
69,0.000000,0.010082,0.243400,0.606648,0.138718,0.000129,0.000000,0.001022
70,0.000000,0.009771,0.221797,0.624391,0.143050,0.000082,0.000000,0.000910
