y,savannah,grassland,tundra,plains,prairie,desert,swamp,marsh
1,0.000000,0.010850,0.155929,0.652649,0.179410,0.000005,0.000000,0.001158
2,0.000000,0.011230,0.176933,0.636326,0.174223,0.000009,0.000000,0.001280
3,0.000000,0.011725,0.197228,0.619518,0.170089,0.000016,0.000000,0.001424
4,0.000000,0.012359,0.216156,0.602783,0.167076,0.000029,0.000000,0.001597
5,0.000000,0.013162,0.233106,0.586611,0.165262,0.000052,0.000000,0.001807
6,0.000000,0.014174,0.247541,0.571402,0.164729,0.000092,0.000000,0.002062
7,0.000000,0.015442,0.259010,0.557444,0.165566,0.000161,0.000000,0.002376
8,0.000000,0.017030,0.267148,0.544908,0.167870,0.000278,0.000000,0.002767
9,0.000000,0.019014,0.271679,0.533836,0.171742,0.000475,0.000000,0.003255
10,0.000000,0.021494,0.272409,0.524141,0.177285,0.000801,0.000000,0.003870
11,0.000000,0.024591,0.269225,0.515599,0.184601,0.001336,0.000000,0.004647
12,0.000000,0.028458,0.262099,0.507839,0.193771,0.002199,0.000000,0.005635
13,0.000000,0.033278,0.251095,0.500330,0.204836,0.003571,0.000000,0.006890
14,0.000000,0.039268,0.236390,0.492379,0.217763,0.005715,0.000000,0.008485
15,0.000000,0.046672,0.218296,0.483130,0.232402,0.008993,0.000000,0.010505
16,0.000000,0.055749,0.197293,0.471596,0.248429,0.013887,0.000000,0.013046
17,0.000000,0.066743,0.174045,0.456728,0.265291,0.020985,0.000000,0.016208
18,0.000000,0.079850,0.149415,0.437542,0.282170,0.030940,0.000000,0.020083
19,0.000000,0.095158,0.124429,0.413307,0.297996,0.044368,0.000000,0.024741
20,0.000000,0.112609,0.100205,0.383759,0.311529,0.061689,0.000000,0.030209
21,0.000000,0.131963,0.077821,0.349284,0.321537,0.082938,0.000000,0.036457
22,0.000000,0.152823,0.058163,0.310984,0.327027,0.107608,0.000000,0.043396
23,0.000000,0.174700,0.041787,0.270550,0.327472,0.134598,0.000000,0.050893
24,0.000000,0.197118,0.028857,0.229968,0.322934,0.162322,0.000000,0.058800
25,0.000000,0.219709,0.019171,0.191149,0.314036,0.188952,0.000000,0.066982
26,0.000000,0.242269,0.012270,0.155603,0.301796,0.212720,0.000000,0.075343
27,0.034462,0.250705,0.007177,0.117689,0.272162,0.219864,0.018559,0.079381
28,0.094483,0.246961,0.003891,0.083912,0.233936,0.211878,0.045476,0.079464
29,0.161366,0.236376,0.001996,0.057601,0.195988,0.194672,0.074855,0.077146
30,0.227861,0.221738,0.000978,0.038446,0.161820,0.172488,0.103405,0.073264
31,0.287261,0.206320,0.000463,0.025323,0.133680,0.149775,0.128297,0.068883
