density,frequency
0.100000,0.050000
0.110000,1.400000
0.120000,2.650000
0.130000,1.450000
0.140000,0.650000
0.150000,0.850000
0.160000,1.650000
0.170000,2.250000
0.180000,3.600000
0.190000,3.300000
0.200000,1.950000
0.210000,1.150000
0.220000,2.350000
0.230000,3.450000
0.240000,4.750000
0.250000,4.650000
0.260000,3.550000
0.270000,3.200000
0.280000,3.700000
0.290000,5.400000
0.300000,6.450000
0.310000,4.900000
0.320000,4.500000
0.330000,3.850000
0.340000,3.450000
0.350000,4.150000
0.360000,3.150000
0.370000,2.600000
0.380000,3.000000
0.390000,2.400000
0.400000,2.800000
0.410000,1.900000
0.420000,1.600000
0.430000,1.100000
0.440000,0.950000
0.450000,0.950000
0.460000,0.200000
0.470000,0.050000
