"y","any-by-row","min-by-row","maj-by-row","starts-by-row","starts-by-row-adjusted","any-by-row-adjusted"
"2","0.1185","0.0625","0.056","0.1185","inf","0.0"
"3","0.467","0.307","0.16","0.158","5.1541347251672","3.1885254359715"
"4","1.1545","0.768","0.3865","0.2325","4.7648324623425","7.0716367541034"
"5","1.5475","1.035","0.5125","0.347","4.8528074959793","6.370390023879"
"6","1.9805","1.334","0.6465","0.356","4.9198452183527","6.0772137218959"
"7","2.46","1.707","0.753","0.3805","5.0138358149954","6.5846553307368"
"8","2.8525","1.9825","0.87","0.4295","5.5616704435092","6.8770754690205"
"9","3.236","2.211","1.025","0.4665","5.9298334816321","7.3325390521578"
"10","3.5665","2.4375","1.129","0.554","6.8382398321299","7.6395404863946"
"11","3.6065","2.499","1.1075","0.54","6.7076579094466","7.4612520985912"
"12","3.797","2.611","1.186","0.5825","7.0580395007876","7.6995856188172"
"13","3.839","2.6305","1.2085","0.597","7.2005789410204","7.6178391841722"
"14","3.9945","2.7555","1.239","0.595","7.2485837851008","7.8532156717797"
"15","3.875","2.6365","1.2385","0.6135","7.2870887278774","7.5658810429619"
"16","3.916","2.6685","1.2475","0.588","6.9842023993348","7.6788186432856"
"17","3.9365","2.7085","1.228","0.6","7.1144839034802","7.6514699811952"
"18","3.8905","2.6805","1.21","0.5905","7.118317159906","7.4989774121711"
"19","3.973","2.7","1.273","0.59","7.0523547693043","7.6779918749007"
"20","3.979","2.7005","1.2785","0.636","7.5324213892343","7.5691708554091"
"21","4.023","2.759","1.264","0.5975","6.9993557078428","7.7762139338494"
"22","3.9905","2.733","1.2575","0.6425","7.6283763728109","7.5940753510105"
"23","4.0735","2.779","1.2945","0.616","7.3003081298886","7.8558120512587"
"24","3.9565","2.679","1.2775","0.606","7.2801537722249","7.6011252523878"
"25","4.1375","2.804","1.3335","0.635","7.5259259259259","8.0055313021417"
"26","4.0115","2.756","1.2555","0.6095","7.2447402828955","7.7616298966485"
"27","4.0915","2.77","1.3215","0.6075","7.228700618753","7.9707160832761"
"28","3.9805","2.6925","1.288","0.635","7.453489054522","7.6959352211819"
"29","4.139","2.793","1.346","0.618","7.2873061729851","8.0909049129096"
"30","4.1235","2.803","1.3205","0.6435","7.5763819391299","7.9695873219438"
"31","4.246","2.8495","1.3965","0.654","7.8098877477908","8.1964220518437"
"32","4.2945","2.959","1.3355","0.6215","7.4005715646583","8.3835478864238"
"33","4.2335","2.9175","1.316","0.615","7.3018699910953","8.2371554098659"
"34","4.234","2.912","1.322","0.6605","7.8105599243186","8.1306454915702"
"35","4.2695","2.9055","1.364","0.643","7.6547619047619","8.2311952426347"
"36","4.3315","2.94","1.3915","0.622","7.4140294415639","8.4098483302727"
"37","4.4325","3.036","1.3965","0.68","8.0654726604199","8.4980863736214"
"38","4.396","2.9795","1.4165","0.6475","7.6658971171491","8.4892200380469"
"39","4.321","2.9315","1.3895","0.637","7.5851393188854","8.3422023957791"
"40","4.2065","2.903","1.3035","0.646","7.6085036216948","8.0889201899266"
"41","4.075","2.8405","1.2345","0.6335","7.4586448460588","7.8605362934539"
"42","4.1105","2.8365","1.274","0.6175","7.2943122083752","8.0201134250224"
"43","4.083","2.8","1.283","0.6425","7.5058411214953","7.9066507330974"
"44","4.15","2.8295","1.3205","0.6285","7.3867309161427","8.0428923807784"
"45","4.042","2.7675","1.2745","0.6265","7.3074007114947","7.8018639499292"
"46","4.0895","2.788","1.3015","0.616","7.2718687286035","7.8975489973171"
"47","4.1985","2.893","1.3055","0.648","7.6262210191832","8.0797851762511"
"48","3.976","2.6955","1.2805","0.592","6.9585659712019","7.67312140039"
"49","3.9755","2.728","1.2475","0.61","7.1411847342543","7.6225312556623"
"50","3.875","2.6155","1.2595","0.6055","7.1534053990194","7.389702558539"
"51","4.0105","2.695","1.3155","0.6405","7.5154004106776","7.6723431381477"
"52","3.901","2.6335","1.2675","0.595","6.9659895802845","7.5396825396825"
"53","3.891","2.652","1.239","0.6015","7.0810524457002","7.4573235700846"
"54","3.964","2.661","1.303","0.605","7.1251913791073","7.6391257874508"
"55","3.9585","2.72","1.2385","0.5945","7.028432937282","7.6674112230478"
"56","3.9445","2.722","1.2225","0.59","7.0150407229059","7.6698829339674"
"57","3.9975","2.703","1.2945","0.616","7.3878627968338","7.772669808068"
"58","3.774","2.5385","1.2355","0.553","6.6839910557805","7.4348498488101"
"59","3.775","2.5515","1.2235","0.5885","7.0873727946047","7.4550218749269"
"60","3.6775","2.521","1.1565","0.5625","6.7685458155346","7.4400496799465"
"61","3.4825","2.3885","1.094","0.511","6.1991993206357","7.2990100955516"
"62","3.2325","2.233","0.9995","0.479","5.9322558672364","7.0326667177483"
"63","3.016","2.0725","0.9435","0.4635","5.8049971820402","6.927293945233"
"64","2.663","1.818","0.845","0.4245","5.5486569505261","6.6036344327099"
"65","2.181","1.4755","0.7055","0.383","5.178474851271","6.053668226659"
"66","1.637","1.0995","0.5375","0.3265","4.5584642233857","5.6825080218541"
"67","1.267","0.8635","0.4035","0.236","4.0483746461961","6.304268068974"
"68","0.5655","0.398","0.1675","0.1625","4.2033109156751","3.3857010837604"
"69","0.1445","0.1235","0.021","0.1445","5.3419593345656","0.0"
