"y","any-by-row","min-by-row","maj-by-row","starts-by-row","any-by-row-adjusted","starts-by-row-adjusted"
"2","0.1125","0.0665","0.046","0.1125","0.99572208290308","5.9743324974185"
"3","0.4225","0.298","0.1245","0.1345","2.5946775844422","4.9559877175026"
"4","0.9565","0.704","0.2525","0.1875","4.4682341949548","5.2553721582062"
"5","1.2555","0.909","0.3465","0.291","4.0940217391304","5.6934782608696"
"6","1.5975","1.165","0.4325","0.304","3.6288948623784","4.1434142278424"
"7","2.0665","1.55","0.5165","0.3285","3.9289562076177","3.7473857658914"
"8","2.415","1.786","0.629","0.3955","4.1618795955882","4.0894990808824"
"9","2.6915","2.0055","0.686","0.4235","4.3349528897002","4.0925563041903"
"10","2.9275","2.1835","0.744","0.466","4.4693519248874","4.2685936744612"
"11","3.095","2.297","0.798","0.471","4.5541494997057","4.1583284284873"
"12","3.205","2.3465","0.8585","0.4975","4.602680708473","4.2867400670177"
"13","3.2105","2.3685","0.842","0.486","4.4940858082729","4.0818421482397"
"14","3.267","2.4005","0.8665","0.5115","4.5545796737767","4.2785445420326"
"15","3.271","2.387","0.884","0.5485","4.5299480669359","4.5576457010964"
"16","3.286","2.4275","0.8585","0.4965","4.5011643303959","4.0806355874161"
"17","3.4425","2.578","0.8645","0.526","4.7361904106762","4.3420238013345"
"18","3.304","2.4895","0.8145","0.508","4.5466847090663","4.1943992110273"
"19","3.3855","2.5575","0.828","0.537","4.6622598636645","4.4370997727742"
"20","3.415","2.5445","0.8705","0.525","4.7186974644774","4.3525320682588"
"21","3.4625","2.574","0.8885","0.5495","4.7631603081438","4.5354915627293"
"22","3.42","2.4875","0.9325","0.5505","4.7067458770099","4.5457256233227"
"23","3.48","2.5495","0.9305","0.542","4.7603848433724","4.4484975605308"
"24","3.611","2.6735","0.9375","0.562","4.9578947368421","4.6297482837529"
"25","3.5695","2.6275","0.942","0.55","4.875700040978","4.5075809315667"
"26","3.5475","2.6245","0.923","0.5335","4.8351922945867","4.3629176983712"
"27","3.544","2.6295","0.9145","0.5515","4.8295441640737","4.5093006881828"
"28","3.5495","2.6625","0.887","0.556","4.8341845420497","4.5434116445352"
"29","3.644","2.7125","0.9315","0.556","4.9685263038291","4.5485740256789"
"30","3.687","2.779","0.908","0.5795","5.0101916021199","4.724826742764"
"31","3.7625","2.8","0.9625","0.5615","5.0814838157836","4.5500382658803"
"32","3.762","2.812","0.95","0.5645","5.0849290380716","4.5780581211985"
"33","3.7915","2.813","0.9785","0.575","5.1768159475696","4.7105406881486"
"34","3.8115","2.8575","0.954","0.5925","5.246266431144","4.8932119015393"
"35","3.8385","2.836","1.0025","0.5875","5.2759260531922","4.8450278331386"
"36","3.8565","2.8645","0.992","0.576","5.2931488047581","4.7434519043806"
"37","3.7475","2.8145","0.933","0.552","5.1096466310647","4.5158504715373"
"38","3.7705","2.804","0.9665","0.578","5.1406562443192","4.7282312306853"
"39","3.739","2.747","0.992","0.584","5.0818892286782","4.7624872579001"
"40","3.685","2.7465","0.9385","0.57","5.0099700897308","4.6496873017312"
"41","3.673","2.7535","0.9195","0.5565","5.0018157058557","4.546981389015"
"42","3.642","2.708","0.934","0.539","4.9591503267974","4.4035947712418"
"43","3.5095","2.618","0.8915","0.5525","4.7950539691215","4.5293072824156"
"44","3.6285","2.7035","0.925","0.5705","4.961938189443","4.6809189534142"
"45","3.4965","2.5635","0.933","0.5365","4.8013457225248","4.4202865381975"
"46","3.489","2.5565","0.9325","0.5505","4.780871034782","4.5260008678375"
"47","3.43","2.527","0.903","0.5435","4.7278825610513","4.4949344115417"
"48","3.3895","2.5045","0.885","0.5145","4.6396550544111","4.225583464513"
"49","3.559","2.675","0.884","0.563","4.8307845443851","4.585105420324"
"50","3.472","2.582","0.89","0.528","4.7005731305564","4.2890022112911"
"51","3.47","2.5735","0.8965","0.5475","4.683703770359","4.4339962206425"
"52","3.4375","2.566","0.8715","0.5355","4.6297335518193","4.3273698623987"
"53","3.4015","2.53","0.8715","0.531","4.585879920906","4.2953442387201"
"54","3.341","2.503","0.838","0.5005","4.521892129661","4.0644244433918"
"55","3.408","2.556","0.852","0.544","4.6130938952308","4.4181744348689"
"56","3.435","2.569","0.866","0.491","4.6789865601162","4.0128950236106"
"57","3.4395","2.572","0.8675","0.5255","4.7367333822989","4.342177745134"
"58","3.2465","2.45","0.7965","0.497","4.5263157894737","4.1575461833391"
"59","3.195","2.358","0.837","0.498","4.5221863131325","4.2291995942535"
"60","3.07","2.2995","0.7705","0.4595","4.431613136052","3.9797906892818"
"61","2.9175","2.166","0.7515","0.459","4.339472966608","4.096283993158"
"62","2.7985","2.068","0.7305","0.4215","4.3652671259587","3.9448849603536"
"63","2.5415","1.872","0.6695","0.4145","4.2297237323866","4.1390214135138"
"64","2.2655","1.6545","0.611","0.3555","4.0888581398147","3.8497172422091"
"65","1.7865","1.323","0.4635","0.321","3.6874333482404","3.9753689497403"
"66","1.355","1.0215","0.3335","0.263","3.6501593858034","4.250886723836"
"67","0.991","0.764","0.227","0.1945","3.8198638057304","4.4982654503405"
"68","0.4315","0.328","0.1035","0.136","2.3242660921088","4.3953676272556"
"69","0.1105","0.0965","0.014","0.1105","0.78498697608335","4.7099218565001"
