"y","any-by-row","min-by-row","maj-by-row","starts-by-row","any-by-row-adjusted","starts-by-row-adjusted"
"2","0.1265","0.0645","0.062","0.1265","1.1227810650888","6.7366863905325"
"3","0.4355","0.279","0.1565","0.139","2.6660544842363","5.1056014692378"
"4","1.1085","0.721","0.3875","0.225","5.1839438815277","6.3133281371785"
"5","1.485","0.9675","0.5175","0.325","4.7774798927614","6.2734584450402"
"6","1.9245","1.2635","0.661","0.3925","4.3481699051062","5.3208314505197"
"7","2.4265","1.6775","0.749","0.391","4.5960791741642","4.4436026138839"
"8","2.929","2.044","0.885","0.445","5.0042713138561","4.5617631983598"
"9","3.241","2.216","1.025","0.4995","5.1403647898493","4.7533703409992"
"10","3.469","2.3765","1.0925","0.538","5.2781863366638","4.9114976923467"
"11","3.564","2.487","1.077","0.53","5.2384801940178","4.6740648195782"
"12","3.546","2.4595","1.0865","0.5475","5.0949495917048","4.7199406116047"
"13","3.7125","2.5435","1.169","0.5785","5.259243518912","4.9171270718232"
"14","3.94","2.6845","1.2555","0.589","5.4895039940554","4.9238342931451"
"15","3.8325","2.6095","1.223","0.5945","5.2949709864603","4.9281569494335"
"16","3.891","2.6055","1.2855","0.601","5.3361066032776","4.9452583940938"
"17","3.98","2.7305","1.2495","0.594","5.4546700472829","4.8845336805318"
"18","3.928","2.669","1.259","0.6125","5.3369565217391","4.9932065217391"
"19","4.0415","2.7755","1.266","0.6305","5.4961468721668","5.1446056210335"
"20","3.9505","2.655","1.2955","0.614","5.391456646347","5.0277499772541"
"21","3.9055","2.65","1.2555","0.6095","5.3432903887812","5.0033063504732"
"22","3.926","2.6625","1.2635","0.621","5.3860752257917","5.111695438436"
"23","4.039","2.735","1.304","0.6175","5.5580019265171","5.0983899821109"
"24","4.023","2.7045","1.3185","0.606","5.4954011474365","4.9667607686003"
"25","4.06","2.758","1.302","0.601","5.5223068552775","4.90478781284"
"26","4.1465","2.8505","1.296","0.6425","5.645336963921","5.2484683458135"
"27","4.1105","2.788","1.3225","0.6345","5.5901085700039","5.177361227589"
"28","4.1455","2.81","1.3355","0.6105","5.6178430265387","4.9639751552795"
"29","4.2535","2.91","1.3435","0.6505","5.795090715048","5.3175594359545"
"30","4.297","2.902","1.395","0.6275","5.851698858349","5.127215778842"
"31","4.3275","2.9215","1.406","0.65","5.8630266901504","5.2838368784718"
"32","4.228","2.8855","1.3425","0.6345","5.7199549041714","5.1503945885006"
"33","4.3455","2.9655","1.38","0.651","5.8760028847021","5.2817091859731"
"34","4.398","2.9605","1.4375","0.664","5.9476638041788","5.387788220975"
"35","4.509","3.051","1.458","0.7225","6.0975005071108","5.8622010863441"
"36","4.5585","3.0315","1.527","0.6595","6.1457397087902","5.3348013661693"
"37","4.321","2.95","1.371","0.655","5.8311778862374","5.3035244371472"
"38","4.3675","2.9595","1.408","0.6565","5.9094804257622","5.3296951109507"
"39","4.261","2.901","1.36","0.6335","5.7452976471381","5.1250589900897"
"40","4.274","2.938","1.336","0.6515","5.7633441959771","5.2711540622542"
"41","4.1365","2.8625","1.274","0.624","5.601724371417","5.0701936532298"
"42","4.194","2.836","1.358","0.6505","5.693599113062","5.2985496753173"
"43","4.2285","2.8685","1.36","0.6455","5.7278638190274","5.2463087551361"
"44","4.2035","2.8435","1.36","0.639","5.6918146735574","5.1914874410417"
"45","4.112","2.8245","1.2875","0.637","5.5982392049193","5.203421751265"
"46","4.1305","2.802","1.3285","0.636","5.6134906792906","5.1860744297719"
"47","4.018","2.7275","1.2905","0.6225","5.4107190950714","5.0296256396445"
"48","4.116","2.8155","1.3005","0.6165","5.545924096115","4.9840556927914"
"49","3.9895","2.7075","1.282","0.6165","5.3807939576496","4.9889852987457"
"50","4.04","2.7905","1.2495","0.6105","5.4608123634234","4.9512266552524"
"51","3.933","2.6775","1.2555","0.603","5.3416936414877","4.9138692079589"
"52","3.9855","2.669","1.3165","0.6275","5.4472767033418","5.1459030957425"
"53","3.9855","2.685","1.3005","0.624","5.4645795246801","5.1334552102377"
"54","3.9565","2.738","1.2185","0.5845","5.4402328352736","4.8221651847099"
"55","3.9125","2.6985","1.214","0.5845","5.4571448497106","4.8915545017086"
"56","3.8845","2.6525","1.232","0.604","5.4534606205251","5.0877439281202"
"57","3.791","2.6255","1.1655","0.5775","5.3570419218088","4.8963730569948"
"58","3.635","2.51","1.125","0.545","5.1872993221548","4.6664288262576"
"59","3.6145","2.461","1.1535","0.5635","5.2564351156139","4.916864608076"
"60","3.5665","2.429","1.1375","0.5425","5.2682242300401","4.8080947339915"
"61","3.2705","2.253","1.0175","0.5","4.9683512254406","4.5574235365607"
"62","3.1465","2.173","0.9735","0.494","4.9685501486959","4.6803695028555"
"63","2.9035","2.014","0.8895","0.4435","4.8607700892857","4.4547991071429"
"64","2.562","1.785","0.777","0.386","4.6188515970073","4.1753553078333"
"65","2.096","1.4045","0.6915","0.366","4.3219465255344","4.5281462643481"
"66","1.662","1.133","0.529","0.32","4.4088778848705","5.0932885312583"
"67","1.2995","0.907","0.3925","0.2475","4.9158312842822","5.6175524872328"
"68","0.555","0.3775","0.1775","0.1545","2.8986768802228","4.841573816156"
"69","0.1335","0.1205","0.013","0.1335","0.91963260619977","5.5177956371986"
