"y","any-by-row","min-by-row","maj-by-row","starts-by-row","starts-by-row-adjusted","any-by-row-adjusted"
"2","0.1045","0.0545","0.05","0.1045","inf","0.0"
"3","0.4465","0.3115","0.135","0.1485","4.9840577278067","3.0405060708091"
"4","0.9475","0.694","0.2535","0.1965","4.0615957007028","5.7787011388119"
"5","1.2135","0.8645","0.349","0.279","3.8868765672889","4.985595390525"
"6","1.684","1.2235","0.4605","0.3065","4.2375224664731","5.1103691337414"
"7","2.144","1.61","0.534","0.3615","4.8834853090172","5.5522676302018"
"8","2.5465","1.9125","0.634","0.4145","5.3831168831169","6.0609506481692"
"9","2.809","2.1205","0.6885","0.419","5.2960879732036","6.3568901774078"
"10","2.9195","2.205","0.7145","0.468","5.8263305322129","6.2390247626804"
"11","2.994","2.269","0.725","0.443","5.5099502487562","6.2735164645993"
"12","3.0875","2.3555","0.732","0.4635","5.6756260331844","6.2998175357726"
"13","3.163","2.3725","0.7905","0.506","6.1218317101204","6.2862280265929"
"14","3.2955","2.402","0.8935","0.5195","6.2409899086977","6.501780026232"
"15","3.3885","2.5065","0.882","0.5535","6.6775244299674","6.6036197619436"
"16","3.357","2.517","0.84","0.4925","5.9929423217328","6.646942800789"
"17","3.472","2.6155","0.8565","0.5585","6.6966426858513","6.7777881170614"
"18","3.3955","2.527","0.8685","0.5275","6.2581563649306","6.6436563274572"
"19","3.331","2.496","0.835","0.5155","6.133254015467","6.4556439593699"
"20","3.385","2.5055","0.8795","0.542","6.4458583576143","6.5024472805453"
"21","3.371","2.5095","0.8615","0.512","6.1054137848796","6.4972842760721"
"22","3.424","2.5325","0.8915","0.5245","6.2496276437295","6.5749790244677"
"23","3.425","2.5275","0.8975","0.5115","6.0958169467286","6.6046290209235"
"24","3.5515","2.606","0.9455","0.5665","6.7625641637818","6.8055903878161"
"25","3.53","2.598","0.932","0.5675","6.7773332537171","6.767097628946"
"26","3.5325","2.6395","0.893","0.5565","6.6590881895417","6.7538126361656"
"27","3.6505","2.709","0.9415","0.543","6.4692917138262","7.0428121387938"
"28","3.6165","2.722","0.8945","0.5685","6.7840095465394","6.9197239375227"
"29","3.643","2.709","0.934","0.58","6.9581908703737","6.9896399068961"
"30","3.7485","2.7905","0.958","0.556","6.6099982167271","7.2961422433495"
"31","3.746","2.813","0.933","0.581","6.8741126360625","7.2472064480674"
"32","3.74","2.7665","0.9735","0.567","6.7608656769809","7.2424733514414"
"33","3.808","2.823","0.985","0.5915","7.0286970471154","7.3548578876363"
"34","3.855","2.8255","1.0295","0.5845","6.9000118049817","7.4899805336082"
"35","3.887","2.9005","0.9865","0.5805","6.9759057862164","7.5052206282913"
"36","3.883","2.8985","0.9845","0.565","6.7414389690968","7.5062778544443"
"37","3.8325","2.827","1.0055","0.578","6.9142891321251","7.3579616106351"
"38","3.769","2.816","0.953","0.5455","6.4936610916017","7.3095238095238"
"39","3.791","2.8495","0.9415","0.6055","7.1826809015421","7.2220458873674"
"40","3.6995","2.7935","0.906","0.535","6.4002871156837","7.172646705501"
"41","3.702","2.7345","0.9675","0.6085","7.1689443920829","7.0724737082762"
"42","3.659","2.651","1.008","0.5505","6.5248311011023","7.0834472700757"
"43","3.5875","2.683","0.9045","0.574","6.76647412472","6.8823368199881"
"44","3.57","2.683","0.887","0.571","6.7434307646885","6.8514118614639"
"45","3.518","2.6295","0.8885","0.523","6.2051373316723","6.8274557184216"
"46","3.443","2.5615","0.8815","0.5115","6.043956043956","6.707470541128"
"47","3.417","2.565","0.852","0.5355","6.4646586587795","6.5861351740532"
"48","3.45","2.587","0.863","0.542","6.445091860396","6.6864408728243"
"49","3.3975","2.5095","0.888","0.5305","6.3532934131737","6.5654483832555"
"50","3.416","2.528","0.888","0.5445","6.5397549843863","6.592813683848"
"51","3.2825","2.4485","0.834","0.518","6.2095420762407","6.36365729018"
"52","3.33","2.515","0.815","0.5385","6.5110936460915","6.4305459571527"
"53","3.3945","2.522","0.8725","0.5085","6.2084121848483","6.6248880931065"
"54","3.3575","2.482","0.8755","0.527","6.4453005564728","6.4840904405196"
"55","3.3095","2.4245","0.885","0.497","5.9678194044188","6.454240866532"
"56","3.2975","2.478","0.8195","0.491","5.9576533398046","6.4202868711825"
"57","3.2665","2.426","0.8405","0.507","6.1784060443578","6.3641605166052"
"58","3.125","2.3035","0.8215","0.498","6.0349006301503","6.1437358216984"
"59","3.1315","2.315","0.8165","0.4745","5.7151460403493","6.3423483636884"
"60","2.992","2.2265","0.7655","0.476","5.7494866529774","6.1442281862805"
"61","2.875","2.1305","0.7445","0.4535","5.5599828357751","6.0769945039777"
"62","2.6545","1.9905","0.664","0.411","5.1301254446733","5.8360647208782"
"63","2.61","1.9335","0.6765","0.405","5.1533273953429","6.0732090230534"
"64","2.275","1.674","0.601","0.3435","4.5063955395212","5.7479986905931"
"65","1.909","1.3515","0.5575","0.3315","4.5610897083104","5.3250742641102"
"66","1.477","1.0915","0.3855","0.302","4.2237762237762","5.1187105205838"
"67","1.098","0.8085","0.2895","0.22","3.8191129242253","5.361504640938"
"68","0.509","0.3915","0.1175","0.151","3.9256466917977","2.9778738978539"
"69","0.117","0.103","0.014","0.117","4.3968432919955","0.0"
