"y","any-by-row","min-by-row","maj-by-row","starts-by-row","any-by-row-adjusted","starts-by-row-adjusted"
"2","0.103","0.055","0.048","0.103","0.95444015444015","5.7266409266409"
"3","0.3605","0.2585","0.102","0.118","2.3064619321817","4.5297504798464"
"4","0.892","0.672","0.22","0.187","4.3091787439614","5.4202898550725"
"5","1.18","0.858","0.322","0.281","3.9353009838252","5.6228114057029"
"6","1.563","1.121","0.442","0.314","3.5640177858853","4.2959753733896"
"7","2.1295","1.603","0.5265","0.3475","4.0570920522021","3.9723113072746"
"8","2.5195","1.863","0.6565","0.3995","4.2948462980851","4.0860276152054"
"9","2.7055","2.0245","0.681","0.406","4.3093790650137","3.8801136212801"
"10","2.8285","2.1215","0.707","0.447","4.340298202092","4.1154957673717"
"11","3.02","2.2695","0.7505","0.4575","4.4859257792192","4.0774391602505"
"12","3.1425","2.355","0.7875","0.478","4.5754568176855","4.17578684268"
"13","3.152","2.313","0.839","0.5015","4.53372968308","4.3280433427626"
"14","3.3005","2.423","0.8775","0.52","4.6803431731701","4.4243813665477"
"15","3.262","2.422","0.84","0.52","4.5960924290813","4.3960172834868"
"16","3.2715","2.434","0.8375","0.4955","4.5577820605104","4.1419184062043"
"17","3.383","2.5215","0.8615","0.538","4.6810571468106","4.4665836446658"
"18","3.43","2.5505","0.8795","0.543","4.6982010775272","4.4626061546891"
"19","3.387","2.518","0.869","0.5115","4.6288408537002","4.1942464068515"
"20","3.3945","2.5325","0.862","0.547","4.620253164557","4.467129440588"
"21","3.473","2.614","0.859","0.5335","4.7089397089397","4.3401428184037"
"22","3.4645","2.5855","0.879","0.535","4.7322770113372","4.3846469061604"
"23","3.503","2.6185","0.8845","0.5395","4.7813822284908","4.4183083852769"
"24","3.522","2.6035","0.9185","0.546","4.8375798365497","4.4996909552915"
"25","3.6085","2.6995","0.909","0.565","4.9833130020485","4.6815660459871"
"26","3.5505","2.673","0.8775","0.5575","4.8869058542852","4.6040557900532"
"27","3.507","2.5935","0.9135","0.5575","4.8252614199229","4.6023665382499"
"28","3.7515","2.844","0.9075","0.5895","5.1445615157818","4.8504102575823"
"29","3.6605","2.7605","0.9","0.561","4.9798204244513","4.5791764919282"
"30","3.6925","2.759","0.9335","0.571","4.9916636625811","4.631398702235"
"31","3.8425","2.8585","0.984","0.5935","5.2152374058407","4.833171217228"
"32","3.819","2.811","1.008","0.5905","5.1659302011002","4.7925872486248"
"33","3.799","2.789","1.01","0.589","5.1450240390041","4.7861318646593"
"34","3.856","2.845","1.011","0.5675","5.2129241584426","4.6032175206165"
"35","3.81","2.806","1.004","0.599","5.1806191361102","4.8869147441418"
"36","3.773","2.76","1.013","0.5805","5.1224148074399","4.7286962031045"
"37","3.7435","2.793","0.9505","0.5375","5.1168671405139","4.4081465281575"
"38","3.607","2.6925","0.9145","0.5505","4.9573941726223","4.5395821880154"
"39","3.607","2.7145","0.8925","0.5645","4.9448214408116","4.6432243471108"
"40","3.639","2.7205","0.9185","0.5765","4.9991986262164","4.7519175729823"
"41","3.595","2.6465","0.9485","0.531","4.937621609248","4.3758727251917"
"42","3.5255","2.5795","0.946","0.5465","4.8210866988787","4.4840003646641"
"43","3.53","2.607","0.923","0.531","4.8174684408052","4.3480040941658"
"44","3.5115","2.6365","0.875","0.5425","4.8054465833409","4.4544293403887"
"45","3.5545","2.6395","0.915","0.568","4.8536640873919","4.6536185707783"
"46","3.481","2.572","0.909","0.523","4.7240568171537","4.2585723333032"
"47","3.424","2.5675","0.8565","0.5445","4.6630501395919","4.4492362167192"
"48","3.519","2.6125","0.9065","0.546","4.7965651196074","4.4653445103251"
"49","3.5235","2.588","0.9355","0.529","4.7735278179191","4.3000361271676"
"50","3.5535","2.5935","0.96","0.5465","4.7964096103662","4.4258975974084"
"51","3.4655","2.5515","0.914","0.5435","4.6847963229993","4.4083453496756"
"52","3.4875","2.6015","0.886","0.5395","4.7209186896489","4.3818247450591"
"53","3.4215","2.5815","0.84","0.544","4.6207346718286","4.4080309714594"
"54","3.441","2.563","0.878","0.526","4.6537733297268","4.2683256694617"
"55","3.4075","2.515","0.8925","0.5315","4.6199213630406","4.3236769557554"
"56","3.2655","2.4145","0.851","0.496","4.450324808068","4.0557852178258"
"57","3.26","2.4525","0.8075","0.5245","4.4945885705094","4.3387945495071"
"58","3.2035","2.3565","0.847","0.4965","4.4689607068124","4.1557777261102"
"59","3.0995","2.2945","0.805","0.4825","4.3838102871152","4.0945735703173"
"60","3.0625","2.2935","0.769","0.461","4.4269641265329","3.9983617221192"
"61","2.958","2.2195","0.7385","0.4605","4.4097696722737","4.1190647750143"
"62","2.7225","1.9865","0.736","0.439","4.2135266198927","4.0765579859678"
"63","2.4935","1.848","0.6455","0.399","4.0844685904611","3.9214829779683"
"64","2.275","1.7","0.575","0.353","4.0096348735423","3.7329260053462"
"65","1.76","1.2985","0.4615","0.3075","3.5480294325169","3.7193831267009"
"66","1.422","1.06","0.362","0.286","3.7136017410229","4.4813928182807"
"67","1.092","0.7895","0.3025","0.2055","4.0349796773002","4.555979800468"
"68","0.4585","0.357","0.1015","0.1505","2.3388879442272","4.6063594626764"
"69","0.117","0.1095","0.0075","0.117","0.79134257693608","4.7480554616165"
