"length","count"
"1","0.2995"
"2","0.1335"
"3","0.081"
"4","9.1255"
"5","5.695"
"6","2.985"
"7","2.3135"
"8","1.661"
"9","1.201"
"10","0.8535"
"11","0.652"
"12","0.447"
"13","0.3255"
"14","0.2675"
"15","0.181"
"16","0.1435"
"17","0.1"
"18","0.075"
"19","0.0585"
"20","0.0425"
"21","0.031"
"22","0.0305"
"23","0.018"
"24","0.0155"
"25","0.007"
"26","0.007"
"27","0.0065"
"28","0.0035"
"29","0.003"
"30","0.002"
"31","0.002"
"32","0.003"
"33","0.002"
"34","0.0015"
"35","0.001"
"36","0.0005"
"37","0.001"
"38","0.0005"
