"y","any-by-row","min-by-row","maj-by-row","starts-by-row","starts-by-row-adjusted","any-by-row-adjusted"
"2","0.0845","0.059","0.0255","0.0845","inf","0.0"
"3","0.3205","0.247","0.0735","0.103","3.4060846560847","2.2072254921859"
"4","0.783","0.6405","0.1425","0.1585","3.1636726546906","4.8231387086809"
"5","1.0165","0.8225","0.194","0.231","3.1522925764192","4.148621527411"
"6","1.297","1.039","0.258","0.2595","3.5100770999594","3.8353480462829"
"7","1.7235","1.4215","0.302","0.288","3.791219640624","4.4586284010436"
"8","2.0105","1.6735","0.337","0.3015","3.8725836490913","4.8019106490587"
"9","2.1555","1.7955","0.36","0.346","4.3535703051274","4.7544601802465"
"10","2.3345","1.9345","0.4","0.3795","4.7172156619018","4.9001178033436"
"11","2.4545","2.0325","0.422","0.387","4.721527481242","5.0311480994792"
"12","2.5585","2.0915","0.467","0.427","5.214630274165","5.0380542686962"
"13","2.6155","2.1445","0.471","0.4155","5.0760491112333","5.1133062173155"
"14","2.71","2.25","0.46","0.4165","5.0344494137556","5.2932216298553"
"15","2.7615","2.267","0.4945","0.44","5.2922780851576","5.3386225135104"
"16","2.73","2.2605","0.4695","0.4165","5.0317124735729","5.2927180801171"
"17","2.7365","2.263","0.4735","0.4595","5.4462486665876","5.2160168598525"
"18","2.8495","2.34","0.5095","0.4605","5.4535765040265","5.4499828903844"
"19","2.797","2.3165","0.4805","0.45","5.3238686779059","5.3408884034225"
"20","2.7655","2.305","0.4605","0.4235","5.0944304102009","5.3159615035409"
"21","2.7655","2.292","0.4735","0.449","5.3908032176732","5.2671668940427"
"22","2.726","2.259","0.467","0.4335","5.2122159432488","5.2217388333371"
"23","2.8475","2.3085","0.539","0.4365","5.2272319022813","5.5087166129732"
"24","2.844","2.361","0.483","0.449","5.2998111425873","5.5098003128738"
"25","2.872","2.3695","0.5025","0.446","5.2988000475229","5.5640925666843"
"26","2.881","2.366","0.515","0.474","5.6344725111441","5.5238095238095"
"27","2.8075","2.32","0.4875","0.4335","5.1702546365317","5.459479348726"
"28","2.8595","2.348","0.5115","0.435","5.2406481537257","5.5509764864803"
"29","2.928","2.4105","0.5175","0.465","5.5688622754491","5.6683236674952"
"30","2.9775","2.466","0.5115","0.463","5.5382775119617","5.8052823567438"
"31","3.1445","2.599","0.5455","0.486","5.7623903248755","6.1288240311686"
"32","3.1955","2.616","0.5795","0.488","5.8275614998806","6.1700963970739"
"33","3.08","2.5395","0.5405","0.4795","5.7090129777354","5.9138562299593"
"34","3.154","2.598","0.556","0.48","5.6473910230014","6.0763060422206"
"35","3.0725","2.522","0.5505","0.504","5.946551825851","5.8197761363121"
"36","3.153","2.619","0.534","0.5","5.9213642823306","6.0049796287913"
"37","3.179","2.6515","0.5275","0.469","5.5157003410561","6.1281714983492"
"38","3.161","2.6095","0.5515","0.497","5.8740101642832","6.0144943896327"
"39","3.148","2.5885","0.5595","0.4695","5.563785032885","6.0400036079917"
"40","3.1915","2.6235","0.568","0.488","5.7598111537327","6.0925316626854"
"41","2.9845","2.4605","0.524","0.475","5.5895504824665","5.6622292418773"
"42","3.11","2.566","0.544","0.492","5.7402870143507","5.9053075587034"
"43","2.983","2.4475","0.5355","0.455","5.3750738334318","5.6671449067432"
"44","2.959","2.4615","0.4975","0.495","5.799988282852","5.5449287755699"
"45","2.848","2.3615","0.4865","0.43","5.0327715355805","5.4755434782609"
"46","2.771","2.31","0.461","0.4345","5.1350233410152","5.3044406102434"
"47","2.8065","2.3415","0.465","0.435","5.1442762535478","5.3933274203452"
"48","2.8115","2.3125","0.499","0.4595","5.3916104429451","5.3357531760436"
"49","2.849","2.314","0.535","0.465","5.4935318093213","5.4035676239262"
"50","2.8745","2.361","0.5135","0.4625","5.4688423790942","5.4940549405494"
"51","2.7365","2.279","0.4575","0.432","5.1653016081784","5.2624968600854"
"52","2.7215","2.236","0.4855","0.449","5.3647171276659","5.2273825132841"
"53","2.7345","2.2495","0.485","0.4195","5.0059665871122","5.3336098055479"
"54","2.716","2.227","0.489","0.4395","5.2694682572987","5.2368245496998"
"55","2.6655","2.192","0.4735","0.4395","5.2129047562567","5.1389786683904"
"56","2.5915","2.1465","0.445","0.4335","5.1298739719543","5.0100991340283"
"57","2.7345","2.2435","0.491","0.4345","5.2555185969156","5.3457292271935"
"58","2.572","2.1015","0.4705","0.406","4.9149567217481","5.079975608612"
"59","2.51","2.064","0.446","0.402","4.9240568348849","5.0177334507629"
"60","2.368","1.9535","0.4145","0.369","4.581289962133","4.8482937595499"
"61","2.3405","1.9375","0.403","0.3515","4.3702598532886","4.946284691137"
"62","2.1895","1.815","0.3745","0.3435","4.3525088697415","4.7452573132487"
"63","2.068","1.726","0.342","0.306","3.9291217257319","4.7879133719192"
"64","1.8715","1.541","0.3305","0.2955","3.8981597519953","4.648419065597"
"65","1.3945","1.1465","0.248","0.258","3.4956981234334","3.8295649829835"
"66","1.158","0.944","0.214","0.242","3.3688313496207","4.0157825515125"
"67","0.8025","0.658","0.1445","0.159","2.7261037291042","4.0433553251649"
"68","0.3665","0.307","0.0595","0.12","3.0919866013914","2.1955998931148"
"69","0.098","0.086","0.012","0.098","3.8110052498542","0.0"
