"y","any-by-row","min-by-row","maj-by-row","starts-by-row","starts-by-row-adjusted","any-by-row-adjusted"
"2","0.0915","0.051","0.0405","0.0915","inf","0.0"
"3","0.3165","0.2275","0.089","0.11","3.8814396612562","2.6714100905563"
"4","0.725","0.54","0.185","0.149","4.6381322957198","5.4550620323894"
"5","1.007","0.703","0.304","0.251","3.6274297275815","5.8896852602057"
"6","1.1915","0.816","0.3755","0.246","3.4650327487851","4.4404264312215"
"7","1.781","1.288","0.493","0.3275","4.3515811852246","5.6437834899433"
"8","2.099","1.525","0.574","0.356","4.568202232773","6.0623978296407"
"9","2.312","1.7005","0.6115","0.4205","5.2184164805163","6.1144334895749"
"10","2.6425","1.9275","0.715","0.4255","5.1638349514563","6.7686389448617"
"11","2.7065","2.004","0.7025","0.465","5.558211809706","6.5767853999178"
"12","2.7995","2.0605","0.739","0.4945","5.8558825270886","6.5802620685718"
"13","2.9075","2.1155","0.792","0.5035","5.9196990182823","6.7401239240755"
"14","3.057","2.2145","0.8425","0.529","6.1497326203209","6.9616941591166"
"15","3.0575","2.2395","0.818","0.5455","6.3622579892699","6.7829562024086"
"16","3.237","2.3395","0.8975","0.5095","5.8864305932644","7.3041079749344"
"17","3.2255","2.3205","0.905","0.5575","6.4331871682437","7.0682986276692"
"18","3.173","2.3","0.873","0.562","6.4453236997534","6.8641884431358"
"19","3.2535","2.4","0.8535","0.531","6.113637671982","7.1094688462945"
"20","3.1735","2.3355","0.838","0.5625","6.4647741638892","6.8252516010979"
"21","3.2425","2.403","0.8395","0.517","5.9210903052167","7.1449168982331"
"22","3.1535","2.289","0.8645","0.5165","5.9326900987824","6.9418485271277"
"23","3.1845","2.296","0.8885","0.5615","6.3810443775214","6.9699465894295"
"24","3.255","2.3555","0.8995","0.5635","6.4355870260393","7.1318794880627"
"25","3.3035","2.4","0.9035","0.588","6.7886624718582","7.1810128255983"
"26","3.409","2.503","0.906","0.56","6.4124584907821","7.493424513414"
"27","3.262","2.3835","0.8785","0.55","6.2997537368994","7.0772442588727"
"28","3.2345","2.379","0.8555","0.538","6.1711401697637","7.0378973743279"
"29","3.1835","2.309","0.8745","0.544","6.1853325753269","6.9548376897133"
"30","3.4","2.465","0.935","0.575","6.6431748599157","7.4605186711034"
"31","3.352","2.4265","0.9255","0.592","6.8578048074138","7.3357431426749"
"32","3.358","2.4405","0.9175","0.576","6.6317425594381","7.3993297515825"
"33","3.372","2.4565","0.9155","0.5795","6.6716555376468","7.4385338696359"
"34","3.5025","2.5525","0.95","0.559","6.4710308502634","7.7946667372825"
"35","3.5","2.563","0.937","0.5665","6.5719257540603","7.7252258183446"
"36","3.4525","2.5","0.9525","0.573","6.626958885098","7.5860161230834"
"37","3.5495","2.625","0.9245","0.6185","7.0697833914385","7.7239307455135"
"38","3.3935","2.492","0.9015","0.5635","6.5174647235716","7.398499385637"
"39","3.4235","2.5335","0.89","0.5835","6.694968733865","7.5017169422579"
"40","3.3485","2.493","0.8555","0.5785","6.4963503649635","7.3813520931596"
"41","3.272","2.38","0.892","0.5515","6.2517712407187","7.2110159832481"
"42","3.2775","2.402","0.8755","0.539","6.1135371179039","7.2431760473974"
"43","3.3125","2.454","0.8585","0.58","6.6055463811856","7.2355355487886"
"44","3.342","2.4725","0.8695","0.5735","6.4971111362864","7.3495447184688"
"45","3.243","2.405","0.838","0.5655","6.3664508865747","7.0981681291588"
"46","3.277","2.424","0.853","0.547","6.225459511751","7.1649782163666"
"47","3.227","2.3705","0.8565","0.5515","6.3234535343691","6.9830871222008"
"48","3.2315","2.359","0.8725","0.5495","6.305582649607","7.0266446592785"
"49","3.1935","2.296","0.8975","0.546","6.2371487320082","6.9812514832687"
"50","3.2305","2.376","0.8545","0.565","6.4427846513484","7.0787412030275"
"51","3.1865","2.3765","0.81","0.5405","6.1806746712407","7.0256491954755"
"52","3.2105","2.346","0.8645","0.5425","6.2184777624943","7.0778617853827"
"53","3.1205","2.2525","0.868","0.5365","6.1680846171534","6.8452144427667"
"54","3.0895","2.283","0.8065","0.533","6.129959746981","6.795768095909"
"55","3.1535","2.3115","0.842","0.5505","6.3970716402301","6.9519002216703"
"56","3.099","2.2685","0.8305","0.529","6.1397400185701","6.9119466408477"
"57","3.0665","2.216","0.8505","0.494","5.7984623510769","6.9386378961564"
"58","3.0125","2.1685","0.844","0.522","6.1976847729297","6.7498712632463"
"59","2.9575","2.168","0.7895","0.4985","5.890694239291","6.809559414029"
"60","2.8195","2.0765","0.743","0.4795","5.7411398467433","6.641689373297"
"61","2.603","1.9355","0.6675","0.445","5.4113212135952","6.340718105424"
"62","2.452","1.8105","0.6415","0.416","5.1696284329564","6.2555688696347"
"63","2.2255","1.6575","0.568","0.3705","4.6984972417729","6.1015722649826"
"64","1.853","1.367","0.486","0.315","4.1387465510445","5.5455397706786"
"65","1.451","1.0625","0.3885","0.299","4.1530661851517","4.7070360382447"
"66","1.1805","0.8865","0.294","0.2645","3.732975795639","5.2771056573338"
"67","0.857","0.6415","0.2155","0.1405","2.853371242892","5.775431242947"
"68","0.386","0.2945","0.0915","0.129","4.2553191489362","2.6187079682087"
"69","0.099","0.085","0.014","0.099","3.8984051978736","0.0"
