"y","any-by-row","min-by-row","maj-by-row","starts-by-row"
"2","0.05","0.03","0.02","0.05"
"3","0.3","0.23","0.07","0.13"
"4","0.68","0.46","0.22","0.15"
"5","0.81","0.55","0.26","0.18"
"6","1.04","0.66","0.38","0.31"
"7","1.52","1.24","0.28","0.29"
"8","1.89","1.4","0.49","0.33"
"9","2.06","1.46","0.6","0.41"
"10","2.42","1.86","0.56","0.39"
"11","2.38","1.64","0.74","0.49"
"12","2.58","1.71","0.87","0.41"
"13","2.19","1.57","0.62","0.43"
"14","2.73","2.06","0.67","0.44"
"15","2.68","1.94","0.74","0.51"
"16","2.83","2.06","0.77","0.52"
"17","2.99","2.1","0.89","0.54"
"18","2.79","1.91","0.88","0.5"
"19","2.74","1.85","0.89","0.46"
"20","3.14","2.26","0.88","0.5"
"21","2.73","1.96","0.77","0.43"
"22","2.71","2.05","0.66","0.57"
"23","2.83","1.88","0.95","0.46"
"24","3.12","2.24","0.88","0.61"
"25","3.05","2.26","0.79","0.51"
"26","3.08","2.43","0.65","0.49"
"27","3.0","2.25","0.75","0.54"
"28","2.81","1.92","0.89","0.44"
"29","2.92","2.04","0.88","0.6"
"30","3.17","2.23","0.94","0.48"
"31","3.36","2.36","1.0","0.63"
"32","3.23","2.62","0.61","0.57"
"33","2.86","2.08","0.78","0.41"
"34","2.65","1.82","0.83","0.53"
"35","2.59","1.91","0.68","0.38"
"36","2.98","2.05","0.93","0.68"
"37","3.25","2.31","0.94","0.61"
"38","3.0","2.23","0.77","0.51"
"39","3.37","2.4","0.97","0.42"
"40","3.36","2.43","0.93","0.58"
"41","3.09","2.22","0.87","0.42"
"42","3.12","2.21","0.91","0.47"
"43","3.32","2.52","0.8","0.65"
"44","2.79","1.94","0.85","0.47"
"45","2.87","2.0","0.87","0.56"
"46","2.92","2.09","0.83","0.5"
"47","2.77","1.96","0.81","0.6"
"48","2.82","2.14","0.68","0.38"
"49","2.79","2.11","0.68","0.58"
"50","3.03","2.3","0.73","0.52"
"51","3.08","2.43","0.65","0.51"
"52","3.16","2.31","0.85","0.53"
"53","2.99","2.12","0.87","0.44"
"54","3.18","2.27","0.91","0.51"
"55","2.67","1.85","0.82","0.46"
"56","2.73","2.02","0.71","0.51"
"57","2.88","2.15","0.73","0.53"
"58","2.78","2.16","0.62","0.43"
"59","2.39","1.77","0.62","0.45"
"60","2.2","1.76","0.44","0.28"
"61","2.03","1.57","0.46","0.34"
"62","1.79","1.31","0.48","0.35"
"63","1.87","1.34","0.53","0.31"
"64","1.79","1.43","0.36","0.3"
"65","1.13","0.84","0.29","0.24"
"66","0.87","0.68","0.19","0.22"
"67","0.74","0.6","0.14","0.13"
"68","0.3","0.19","0.11","0.08"
"69","0.1","0.1","0.0","0.1"
