"length","count"
"1","0.2835"
"2","0.1305"
"3","0.076"
"4","9.322"
"5","5.644"
"6","2.855"
"7","2.251"
"8","1.5405"
"9","1.1425"
"10","0.814"
"11","0.652"
"12","0.446"
"13","0.3145"
"14","0.263"
"15","0.18"
"16","0.1295"
"17","0.109"
"18","0.0855"
"19","0.0575"
"20","0.042"
"21","0.0355"
"22","0.0225"
"23","0.0185"
"24","0.0135"
"25","0.008"
"26","0.004"
"27","0.006"
"28","0.004"
"29","0.0065"
"30","0.0045"
"31","0.001"
"32","0.001"
"33","0.0005"
"34","0.0015"
"35","0.001"
"36","0.002"
"37","0.0015"
"38","0.0"
"39","0.0005"
"40","0.0"
"41","0.0"
"42","0.0"
"43","0.001"
"44","0.0"
"45","0.0"
"46","0.001"
