"y","any-by-row","min-by-row","maj-by-row","starts-by-row","any-by-row-adjusted","starts-by-row-adjusted"
"2","0.078","0.0425","0.0355","0.078","0.8349687778769","5.0098126672614"
"3","0.322","0.231","0.091","0.1065","2.3893148651991","4.7415285678951"
"4","0.734","0.537","0.197","0.143","4.0967441860465","4.7888372093023"
"5","0.944","0.6865","0.2575","0.208","3.6163963733878","4.7809985953263"
"6","1.2725","0.949","0.3235","0.2555","3.3978638184246","4.0934579439252"
"7","1.6665","1.248","0.4185","0.2865","3.7244384847469","3.841770030171"
"8","1.962","1.49","0.472","0.3125","3.9376505218089","3.7630452234413"
"9","2.1865","1.618","0.5685","0.352","4.1076460642495","3.9676873943265"
"10","2.371","1.752","0.619","0.3905","4.2262559044592","4.1763465137696"
"11","2.4605","1.818","0.6425","0.386","4.2597455059584","4.00957959431"
"12","2.498","1.8205","0.6775","0.4005","4.2473362049422","4.0858082067558"
"13","2.6525","1.947","0.7055","0.4265","4.4131103901506","4.2575492887447"
"14","2.578","1.9105","0.6675","0.436","4.252721873969","4.3154074562851"
"15","2.677","1.989","0.688","0.431","4.3964526194777","4.2470027919199"
"16","2.624","1.953","0.671","0.4025","4.2655107017069","3.9257653752371"
"17","2.6555","1.9575","0.698","0.435","4.2964620860749","4.2228454319922"
"18","2.6335","1.9605","0.673","0.4325","4.2226082308926","4.1608765366114"
"19","2.6755","2.008","0.6675","0.437","4.2567352566822","4.1716164616037"
"20","2.8035","2.09","0.7135","0.4575","4.434982071293","4.3424383041552"
"21","2.742","2.05","0.692","0.448","4.342959717016","4.2574309698538"
"22","2.825","2.09","0.735","0.4325","4.491136959805","4.1254868710421"
"23","2.803","2.08","0.723","0.439","4.4472062828886","4.1790729037205"
"24","2.8165","2.05","0.7665","0.4555","4.4713446578822","4.3387839339578"
"25","2.863","2.118","0.745","0.4485","4.5555319826032","4.2818500053039"
"26","2.854","2.1195","0.7345","0.4455","4.5276433727294","4.2405013087967"
"27","2.925","2.1715","0.7535","0.4525","4.650977897917","4.3170615360153"
"28","2.9005","2.147","0.7535","0.466","4.6364726255495","4.4694285333689"
"29","2.9605","2.198","0.7625","0.466","4.7039351729252","4.4425613050156"
"30","2.994","2.2385","0.7555","0.464","4.718180385565","4.3872458895834"
"31","3.0125","2.2095","0.803","0.4525","4.7247490589711","4.2581555834379"
"32","3.159","2.3935","0.7655","0.4885","4.9606113742835","4.6025805438509"
"33","3.069","2.2845","0.7845","0.499","4.8540925266904","4.7354685646501"
"34","3.193","2.376","0.817","0.4915","5.0957548675391","4.7063517395468"
"35","3.025","2.2665","0.7585","0.4645","4.8272560440437","4.4474587090082"
"36","3.0795","2.2635","0.816","0.477","4.9306185622031","4.5823771147996"
"37","3.0815","2.2995","0.782","0.4695","4.9081497212636","4.4868595699496"
"38","2.9875","2.2105","0.777","0.477","4.7807649223876","4.5799327892463"
"39","2.9855","2.237","0.7485","0.484","4.7649828425505","4.6349054345224"
"40","2.942","2.187","0.755","0.4355","4.6787531806616","4.155534351145"
"41","2.8495","2.096","0.7535","0.45","4.5511899057659","4.3124101581217"
"42","2.94","2.1995","0.7405","0.472","4.678672784659","4.5068031721614"
"43","2.926","2.131","0.795","0.478","4.6476412347117","4.5555143749669"
"44","2.8405","2.157","0.6835","0.459","4.4887800252845","4.3520859671302"
"45","2.794","2.082","0.712","0.456","4.3994226479465","4.3080960503871"
"46","2.867","2.151","0.716","0.442","4.5151976481705","4.1765971967032"
"47","2.8065","2.1095","0.697","0.4225","4.441835927196","4.0121340015827"
"48","2.81","2.127","0.683","0.454","4.5069368333823","4.3690021117913"
"49","2.6975","2.034","0.6635","0.445","4.3564276485788","4.312015503876"
"50","2.7085","2.005","0.7035","0.4645","4.3506545658983","4.4767488555136"
"51","2.698","1.998","0.7","0.4395","4.3140390150304","4.216501439079"
"52","2.8045","2.106","0.6985","0.4475","4.4769329005481","4.2861703825893"
"53","2.7355","2.0485","0.687","0.4275","4.3435573080689","4.0728292799111"
"54","2.649","1.964","0.685","0.4415","4.1860465116279","4.1860465116279"
"55","2.6765","2.0045","0.672","0.429","4.2627345844504","4.099487696759"
"56","2.6065","1.9385","0.668","0.397","4.186251940682","3.825686599925"
"57","2.626","1.9465","0.6795","0.4425","4.2627563443537","4.3098317190628"
"58","2.6165","1.928","0.6885","0.416","4.2303961196443","4.0355699272433"
"59","2.536","1.886","0.65","0.406","4.161584115089","3.9974837950934"
"60","2.4265","1.798","0.6285","0.375","4.0617676598594","3.7663207231336"
"61","2.384","1.786","0.598","0.3735","4.1430847212165","3.8945691527878"
"62","2.226","1.654","0.572","0.3665","4.0488677357747","3.9997574802195"
"63","2.014","1.4955","0.5185","0.309","3.8876556316958","3.5788051346395"
"64","1.816","1.3805","0.4355","0.2885","3.8211467648606","3.6422935297212"
"65","1.371","1.0155","0.3555","0.256","3.319880539188","3.7194285253047"
"66","1.045","0.7985","0.2465","0.23","3.3693374173787","4.4494599387393"
"67","0.7045","0.525","0.1795","0.1545","3.327298488665","4.3781486146096"
"68","0.329","0.2525","0.0765","0.09","2.2403813415049","3.6772216547497"
"69","0.0815","0.0745","0.007","0.0815","0.74702108157654","4.4821264894592"
