"y","any-by-row","min-by-row","maj-by-row","starts-by-row","starts-by-row-adjusted","any-by-row-adjusted"
"2","0.02","0.02","0.0","0.02","inf","0.0"
"3","0.17","0.16","0.01","0.08","3.2","1.1811023622047"
"4","0.41","0.33","0.08","0.11","2.4444444444444","2.9126213592233"
"5","0.84","0.59","0.25","0.2","3.0075187969925","3.9167686658507"
"6","1.14","0.85","0.29","0.23","3.5276073619632","3.7417763157895"
"7","1.41","1.08","0.33","0.21","2.9329608938547","4.2075736325386"
"8","1.78","1.41","0.37","0.33","4.5205479452055","4.5171339563863"
"9","1.77","1.43","0.34","0.3","3.8216560509554","4.3235294117647"
"10","1.69","1.45","0.24","0.23","3.0104712041885","4.0600667408231"
"11","1.88","1.57","0.31","0.27","3.5856573705179","4.3326157158235"
"12","1.72","1.47","0.25","0.2","2.5348542458809","4.0554962646745"
"13","1.72","1.42","0.3","0.27","3.3047735618115","3.9231601731602"
"14","1.88","1.6","0.28","0.4","4.8250904704463","4.0370976541189"
"15","1.72","1.35","0.37","0.22","2.6506024096386","4.1551246537396"
"16","2.09","1.73","0.36","0.41","5.0995024875622","4.5405405405405"
"17","2.3","1.9","0.4","0.33","4.0690505548705","5.3128371089536"
"18","1.87","1.48","0.39","0.3","3.671970624235","4.1468568409931"
"19","2.29","2.01","0.28","0.31","3.894472361809","5.0899742930591"
"20","2.45","2.06","0.39","0.4","4.7337278106509","5.3693033001572"
"21","2.22","1.8","0.42","0.35","4.1128084606345","4.9029889879392"
"22","1.9","1.58","0.32","0.37","4.327485380117","3.9412673879444"
"23","1.94","1.57","0.37","0.39","4.5828437132785","3.9763981528989"
"24","2.23","1.83","0.4","0.29","3.5024154589372","4.9718093285495"
"25","2.08","1.79","0.29","0.38","4.6341463414634","4.3323139653415"
"26","2.17","1.8","0.37","0.36","4.5283018867925","4.5683997980818"
"27","2.55","2.12","0.43","0.44","5.3593179049939","5.5438780872307"
"28","2.5","2.02","0.48","0.34","4.3701799485861","5.6426332288401"
"29","2.37","2.0","0.37","0.34","4.3367346938776","5.3197064989518"
"30","2.25","1.89","0.36","0.42","5.1282051282051","4.7705943691345"
"31","2.78","2.22","0.56","0.47","5.875","5.920041004613"
"32","2.3","1.83","0.47","0.41","4.9817739975699","5.0346297282898"
"33","2.03","1.73","0.3","0.27","3.4394904458599","4.7184986595174"
"34","2.53","2.01","0.52","0.35","4.5632333767927","5.7886351566649"
"35","2.68","2.23","0.45","0.44","5.8047493403694","5.9925093632959"
"36","2.68","2.19","0.49","0.4","5.0125313283208","6.3865546218487"
"37","2.51","2.17","0.34","0.36","4.551201011378","6.0427206295672"
"38","2.26","1.78","0.48","0.39","5.1451187335092","5.2498596294217"
"39","2.59","2.0","0.59","0.47","5.8897243107769","6.067544361763"
"40","2.52","2.08","0.44","0.41","5.4089709762533","5.8578567462521"
"41","2.42","1.97","0.45","0.36","4.6936114732725","5.5227882037534"
"42","2.48","2.03","0.45","0.35","4.5871559633028","5.6498673740053"
"43","2.32","1.78","0.54","0.43","5.3952321204517","5.0239234449761"
"44","2.16","1.79","0.37","0.42","5.0602409638554","4.6153846153846"
"45","2.05","1.71","0.34","0.31","3.8847117794486","4.6774193548387"
"46","1.77","1.45","0.32","0.35","4.4529262086514","3.9731393396754"
"47","2.0","1.63","0.37","0.32","4.0050062578223","4.7945205479452"
"48","1.81","1.39","0.42","0.34","4.3312101910828","4.1548897682306"
"49","1.92","1.56","0.36","0.3","3.6319612590799","4.5736871823828"
"50","2.09","1.66","0.43","0.31","3.8895859473024","4.9334811529933"
"51","1.74","1.48","0.26","0.33","4.1878172588832","3.9830508474576"
"52","1.8","1.47","0.33","0.29","3.4813925570228","4.3818920487522"
"53","1.91","1.52","0.39","0.32","3.9950062421973","4.5953757225434"
"54","1.86","1.66","0.2","0.24","3.0188679245283","4.631217838765"
"55","1.79","1.55","0.24","0.34","4.2659974905897","4.0845070422535"
"56","1.89","1.5","0.39","0.27","3.3292231812577","4.5100222717149"
"57","2.32","1.89","0.43","0.32","4.0609137055838","5.5096418732782"
"58","2.15","1.81","0.34","0.28","3.7383177570093","4.9734042553191"
"59","1.83","1.53","0.3","0.29","3.7711313394018","4.0229885057471"
"60","1.8","1.53","0.27","0.38","4.6625766871166","3.7947621592731"
"61","1.68","1.33","0.35","0.29","3.7371134020619","3.7027171017581"
"62","1.81","1.5","0.31","0.25","3.4013605442177","4.2692939244663"
"63","1.83","1.57","0.26","0.33","4.2307692307692","4.5289855072464"
"64","1.39","1.08","0.31","0.29","3.8007863695937","3.6887994634474"
"65","1.06","0.92","0.14","0.18","2.6745913818722","3.2424465733235"
"66","0.7","0.57","0.13","0.22","3.2786885245902","2.2900763358779"
"67","0.62","0.54","0.08","0.09","1.7175572519084","3.4640522875817"
"68","0.29","0.25","0.04","0.08","2.0408163265306","1.9125683060109"
"69","0.08","0.06","0.02","0.08","3.1620553359684","0.0"
