"y","any-by-row","min-by-row","maj-by-row","starts-by-row","any-by-row-adjusted","starts-by-row-adjusted"
"2","0.0785","0.037","0.0415","0.0785","1.1129489603025","6.6776937618147"
"3","0.2775","0.1745","0.103","0.1025","2.683752417795","5.9477756286267"
"4","0.607","0.4175","0.1895","0.114","4.2831941667647","4.8265318123015"
"5","0.8865","0.597","0.2895","0.211","5.2342058649872","7.4749065144657"
"6","1.0365","0.659","0.3775","0.248","3.7061978545888","5.3206197854589"
"7","1.474","0.984","0.49","0.274","4.2815646785438","4.7753679318358"
"8","1.8275","1.254","0.5735","0.319","4.7356828193833","4.9598341539259"
"9","2.1325","1.4535","0.679","0.402","5.0959853433169","5.7638999522065"
"10","2.3295","1.552","0.7775","0.3955","5.2225086873669","5.3200313866159"
"11","2.433","1.6125","0.8205","0.4245","5.2078056437516","5.4518211979594"
"12","2.681","1.8145","0.8665","0.4725","5.5493842067134","5.8681477903888"
"13","2.759","1.8695","0.8895","0.46","5.5273965741761","5.5293999799659"
"14","2.756","1.8315","0.9245","0.478","5.4511290588429","5.6726553486072"
"15","2.822","1.8805","0.9415","0.474","5.5140521705149","5.5570391116032"
"16","2.904","1.9205","0.9835","0.532","5.6269982238011","6.185047634426"
"17","2.9035","1.956","0.9475","0.5265","5.6162352106773","6.1104484348303"
"18","2.8845","1.9225","0.962","0.4975","5.5480044878987","5.7413046962654"
"19","2.9845","2.004","0.9805","0.521","5.8020931212131","6.077179794576"
"20","2.8435","1.918","0.9255","0.4955","5.5793191405867","5.8334150887864"
"21","2.783","1.8775","0.9055","0.5035","5.4859057756751","5.9550561797753"
"22","2.888","1.9455","0.9425","0.4975","5.6419105916062","5.8314068961026"
"23","2.7855","1.886","0.8995","0.4625","5.4127667843379","5.3923632477248"
"24","2.816","1.908","0.908","0.492","5.4832219121179","5.7480366067372"
"25","2.9095","1.9385","0.971","0.5155","5.7157357082051","6.076222906162"
"26","2.885","1.907","0.978","0.4965","5.6713190485551","5.8561037939847"
"27","2.9545","1.9695","0.985","0.503","5.779349916865","5.9035633945163"
"28","2.9565","2.008","0.9485","0.5015","5.8279124778238","5.9314015375517"
"29","2.9745","1.993","0.9815","0.5315","5.8658997534922","6.2889071487264"
"30","3.0015","1.9795","1.022","0.532","5.9094339622642","6.284495488105"
"31","2.9405","1.963","0.9775","0.5125","5.7745556901123","6.0386868719929"
"32","2.9545","1.99","0.9645","0.499","5.8149909791701","5.8927341315401"
"33","2.9835","1.979","1.0045","0.5115","5.8547833197056","6.0225674570728"
"34","3.042","2.0215","1.0205","0.524","5.9649008137521","6.1649073499134"
"35","3.1005","2.088","1.0125","0.536","6.0240924840517","6.2485023153395"
"36","3.059","2.0535","1.0055","0.542","5.9874730867097","6.3652378156195"
"37","2.971","2.016","0.955","0.5035","5.8657453109576","5.964461994077"
"38","2.8635","1.9245","0.939","0.5015","5.6227909412227","5.9084958764236"
"39","2.9135","1.942","0.9715","0.5035","5.7002641275638","5.9105879283921"
"40","2.892","1.9155","0.9765","0.527","5.6288318681675","6.1543452168554"
"41","2.9475","1.9555","0.992","0.515","5.663186883566","5.9369796336621"
"42","3.008","1.983","1.025","0.494","5.8157445300164","5.7306737988593"
"43","2.9635","1.998","0.9655","0.508","5.7116700395105","5.8745302110437"
"44","2.961","1.979","0.982","0.5175","5.7368896925859","6.0158873676053"
"45","2.9975","2.0355","0.962","0.541","5.8168116692002","6.2990394255959"
"46","2.988","2.025","0.963","0.534","5.8238045738046","6.2448024948025"
"47","2.915","1.9565","0.9585","0.4775","5.6677144431122","5.5704980718753"
"48","2.847","1.9165","0.9305","0.498","5.521722265322","5.7951900698216"
"49","2.9075","1.9655","0.942","0.504","5.6055396677485","5.830146846181"
"50","2.8705","1.914","0.9565","0.483","5.5216081046422","5.5745062836625"
"51","2.9325","1.962","0.9705","0.548","5.6593760051463","6.3454486973303"
"52","2.9045","1.9765","0.928","0.464","5.6071428571429","5.3745173745174"
"53","2.8005","1.8785","0.922","0.4945","5.4266244671231","5.7492572019119"
"54","2.8995","1.943","0.9565","0.492","5.6662215418689","5.7688173794092"
"55","2.839","1.9295","0.9095","0.5035","5.5918849714398","5.9503643884184"
"56","2.819","1.919","0.9","0.5165","5.5976965845909","6.1536934074662"
"57","2.8055","1.9385","0.867","0.459","5.6132452981192","5.5102040816327"
"58","2.671","1.843","0.828","0.472","5.3985043454827","5.723910260729"
"59","2.6405","1.8185","0.822","0.4465","5.4668737060041","5.5465838509317"
"60","2.533","1.7075","0.8255","0.4515","5.3849697055593","5.7591326223293"
"61","2.403","1.6245","0.7785","0.4045","5.2299767846779","5.2822112594312"
"62","2.276","1.528","0.748","0.382","5.1906191797484","5.2271085940173"
"63","2.012","1.382","0.63","0.3415","4.8949801313762","4.9849971616252"
"64","1.662","1.116","0.546","0.3055","4.4961450020289","4.9587447585554"
"65","1.252","0.8335","0.4185","0.248","3.9102597470199","4.6473374629119"
"66","0.974","0.6585","0.3155","0.209","4.3478907819359","5.5977977829031"
"67","0.777","0.5305","0.2465","0.132","4.8161157024793","4.9090909090909"
"68","0.3265","0.2345","0.092","0.107","2.6130452180872","5.1380552220888"
"69","0.0845","0.076","0.0085","0.0845","0.93301435406699","5.5980861244019"
