"y","any-by-row","min-by-row","maj-by-row","starts-by-row","any-by-row-adjusted","starts-by-row-adjusted"
"2","0.0695","0.0355","0.034","0.0695","1.0121359223301","6.0728155339806"
"3","0.2615","0.176","0.0855","0.099","2.6427488630622","6.0030318342597"
"4","0.5305","0.387","0.1435","0.1","3.9088787916001","4.4209750706128"
"5","0.7875","0.576","0.2115","0.1745","4.748743718593","6.313567839196"
"6","0.997","0.6895","0.3075","0.223","3.5745443680908","4.7971317597849"
"7","1.3295","0.962","0.3675","0.255","3.8953999414005","4.4828596542631"
"8","1.6605","1.2095","0.451","0.3125","4.3442051103166","4.905380657539"
"9","1.874","1.3645","0.5095","0.336","4.4976","4.8384"
"10","2.0195","1.488","0.5315","0.354","4.5684877276326","4.8048863250763"
"11","2.2245","1.6495","0.575","0.3785","4.8040168448332","4.9044379656625"
"12","2.373","1.745","0.628","0.42","4.9713687150838","5.2793296089385"
"13","2.4845","1.8165","0.668","0.4485","5.0617996604414","5.4825127334465"
"14","2.4525","1.8075","0.645","0.4355","4.9283274164378","5.2508540424677"
"15","2.4745","1.8035","0.671","0.433","4.9471860317883","5.1940954983173"
"16","2.5395","1.856","0.6835","0.4635","5.0166266091595","5.4936950581108"
"17","2.5625","1.894","0.6685","0.4485","4.9873491630985","5.2374464772285"
"18","2.5305","1.862","0.6685","0.4235","4.8884381338742","4.9087221095335"
"19","2.6045","1.8765","0.728","0.446","5.0352827452876","5.1735137747704"
"20","2.603","1.8975","0.7055","0.459","5.0004802612621","5.2905580635866"
"21","2.5985","1.906","0.6925","0.485","4.9719369857772","5.5679571401237"
"22","2.658","1.9535","0.7045","0.4505","5.0973247674753","5.1836225908524"
"23","2.624","1.911","0.713","0.4815","5.0340527577938","5.5424460431655"
"24","2.7075","1.9965","0.711","0.475","5.213080033374","5.4874526667095"
"25","2.683","1.9715","0.7115","0.4575","5.2031416658586","5.323378260448"
"26","2.6655","1.9645","0.701","0.474","5.1230059581011","5.4660772631174"
"27","2.7145","1.982","0.7325","0.4515","5.2035143769968","5.1929712460064"
"28","2.739","1.9855","0.7535","0.4695","5.2910495814552","5.4417256922086"
"29","2.663","1.958","0.705","0.477","5.1779117246743","5.5648454209605"
"30","2.651","1.9445","0.7065","0.4745","5.1470730996991","5.5276186777983"
"31","2.662","1.957","0.705","0.471","5.1629169899147","5.4809930178433"
"32","2.6365","1.9185","0.718","0.451","5.1423834601131","5.2779403159743"
"33","2.7165","1.9695","0.747","0.471","5.325078410873","5.5397281756404"
"34","2.748","2.0135","0.7345","0.4585","5.4286843145002","5.4346108257606"
"35","2.7745","2.0175","0.757","0.491","5.480674260881","5.8194508461184"
"36","2.723","2.002","0.721","0.4935","5.4469078179697","5.9229871645274"
"37","2.705","1.9975","0.7075","0.471","5.3764865670653","5.6169874449266"
"38","2.717","1.974","0.743","0.4705","5.3123472480203","5.5196011340307"
"39","2.731","1.9935","0.7375","0.472","5.2991397710368","5.4951167453593"
"40","2.8","2.0425","0.7575","0.4785","5.4022766737411","5.5392629751109"
"41","2.77","2.046","0.724","0.4725","5.3399306001799","5.4652358308701"
"42","2.6755","1.9905","0.685","0.453","5.1924569802044","5.2749385431492"
"43","2.661","1.9795","0.6815","0.4765","5.2052293548072","5.5925406709484"
"44","2.5905","1.8685","0.722","0.479","5.119059381484","5.6792807034878"
"45","2.643","1.9275","0.7155","0.475","5.1910046155357","5.5975645683983"
"46","2.569","1.903","0.666","0.4435","5.0374195235138","5.2178175757378"
"47","2.618","1.921","0.697","0.46","5.1382028720029","5.4168983677341"
"48","2.584","1.9035","0.6805","0.4625","5.045889474712","5.418863503222"
"49","2.633","1.9535","0.6795","0.4455","5.0923508364762","5.1697127937337"
"50","2.623","1.926","0.697","0.4555","5.1032783164175","5.3172930380363"
"51","2.528","1.8505","0.6775","0.449","4.9437762784785","5.2684071575242"
"52","2.561","1.88","0.681","0.4645","5.0687778327561","5.5160811479466"
"53","2.4615","1.784","0.6775","0.4425","4.9211955616274","5.3080537136383"
"54","2.521","1.846","0.675","0.445","5.0182469643687","5.3148430761064"
"55","2.4545","1.7985","0.656","0.4295","4.8753600158904","5.1186811004072"
"56","2.479","1.7995","0.6795","0.4235","4.948762310354","5.0725312749534"
"57","2.4665","1.807","0.6595","0.426","4.9811511275665","5.1618983507237"
"58","2.35","1.7595","0.5905","0.412","4.8044159738313","5.0538367180046"
"59","2.3175","1.709","0.6085","0.4085","4.8049345174332","5.0817236255572"
"60","2.1685","1.618","0.5505","0.37","4.615139046538","4.7247446083995"
"61","2.1255","1.5355","0.59","0.3625","4.7200118435175","4.8299344905437"
"62","1.9545","1.44","0.5145","0.3495","4.509343997539","4.8381142813197"
"63","1.717","1.292","0.425","0.3005","4.2011255199413","4.4115488133105"
"64","1.6015","1.1675","0.434","0.269","4.2903067375095","4.3237933651828"
"65","1.2125","0.895","0.3175","0.243","3.7151465631703","4.4673679910122"
"66","0.943","0.71","0.233","0.2115","4.0713823127294","5.478880333885"
"67","0.697","0.5215","0.1755","0.134","4.1916407737797","4.8351207777889"
"68","0.316","0.2315","0.0845","0.107","2.4257932446264","4.92835209826"
"69","0.078","0.071","0.007","0.078","0.80315771408958","4.8189462845375"
