"y","any-by-row","min-by-row","maj-by-row","starts-by-row","any-by-row-adjusted","starts-by-row-adjusted"
"2","0.0465","0.0305","0.016","0.0465","0.68432671081678","4.1059602649007"
"3","0.1785","0.142","0.0365","0.0715","1.7936694021102","4.3108357059119"
"4","0.4235","0.344","0.0795","0.083","3.0972696245734","3.6421257922964"
"5","0.61","0.4685","0.1415","0.142","3.6320333432569","5.0729383745162"
"6","0.76","0.59","0.17","0.1785","2.7521274669564","3.8783269961977"
"7","0.9925","0.808","0.1845","0.189","2.9637187080078","3.3862539192754"
"8","1.194","0.972","0.222","0.217","3.1772219265567","3.4646088344864"
"9","1.385","1.148","0.237","0.2535","3.3705130805111","3.7014804299331"
"10","1.6285","1.341","0.2875","0.308","3.7150678681419","4.2158092848181"
"11","1.6835","1.365","0.3185","0.2825","3.6329305135952","3.6577470867501"
"12","1.823","1.4865","0.3365","0.3265","3.8231387626704","4.1083537224747"
"13","1.9095","1.584","0.3255","0.339","3.925243250651","4.181170343977"
"14","1.888","1.5365","0.3515","0.316","3.777133139942","3.7931379413824"
"15","1.88","1.5335","0.3465","0.3365","3.7327509182964","4.0087362255535"
"16","1.9305","1.578","0.3525","0.3485","3.8055655945067","4.1219568288596"
"17","1.9875","1.6175","0.37","0.3315","3.9283831861905","3.9313480036896"
"18","1.8475","1.513","0.3345","0.3265","3.6453023775856","3.8653030352856"
"19","1.924","1.561","0.363","0.373","3.7739056523587","4.3898133315898"
"20","1.9035","1.5145","0.389","0.339","3.735893493834","3.9920185796997"
"21","1.997","1.6165","0.3805","0.3785","3.9179909750834","4.4555620953502"
"22","1.974","1.607","0.367","0.3475","3.8535871156662","4.0702781844802"
"23","2.0065","1.625","0.3815","0.3755","3.8957382778371","4.374332589069"
"24","2.012","1.6345","0.3775","0.352","3.9028806052181","4.0968607545828"
"25","2.106","1.721","0.385","0.3615","4.0854861133564","4.2077015099098"
"26","2.129","1.736","0.393","0.3715","4.1157328350034","4.3090504881271"
"27","2.1545","1.7595","0.395","0.385","4.1098111527946","4.4064347936669"
"28","2.213","1.8025","0.4105","0.3755","4.2155057463966","4.2917010603848"
"29","2.19","1.7775","0.4125","0.4","4.2136993329913","4.6177526936891"
"30","2.2375","1.8055","0.432","0.3855","4.3387628466163","4.4851657940663"
"31","2.105","1.731","0.374","0.3785","4.1049141965679","4.4286271450858"
"32","2.206","1.8225","0.3835","0.401","4.3208304769366","4.7125648810107"
"33","2.1785","1.751","0.4275","0.3965","4.3009443585272","4.6967852324701"
"34","2.132","1.7075","0.4245","0.3895","4.2018131651557","4.6058336618053"
"35","2.263","1.8395","0.4235","0.369","4.4104463067628","4.3149483531475"
"36","2.2005","1.8155","0.385","0.3945","4.2782152230971","4.6019247594051"
"37","2.1545","1.766","0.3885","0.371","4.1849849460973","4.3238693385995"
"38","2.253","1.836","0.417","0.3765","4.3910995614747","4.4027935682962"
"39","2.217","1.801","0.416","0.39","4.2854381443299","4.5231958762887"
"40","2.195","1.7705","0.4245","0.374","4.2253521126761","4.3196766017517"
"41","2.1935","1.787","0.4065","0.3945","4.2123287671233","4.5455127384458"
"42","2.1005","1.6975","0.403","0.352","4.0236894195773","4.0457186641977"
"43","2.0995","1.693","0.4065","0.3815","4.0618450327282","4.4284654822171"
"44","2.111","1.733","0.378","0.375","4.1114032525075","4.3821209465381"
"45","2.079","1.7085","0.3705","0.3755","4.0827414656499","4.4244427715773"
"46","2.045","1.6505","0.3945","0.354","4.0180764318695","4.1732979664014"
"47","2.016","1.6265","0.3895","0.3765","3.9511334683478","4.4273861631933"
"48","1.976","1.5935","0.3825","0.346","3.8881054668285","4.0848719378218"
"49","1.9445","1.575","0.3695","0.35","3.7890942158423","4.0921048358287"
"50","2.024","1.652","0.372","0.349","3.9171666344107","4.0526417650474"
"51","1.967","1.577","0.39","0.3635","3.8223863194714","4.2382432957637"
"52","1.897","1.5175","0.3795","0.35","3.663105046344","4.0550978372812"
"53","2.0315","1.6615","0.37","0.3565","3.9318086513338","4.1398664559208"
"54","1.9655","1.5895","0.376","0.3595","3.8422441599062","4.2165966181214"
"55","1.9225","1.5445","0.378","0.3545","3.8163771712159","4.2223325062035"
"56","1.89","1.544","0.346","0.3335","3.7663157195523","3.9875120395895"
"57","1.8495","1.4945","0.355","0.3205","3.6889169603085","3.8355162555681"
"58","1.8115","1.493","0.3185","0.32","3.6717113708533","3.8916289439903"
"59","1.7885","1.47","0.3185","0.3265","3.6844635193133","4.0357081545064"
"60","1.739","1.415","0.324","0.2825","3.6534892678315","3.5610490563395"
"61","1.661","1.357","0.304","0.2835","3.5984834807727","3.6851417223326"
"62","1.6175","1.342","0.2755","0.279","3.687450131084","3.8162544169611"
"63","1.3675","1.126","0.2415","0.24","3.3100693884137","3.485557527836"
"64","1.152","0.9395","0.2125","0.2065","3.0605738575983","3.2917109458023"
"65","0.9065","0.7365","0.17","0.182","2.7640004065454","3.3296066673442"
"66","0.6935","0.579","0.1145","0.1545","3.0856507230256","4.1245828698554"
"67","0.5125","0.4285","0.084","0.092","3.1958012887134","3.442111827063"
"68","0.223","0.182","0.041","0.077","1.798870664157","3.7268082817962"
"69","0.062","0.057","0.005","0.062","0.69623806850084","4.1774284110051"
