"y","any-by-row","min-by-row","maj-by-row","starts-by-row","starts-by-row-adjusted","any-by-row-adjusted"
"2","0.07","0.03","0.04","0.07","inf","0.0"
"3","0.34","0.22","0.12","0.14","6.25","3.7174721189591"
"4","0.61","0.38","0.23","0.1","3.3898305084746","6.9672131147541"
"5","0.53","0.34","0.19","0.14","2.729044834308","4.070981210856"
"6","0.81","0.55","0.26","0.12","2.247191011236","4.6122994652406"
"7","1.08","0.77","0.31","0.23","3.7216828478964","5.0475059382423"
"8","1.3","0.82","0.48","0.17","2.5335320417288","6.2569213732004"
"9","1.28","0.88","0.4","0.21","3.056768558952","5.6434599156118"
"10","1.31","0.8","0.51","0.29","4.2836041358936","5.0898203592814"
"11","1.6","1.04","0.56","0.29","4.0845070422535","6.4152791380999"
"12","1.54","1.03","0.51","0.3","4.2553191489362","6.0428849902534"
"13","1.85","1.35","0.5","0.37","5.1388888888889","7.074569789675"
"14","1.79","1.26","0.53","0.35","4.6419098143236","6.6852367688022"
"15","2.16","1.46","0.7","0.43","5.6504599211564","7.6888888888889"
"16","2.34","1.58","0.76","0.34","4.4155844155844","8.7032201914708"
"17","2.26","1.46","0.8","0.38","5.1075268817204","7.556270096463"
"18","2.25","1.53","0.72","0.34","4.3367346938776","7.4960753532182"
"19","2.24","1.53","0.71","0.41","5.0617283950617","7.2274881516588"
"20","2.46","1.7","0.76","0.45","5.6818181818182","7.6952526799387"
"21","2.48","1.73","0.75","0.36","4.3425814234017","8.0485952923311"
"22","2.13","1.4","0.73","0.4","5.0568900126422","6.5135542168675"
"23","2.37","1.64","0.73","0.4","4.8721071863581","7.7073552425665"
"24","2.12","1.45","0.67","0.4","5.0825921219822","6.798418972332"
"25","2.06","1.34","0.72","0.42","5.2238805970149","6.3615205585725"
"26","2.23","1.56","0.67","0.35","4.3050430504305","7.3265783320343"
"27","2.01","1.39","0.62","0.4","4.9443757725587","6.4762670957361"
"28","1.81","1.16","0.65","0.31","4.0843214756258","6.0240963855422"
"29","2.29","1.47","0.82","0.49","6.1790668348045","7.5250836120401"
"30","2.53","1.65","0.88","0.46","6.1007957559682","8.3941605839416"
"31","2.03","1.27","0.76","0.34","4.3478260869565","6.8255250403877"
"32","2.27","1.51","0.76","0.33","4.3941411451398","8.0564784053156"
"33","2.3","1.52","0.78","0.36","4.8648648648649","8.2133784928027"
"34","2.12","1.33","0.79","0.45","6.0810810810811","7.1124361158433"
"35","2.27","1.5","0.77","0.39","5.2278820375335","7.7943615257048"
"36","2.24","1.53","0.71","0.35","4.5811518324607","7.9545454545455"
"37","2.16","1.46","0.7","0.38","5.2197802197802","7.2771872444808"
"38","2.47","1.47","1.0","0.4","5.4719562243502","8.539603960396"
"39","2.21","1.5","0.71","0.42","5.5925432756325","7.5591216216216"
"40","2.41","1.66","0.75","0.47","5.7739557739558","8.3047945205479"
"41","2.05","1.33","0.72","0.33","4.3307086614173","6.7930489731438"
"42","2.32","1.4","0.92","0.4","5.3333333333333","7.5235109717868"
"43","2.32","1.55","0.77","0.49","6.4304461942257","7.0820433436533"
"44","2.54","1.57","0.97","0.4","5.0188205771644","8.4786053882726"
"45","2.17","1.43","0.74","0.52","6.4197530864198","6.6855753646677"
"46","2.22","1.38","0.84","0.33","4.3421052631579","7.20823798627"
"47","2.42","1.55","0.87","0.39","4.7794117647059","7.7127659574468"
"48","2.32","1.6","0.72","0.43","5.2955665024631","7.2860447185813"
"49","2.26","1.55","0.71","0.43","5.50576184379","7.0493066255778"
"50","1.95","1.37","0.58","0.4","5.2083333333333","6.0405300077942"
"51","2.14","1.49","0.65","0.32","4.2049934296978","7.3092369477912"
"52","2.56","1.74","0.82","0.42","5.7142857142857","8.7633087633088"
"53","2.18","1.36","0.82","0.41","5.055487053021","7.4432296047098"
"54","2.45","1.62","0.83","0.53","6.6582914572864","7.7232502011263"
"55","2.08","1.35","0.73","0.35","4.2270531400966","6.8003144654088"
"56","2.54","1.84","0.7","0.47","5.875","7.9249617151608"
"57","2.49","1.63","0.86","0.43","5.50576184379","7.6523031203566"
"58","2.28","1.55","0.73","0.45","5.7692307692308","6.8693693693694"
"59","2.61","1.7","0.91","0.35","4.5513654096229","8.4962406015038"
"60","2.52","1.66","0.86","0.37","4.9597855227882","8.3984375"
"61","2.15","1.44","0.71","0.45","5.8977719528178","7.2525597269625"
"62","1.9","1.24","0.66","0.35","4.8209366391185","7.0647219690064"
"63","1.6","1.05","0.55","0.3","4.4709388971684","6.2260536398467"
"64","1.58","0.97","0.61","0.2","3.2258064516129","7.1651090342679"
"65","0.84","0.5","0.34","0.23","3.8525963149079","3.7149817295981"
"66","0.71","0.48","0.23","0.15","2.6737967914439","5.3333333333333"
"67","0.48","0.29","0.19","0.11","3.0470914127424","5.0964187327824"
"68","0.17","0.15","0.02","0.08","3.5714285714286","1.6363636363636"
"69","0.06","0.05","0.01","0.06","3.5928143712575","0.0"
