"y","any-by-row","min-by-row","maj-by-row","starts-by-row","any-by-row-adjusted","starts-by-row-adjusted"
"2","0.058","0.028","0.03","0.058","1.087160262418","6.522961574508"
"3","0.2205","0.1455","0.075","0.0765","2.7982233502538","5.8248730964467"
"4","0.5015","0.3575","0.144","0.112","4.4223985890653","5.9259259259259"
"5","0.7005","0.4955","0.205","0.164","5.0035714285714","7.0285714285714"
"6","0.8185","0.5775","0.241","0.1985","3.4345059095042","4.997552276383"
"7","1.252","0.895","0.357","0.2425","4.3214634988207","5.0221480757061"
"8","1.4835","1.0645","0.419","0.265","4.5860167963316","4.9152455046628"
"9","1.693","1.2315","0.4615","0.313","4.855176369372","5.3857183825638"
"10","1.803","1.2865","0.5165","0.3235","4.9370208105148","5.3148959474261"
"11","1.826","1.3075","0.5185","0.3325","4.8424309392265","5.2906077348066"
"12","1.9365","1.402","0.5345","0.3595","5.0183561525504","5.5897723837084"
"13","1.978","1.438","0.54","0.3855","5.0648685558211","5.9226698531922"
"14","2.0915","1.511","0.5805","0.372","5.2486511355556","5.601238027521"
"15","2.154","1.562","0.592","0.3975","5.317424398272","5.887677432627"
"16","2.2055","1.623","0.5825","0.406","5.333951388609","5.891410375267"
"17","2.149","1.567","0.582","0.374","5.1425836557253","5.3699198340845"
"18","2.2655","1.628","0.6375","0.3975","5.4354606525912","5.7221689059501"
"19","2.136","1.5235","0.6125","0.401","5.1084183673469","5.7541454081633"
"20","2.1215","1.5385","0.583","0.3895","5.0954725591449","5.6130659301069"
"21","2.099","1.534","0.565","0.3905","5.0503268235955","5.6374062637847"
"22","2.1995","1.606","0.5935","0.398","5.2621715379401","5.7131464571953"
"23","2.184","1.5905","0.5935","0.4135","5.1944345344274","5.9008205494113"
"24","2.2095","1.5905","0.619","0.405","5.300255877179","5.8292019830481"
"25","2.169","1.5735","0.5955","0.3985","5.2634984833165","5.8022244691608"
"26","2.149","1.57","0.579","0.372","5.2885443583118","5.4928017718715"
"27","2.1775","1.583","0.5945","0.41","5.36","6.0553846153846"
"28","2.152","1.5715","0.5805","0.377","5.3155489687539","5.587254538718"
"29","2.0925","1.5295","0.563","0.3905","5.1736926690567","5.7930522932377"
"30","2.1835","1.59","0.5935","0.3915","5.3292926005776","5.7332302810886"
"31","2.2695","1.6445","0.625","0.4085","5.4272618573137","5.8612993224392"
"32","2.3305","1.6955","0.635","0.3995","5.5164115512072","5.673820419757"
"33","2.2925","1.6535","0.639","0.4265","5.4151411361757","6.044643911657"
"34","2.3505","1.7125","0.638","0.418","5.5318898564368","5.9025653094846"
"35","2.384","1.737","0.647","0.437","5.6195489903355","6.1805610120217"
"36","2.442","1.7525","0.6895","0.4415","5.7739596469105","6.2633984867591"
"37","2.4445","1.758","0.6865","0.428","5.7594439645017","6.0504201680672"
"38","2.414","1.726","0.688","0.4165","5.6786638438015","5.878616796048"
"39","2.4095","1.754","0.6555","0.4245","5.6856884414205","6.0101466944586"
"40","2.335","1.6795","0.6555","0.399","5.5190072877684","5.6584597203073"
"41","2.2845","1.66","0.6245","0.4235","5.4557395319217","6.0683012259194"
"42","2.237","1.636","0.601","0.416","5.4120967741935","6.0387096774194"
"43","2.286","1.668","0.618","0.422","5.5237404856832","6.1181587531714"
"44","2.2435","1.629","0.6145","0.406","5.4284792515224","5.894261402589"
"45","2.2665","1.6485","0.618","0.407","5.4456991830851","5.8673714560308"
"46","2.225","1.591","0.634","0.3985","5.3073069889481","5.7032678699213"
"47","2.246","1.5905","0.6555","0.4245","5.3777086076859","6.0984077576918"
"48","2.151","1.564","0.587","0.406","5.1198032370676","5.7981593145033"
"49","2.2015","1.5805","0.621","0.378","5.3333064157952","5.4944078814552"
"50","2.0945","1.504","0.5905","0.3895","5.0738856589147","5.6613372093023"
"51","2.168","1.561","0.607","0.3985","5.2551205914435","5.795661131984"
"52","2.1225","1.503","0.6195","0.4045","5.1659094596787","5.9070257991238"
"53","2.1865","1.594","0.5925","0.384","5.3061802297363","5.5913282640349"
"54","2.114","1.537","0.577","0.3795","5.1623931623932","5.5604395604396"
"55","2.1785","1.589","0.5895","0.395","5.4036958948282","5.878705196577"
"56","2.1545","1.547","0.6075","0.391","5.3532383634255","5.8290541659765"
"57","2.0725","1.5015","0.571","0.3815","5.2118697346913","5.7563183704263"
"58","2.1265","1.539","0.5875","0.3835","5.4146155151927","5.8589373620777"
"59","2.083","1.4875","0.5955","0.3825","5.3373761530577","5.8805944653229"
"60","1.9505","1.4315","0.519","0.3485","5.0627271154179","5.4274095864336"
"61","1.8775","1.377","0.5005","0.3465","5.007779506557","5.5452322738386"
"62","1.774","1.2865","0.4875","0.2995","4.9184418464951","4.9822096945612"
"63","1.529","1.1105","0.4185","0.256","4.4886975242196","4.509247480184"
"64","1.3225","0.9605","0.362","0.248","4.2861772808297","4.8225571220224"
"65","0.9725","0.72","0.2525","0.186","3.6461913391239","4.1842154596013"
"66","0.7515","0.5535","0.198","0.169","4.209690971898","5.6801419101858"
"67","0.53","0.39","0.14","0.1025","4.1417035686377","4.8059390466267"
"68","0.2485","0.188","0.0605","0.0825","2.6792452830189","5.3369272237197"
"69","0.0635","0.053","0.0105","0.0635","0.9716908951798","5.8301453710788"
