"y","any-by-row","min-by-row","maj-by-row","starts-by-row","starts-by-row-adjusted","any-by-row-adjusted"
"2","0.082","0.039","0.043","0.082","inf","0.0"
"3","0.281","0.194","0.087","0.092","3.5377811959239","2.5509515454177"
"4","0.6805","0.4665","0.214","0.1485","3.7495265749274","5.3344028877971"
"5","0.9535","0.63","0.3235","0.227","3.448275862069","5.1404514257412"
"6","1.2905","0.859","0.4315","0.272","4.0215864567162","4.7251217814892"
"7","1.6585","1.175","0.4835","0.2975","4.1745597418087","5.2578713540661"
"8","1.9965","1.432","0.5645","0.333","4.5333877884419","5.7568521594684"
"9","2.223","1.6205","0.6025","0.355","4.7235712860089","6.0008352340261"
"10","2.381","1.7045","0.6765","0.378","4.9286133385488","6.1134171651813"
"11","2.539","1.7855","0.7535","0.4295","5.5696038384231","6.1672270135945"
"12","2.5985","1.8385","0.76","0.41","5.1702395964691","6.2646705215549"
"13","2.678","1.925","0.753","0.4275","5.3922805247225","6.3168383529346"
"14","2.613","1.8465","0.7665","0.451","5.6733127869677","6.0386001173086"
"15","2.72","1.922","0.798","0.444","5.5296095647301","6.3111776613149"
"16","2.7265","1.924","0.8025","0.471","5.8155327818249","6.2200099277481"
"17","2.7695","1.952","0.8175","0.4635","5.7850723914129","6.2989975142724"
"18","2.794","1.974","0.82","0.4495","5.6233189466441","6.3472940412053"
"19","2.7825","1.9615","0.821","0.4665","5.7571269900037","6.2640305087496"
"20","2.845","1.982","0.863","0.4715","5.7884721625437","6.4046520413395"
"21","2.89","2.077","0.813","0.4625","5.691957418005","6.5436558212254"
"22","2.931","2.1015","0.8295","0.4995","6.2084395003418","6.5579739461121"
"23","2.9305","2.1055","0.825","0.478","5.8693516699411","6.6438207726066"
"24","2.921","2.105","0.816","0.4605","5.6985521593862","6.6570168556046"
"25","2.9405","2.1005","0.84","0.494","6.1804078568748","6.6315190285157"
"26","2.929","2.089","0.84","0.472","5.8622616903683","6.6692000760023"
"27","2.903","2.0585","0.8445","0.47","5.8236788303079","6.6173470775424"
"28","2.9445","2.0985","0.846","0.5015","6.2402787283021","6.68253186717"
"29","2.886","2.0745","0.8115","0.478","5.8571253522853","6.6032303178216"
"30","3.0105","2.131","0.8795","0.513","6.2960235640648","6.8355365793579"
"31","3.0375","2.1665","0.871","0.4845","5.9436913451512","6.9908814589666"
"32","3.0835","2.2275","0.856","0.5095","6.293619912297","6.9993201903467"
"33","3.0695","2.224","0.8455","0.477","5.8263100036643","7.0628780035961"
"34","3.023","2.1735","0.8495","0.489","5.9897109260167","6.944939293447"
"35","3.117","2.211","0.906","0.5095","6.3072542708591","7.1804262818748"
"36","3.026","2.183","0.843","0.491","6.0193698663724","7.0016019444291"
"37","3.004","2.095","0.909","0.4985","6.13765082492","6.8677704073242"
"38","3.1105","2.1835","0.927","0.4955","6.1142645607108","7.1023113066623"
"39","3.1245","2.2265","0.898","0.5265","6.4811965285899","7.0193450772722"
"40","3.1175","2.243","0.8745","0.511","6.2396971732096","7.0484045429962"
"41","3.101","2.2325","0.8685","0.496","6.0997355961385","7.0630659942519"
"42","2.9925","2.171","0.8215","0.4825","5.961574102675","6.7984832069339"
"43","3.0085","2.149","0.8595","0.485","6.0132663815015","6.7941952506596"
"44","2.9885","2.1025","0.886","0.4805","5.9427369983303","6.7535545023697"
"45","2.9075","2.029","0.8785","0.4855","5.8823529411765","6.5440004323039"
"46","2.7975","1.971","0.8265","0.464","5.6848811565793","6.2699841470296"
"47","2.8845","2.0515","0.833","0.467","5.6712611573259","6.519159722784"
"48","2.8075","1.9755","0.832","0.4645","5.6632528651548","6.3235452877038"
"49","2.859","2.023","0.836","0.482","5.9065008271552","6.3944260619267"
"50","2.8475","2.0105","0.837","0.4555","5.6134080966172","6.4446599849122"
"51","2.915","2.0285","0.8865","0.46","5.6994176681948","6.6276119000054"
"52","2.86","2.018","0.842","0.4585","5.6899975179945","6.4977407397386"
"53","2.797","1.977","0.82","0.4595","5.6728395061728","6.338811150884"
"54","2.7815","1.9765","0.805","0.463","5.7114661074446","6.2748653549487"
"55","2.83","1.9905","0.8395","0.4775","5.870781336448","6.4086847553667"
"56","2.7385","1.9145","0.824","0.4475","5.5881618381618","6.2787765840824"
"57","2.7065","1.8885","0.818","0.4365","5.5037195813895","6.2653528746101"
"58","2.7245","1.932","0.7925","0.445","5.6807301972298","6.3589700672302"
"59","2.6195","1.863","0.7565","0.4175","5.3608115048793","6.239020796736"
"60","2.566","1.8275","0.7385","0.4125","5.3847660074408","6.2026556064403"
"61","2.467","1.765","0.702","0.3845","5.0241735267215","6.1929401968656"
"62","2.2655","1.6165","0.649","0.3845","5.0930525200344","5.8457904714548"
"63","2.0595","1.469","0.5905","0.336","4.5479155387114","5.677251465841"
"64","1.778","1.264","0.514","0.2845","3.9929824561404","5.3528547363894"
"65","1.427","1.0005","0.4265","0.2755","4.0319039953168","4.7078784905352"
"66","1.0685","0.7545","0.314","0.235","3.6352386108748","4.6328719915513"
"67","0.828","0.5925","0.2355","0.163","3.4721482586005","5.2226498075866"
"68","0.3795","0.2865","0.093","0.1225","4.0395713107997","2.6643168152602"
"69","0.0885","0.0815","0.007","0.0885","3.8986784140969","0.0"
