"y","any-by-row","min-by-row","maj-by-row","starts-by-row"
"2","0.11","0.06","0.05","0.11"
"3","0.23","0.13","0.1","0.06"
"4","0.41","0.29","0.12","0.12"
"5","0.86","0.66","0.2","0.2"
"6","1.14","0.81","0.33","0.16"
"7","1.29","1.02","0.27","0.24"
"8","1.38","0.96","0.42","0.17"
"9","1.79","1.33","0.46","0.43"
"10","1.85","1.35","0.5","0.32"
"11","1.94","1.46","0.48","0.31"
"12","1.87","1.4","0.47","0.29"
"13","2.01","1.53","0.48","0.29"
"14","2.26","1.71","0.55","0.26"
"15","1.97","1.53","0.44","0.37"
"16","1.98","1.54","0.44","0.44"
"17","2.02","1.56","0.46","0.35"
"18","2.08","1.59","0.49","0.32"
"19","2.19","1.68","0.51","0.34"
"20","1.7","1.29","0.41","0.34"
"21","1.81","1.36","0.45","0.23"
"22","1.91","1.43","0.48","0.31"
"23","2.09","1.64","0.45","0.26"
"24","2.15","1.55","0.6","0.33"
"25","1.84","1.32","0.52","0.39"
"26","1.95","1.49","0.46","0.23"
"27","2.01","1.41","0.6","0.39"
"28","2.09","1.26","0.83","0.37"
"29","2.05","1.51","0.54","0.34"
"30","2.19","1.67","0.52","0.3"
"31","2.15","1.5","0.65","0.46"
"32","2.66","1.82","0.84","0.44"
"33","2.5","1.88","0.62","0.41"
"34","2.29","1.74","0.55","0.3"
"35","2.58","1.93","0.65","0.37"
"36","2.41","1.87","0.54","0.4"
"37","2.1","1.46","0.64","0.33"
"38","2.18","1.56","0.62","0.33"
"39","2.25","1.54","0.71","0.46"
"40","2.52","1.74","0.78","0.47"
"41","2.42","1.8","0.62","0.36"
"42","2.56","2.04","0.52","0.34"
"43","2.24","1.77","0.47","0.4"
"44","1.96","1.52","0.44","0.2"
"45","2.3","1.66","0.64","0.45"
"46","2.85","2.21","0.64","0.37"
"47","2.53","1.9","0.63","0.37"
"48","2.38","1.86","0.52","0.31"
"49","1.9","1.56","0.34","0.3"
"50","1.69","1.16","0.53","0.33"
"51","1.66","1.16","0.5","0.2"
"52","1.84","1.34","0.5","0.36"
"53","2.05","1.55","0.5","0.45"
"54","1.99","1.48","0.51","0.3"
"55","2.21","1.56","0.65","0.2"
"56","1.83","1.19","0.64","0.31"
"57","2.25","1.62","0.63","0.42"
"58","1.96","1.32","0.64","0.28"
"59","1.55","1.11","0.44","0.28"
"60","1.85","1.46","0.39","0.32"
"61","1.47","1.22","0.25","0.2"
"62","1.66","1.28","0.38","0.21"
"63","1.39","1.05","0.34","0.21"
"64","1.06","0.8","0.26","0.25"
"65","0.94","0.69","0.25","0.18"
"66","0.72","0.58","0.14","0.16"
"67","0.54","0.44","0.1","0.12"
"68","0.15","0.13","0.02","0.06"
"69","0.05","0.05","0.0","0.05"
