"y","any-by-row","min-by-row","maj-by-row","starts-by-row","starts-by-row-adjusted","any-by-row-adjusted"
"2","0.0465","0.028","0.0185","0.0465","inf","0.0"
"3","0.156","0.1155","0.0405","0.053","3.0822913637685","2.4706164547853"
"4","0.3955","0.2925","0.103","0.0785","3.8461538461538","5.3966632618318"
"5","0.5605","0.405","0.1555","0.143","3.350122994026","5.7745504840941"
"6","0.6995","0.4995","0.2","0.1585","3.4163164134066","4.4922361537823"
"7","0.9845","0.713","0.2715","0.1805","3.5430366081068","5.4839369756497"
"8","1.17","0.845","0.325","0.2145","3.8971656976744","5.7958267621012"
"9","1.3565","0.974","0.3825","0.259","4.4867908185362","6.1323126781025"
"10","1.482","1.0885","0.3935","0.277","4.5690721649485","6.3294463704171"
"11","1.612","1.162","0.45","0.294","4.8490846115784","6.5160429129382"
"12","1.7055","1.2585","0.447","0.292","4.6866222614557","6.754432073398"
"13","1.774","1.303","0.471","0.3165","4.9929010884998","6.824140837157"
"14","1.7665","1.273","0.4935","0.323","4.9961330239753","6.6723675695664"
"15","1.8245","1.32","0.5045","0.3155","4.8201054159346","6.9414416486499"
"16","1.7855","1.316","0.4695","0.341","5.0967790150213","6.6600580939647"
"17","1.81","1.326","0.484","0.362","5.4029850746269","6.5782300563329"
"18","1.9355","1.4115","0.524","0.342","5.2130173005106","7.061508464061"
"19","1.8935","1.387","0.5065","0.3335","4.9988758150341","6.8661971830986"
"20","1.916","1.4225","0.4935","0.338","5.0564739322313","6.8869200890324"
"21","1.8845","1.3585","0.526","0.352","5.1575091575092","6.7347835640519"
"22","1.9305","1.403","0.5275","0.3465","5.1023413341187","6.9501118862709"
"23","1.9225","1.432","0.4905","0.341","5.0139685340391","6.9070183866882"
"24","1.897","1.388","0.509","0.3445","5.1587301587302","6.7417926003127"
"25","1.9145","1.3745","0.54","0.356","5.2909266552723","6.8520553967905"
"26","1.9145","1.404","0.5105","0.346","5.1323889342135","6.9099960350676"
"27","1.921","1.3935","0.5275","0.3345","4.9758274451469","7.0071993286516"
"28","1.9305","1.3845","0.546","0.376","5.5221030988398","6.9190368095429"
"29","1.991","1.45","0.541","0.402","5.9551144359677","7.0653623832815"
"30","1.957","1.4385","0.5185","0.325","4.8059149722736","7.2097543735642"
"31","2.0","1.4585","0.5415","0.35","5.2083333333333","7.2266993693062"
"32","2.011","1.4475","0.5635","0.348","5.1647373107747","7.2964197964198"
"33","2.041","1.5055","0.5355","0.3665","5.4775070990883","7.3568823865384"
"34","2.0425","1.499","0.5435","0.3955","5.9131344845631","7.2513538502179"
"35","2.0645","1.5075","0.557","0.37","5.4331864904552","7.4977876106195"
"36","1.9545","1.4255","0.529","0.3655","5.3738145997206","7.0105003088326"
"37","2.054","1.5075","0.5465","0.347","5.1134689065724","7.4603382719287"
"38","2.109","1.5415","0.5675","0.368","5.4257279764099","7.5764828756691"
"39","2.0475","1.4915","0.556","0.394","5.7813646368305","7.1941350504699"
"40","2.022","1.4405","0.5815","0.3625","5.2919708029197","7.2152173913043"
"41","1.99","1.4455","0.5445","0.3485","5.167556346382","7.1543758716876"
"42","1.954","1.431","0.523","0.3455","5.057824623042","7.0579201404125"
"43","1.994","1.433","0.561","0.358","5.2400468384075","7.1572316038149"
"44","1.999","1.4375","0.5615","0.3655","5.3686839012926","7.1638452767301"
"45","1.88","1.335","0.545","0.339","5.0525374469036","6.7198674341531"
"46","1.9115","1.412","0.4995","0.3345","4.9917922698105","6.9009277087345"
"47","1.8975","1.377","0.5205","0.3695","5.3792400640559","6.7491166077739"
"48","1.894","1.377","0.517","0.3495","5.1393279905889","6.7643323260194"
"49","1.8785","1.376","0.5025","0.352","5.1025585272161","6.6337838425101"
"50","1.9535","1.3945","0.559","0.34","4.9733050537556","6.9329265672668"
"51","1.998","1.4735","0.5245","0.359","5.2985019555752","6.9478592623993"
"52","1.9955","1.46","0.5355","0.348","5.0354507307191","7.0285836177474"
"53","1.939","1.4195","0.5195","0.347","5.1357951602161","6.7606590793273"
"54","1.97","1.4395","0.5305","0.3765","5.4955480951686","6.9258518776078"
"55","1.8705","1.3375","0.533","0.3435","5.0499852984416","6.6777452223729"
"56","1.841","1.344","0.497","0.3255","4.786060873401","6.7247958821441"
"57","1.8485","1.347","0.5015","0.341","5.080831408776","6.6964285714286"
"58","1.828","1.345","0.483","0.313","4.7156308851224","6.7964649410076"
"59","1.7565","1.2745","0.482","0.3305","5.0508137846718","6.5161762017913"
"60","1.664","1.2045","0.4595","0.294","4.6526349105871","6.4072584416799"
"61","1.6055","1.181","0.4245","0.2925","4.6856227472968","6.4061280249805"
"62","1.5105","1.1155","0.395","0.263","4.4020420118838","6.4105858170606"
"63","1.3555","0.9935","0.362","0.2385","4.1460234680574","6.1692256710483"
"64","1.135","0.841","0.294","0.2145","3.9714867617108","5.5957446808511"
"65","0.806","0.571","0.235","0.151","3.0127693535515","4.622115588173"
"66","0.631","0.4655","0.1655","0.1695","3.6307165042305","4.8594292934611"
"67","0.4805","0.35","0.1305","0.0865","2.8953974895397","5.8335801006811"
"68","0.2055","0.1525","0.053","0.0615","3.3011272141707","2.8251912889935"
"69","0.052","0.0435","0.0085","0.052","3.5924006908463","0.0"
