"y","any-by-row","min-by-row","maj-by-row","starts-by-row","starts-by-row-adjusted","any-by-row-adjusted"
"2","0.0325","0.0175","0.015","0.0325","inf","0.0"
"3","0.13","0.086","0.044","0.06","3.9525691699605","2.3841961852861"
"4","0.3095","0.2225","0.087","0.0585","3.2409972299169","5.6774485410541"
"5","0.416","0.298","0.118","0.0955","2.5181278839815","5.8549506759225"
"6","0.5395","0.377","0.1625","0.14","3.1985378112863","4.2617879240452"
"7","0.759","0.5485","0.2105","0.149","3.0346232179226","5.3607522629405"
"8","0.874","0.5955","0.2785","0.1745","3.2884198624329","5.4793984020053"
"9","1.0635","0.7525","0.311","0.203","3.6738756673604","6.2791885580852"
"10","1.1465","0.8205","0.326","0.214","3.7729196050776","6.5789473684211"
"11","1.144","0.8255","0.3185","0.2215","3.8315170385746","6.3371573813286"
"12","1.273","0.906","0.367","0.253","4.3500687757909","6.8181818181818"
"13","1.298","0.9395","0.3585","0.2315","3.992756122801","6.9742348940623"
"14","1.259","0.9105","0.3485","0.2425","4.1077327009401","6.6325199008221"
"15","1.278","0.935","0.343","0.2515","4.2187368950767","6.6820726467908"
"16","1.3405","0.9515","0.389","0.239","4.0594479830149","7.0092268533248"
"17","1.343","0.947","0.396","0.2525","4.1974898179702","6.8541797611565"
"18","1.3655","0.96","0.4055","0.262","4.2639759134185","6.8805337323856"
"19","1.3295","0.966","0.3635","0.263","4.3157203807023","6.5959552229575"
"20","1.368","0.968","0.4","0.2525","4.109366099764","6.9143990578318"
"21","1.3855","0.9865","0.399","0.272","4.4626743232158","6.8443051201672"
"22","1.388","0.9755","0.4125","0.2735","4.4843416953599","6.8534005657361"
"23","1.3545","0.9625","0.392","0.2565","4.1785452472102","6.727116774905"
"24","1.4015","1.025","0.3765","0.269","4.3495836365106","6.9266055045872"
"25","1.3505","0.987","0.3635","0.245","4.0312628547923","6.7726520860136"
"26","1.3945","0.9885","0.406","0.2695","4.4158610519417","6.9763115465708"
"27","1.3335","0.962","0.3715","0.2555","4.1568372244367","6.709404369204"
"28","1.304","0.923","0.381","0.267","4.30194151293","6.5089128797389"
"29","1.368","0.993","0.375","0.268","4.329563812601","6.8857589984351"
"30","1.3405","0.9905","0.35","0.2555","4.1242937853107","6.8080567233482"
"31","1.3565","0.98","0.3765","0.259","4.2438145174504","6.8873548791967"
"32","1.4005","0.982","0.4185","0.271","4.3918645166518","7.1600633914422"
"33","1.427","1.0175","0.4095","0.274","4.4988096215417","7.1909691904703"
"34","1.519","1.122","0.397","0.288","4.8056065409645","7.554000981836"
"35","1.4265","1.0565","0.37","0.264","4.3007249328012","7.1927979210494"
"36","1.4335","1.0455","0.388","0.274","4.4763927462833","7.1596171657919"
"37","1.4075","1.0055","0.402","0.26","4.1949015811552","7.0807108478341"
"38","1.4095","1.0225","0.387","0.282","4.5239432100746","6.9108182653999"
"39","1.4965","1.0625","0.434","0.286","4.6002895287116","7.3806475214926"
"40","1.4425","1.0315","0.411","0.2835","4.547277247574","7.0744063968748"
"41","1.392","0.9815","0.4105","0.265","4.3293579480477","6.9149588906614"
"42","1.421","1.032","0.389","0.251","4.1043250756275","7.2495197967656"
"43","1.386","1.004","0.382","0.273","4.4875482863483","6.9186299496488"
"44","1.4155","1.033","0.3825","0.278","4.5060377664316","7.0929725010912"
"45","1.314","0.947","0.367","0.254","4.1506659040771","6.5210704398647"
"46","1.344","0.962","0.382","0.2545","4.1274732403503","6.7128773875539"
"47","1.33","0.957","0.373","0.266","4.2927459049463","6.6400399400899"
"48","1.361","0.973","0.388","0.261","4.2647058823529","6.859993763642"
"49","1.3335","0.9395","0.394","0.2455","4.0605358914985","6.754407747703"
"50","1.3525","0.9615","0.391","0.2685","4.4438927507448","6.7762705507283"
"51","1.4255","1.0025","0.423","0.262","4.3163097199341","7.2474149744612"
"52","1.3535","0.979","0.3745","0.256","4.1666666666667","6.8028265046798"
"53","1.3635","0.981","0.3825","0.2375","3.9314682999503","6.8834820882749"
"54","1.3975","1.0045","0.393","0.273","4.4310988475897","6.9572480356369"
"55","1.3615","0.9745","0.387","0.2705","4.3901647326138","6.7776604336212"
"56","1.3995","1.001","0.3985","0.267","4.3435822352367","6.9847045762921"
"57","1.3865","0.9915","0.395","0.2475","4.0734035549704","6.9950254867039"
"58","1.3115","0.9555","0.356","0.25","4.1125185063333","6.6327168207948"
"59","1.272","0.923","0.349","0.248","4.0998512150769","6.5607380830343"
"60","1.1805","0.87","0.3105","0.219","3.6974506162418","6.3082272667629"
"61","1.1395","0.8515","0.288","0.2105","3.6246233318984","6.3343788354016"
"62","1.0695","0.773","0.2965","0.2145","3.8399570354458","6.1329890251775"
"63","0.963","0.6885","0.2745","0.1525","2.9122505490308","6.1216012084592"
"64","0.812","0.587","0.225","0.1515","3.0351597716117","5.5082978900842"
"65","0.5765","0.42","0.1565","0.12","2.6501766784452","4.3805776796853"
"66","0.4515","0.329","0.1225","0.0975","2.4806004325149","5.1393728222997"
"67","0.378","0.2635","0.1145","0.0755","3.1543764361813","6.1860940695297"
"68","0.152","0.111","0.041","0.0505","3.1493607733084","2.9335260115607"
"69","0.04","0.037","0.003","0.04","3.525782282944","0.0"
